,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0158818041422856,0,0.238750510281239,0,0,0,0,0,0,0,0,-0.132961604314851,-0.113622914277956,0,0,0,-0.16496294861325,0,-0.178033533619869,0,0,-0.222169282114418,0.0297145641602565,0,0,0,0,0.750978448787294,0,0,0.227674767817044,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.196270274981277,0,0.176598509940159,0.0163018979430441,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.099669569684738,0.0922538344560465,0,0,0,0,0,0,0.000155022489864105,0.0694861554745291,0.0249314917974105,0,0,0,0,0.309237050863184,0,0,0,0,0,0,0.0989973779100574,0,0,0.0567307233053383,-0.0725348318348461,0,-0.0285516998227454,0,0
X601939.CH.EQUITY,0.129587284204566,0,0,0,0,0,0,0,0,0.266869199639644,0,0,0,0,0,0,0,0.115341133393467,0,0,0,0,0,0,0,0,0,0,0.0142451946132284,0.112196499177701,0,0,-0.215800834481914,0,-0.210892033706231,0,0,0.49933587266601,0.145537787030846,0,0,0,0,0.124193353048934,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.0720080670455393,0,0,-0.554842843336421,0.333028349734256,0,0.547789266350804,0,0,0,0.216331991671304,0.413952319972534,-0.205084692622449,0,0,0,0,0,0,0,-0.247354691793044,0,0,0,0,0,0,0,0,-0.607487125133157,0,0,0,-0.27847171166464,0,0,0,0.125831521766523,0,0,0,0,0.369879526036839,0,0,0,-0.185693526269808
X5.HK.EQUITY,-0.0762038920685383,-0.0241119248892666,0,0,0,0,0,0,0,0,0,0,0,0,0.461249963046349,0,0,0,0.448940831509993,0,0,0,0,0.0649025442429459,0.0124172095823335,0,0,0,-0.129131583343342,0,-0.135972948018628,0,0,0,0,0.128555934186025,0,0,0,0,-0.100247394477665,0,0.180541251340393,0,0,0,0,0,-0.12702252762739,0,0
X601988.CH.EQUITY,-0.262433141125956,0,0,0,0.348473916659435,0,0,0,0,0,0,0,0,0,0,0,0,0.188886305427816,0,0,0.638251927382323,0,0,0,-0.0193681398306741,0,0.00635367161277085,0,0,-0.485593092658233,0,0,0,0,0,0,0,0,0,0,0.077882371307461,0,0,0.0803650074580434,0,0,0,0,0,0,0
X600036.CH.EQUITY,-0.0472044593338059,0.411991975089514,-0.064625117746824,0,-0.0375176474403925,0,0,0,-0.00741811902599488,0.51411495056894,0,0.0765312408398243,0,0,0,0,0,0,0,0,0,-0.0615918989144125,0,0,0.218941171853487,0,0,0.0800096325394069,0,0,0.0806640258377088,0,-0.362939228396535,0,0,0,0,0,0,0,0,0.20883377988525,0.129171964401795,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0795918750436886,0,0,0.172368363859415,0.00420513223703285,0,0,0,0,0,-0.0160267777494095,0.0171029350739585,0,0,0.113765004820771,0,0,0,0,0,0,0,0,0,0.187042364687912,0,0,0,0,0,0.148314274026193,0,0,0,0,0,0,-0.0184966484477353,0,0,0,0,0.0106021815887262,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.1577752609981,0.0627825521814796,0.117510930603824,0,0,0,0,0,0,0.00822098753510963,0,0.364138038740642,0,0,0,0,0,-0.00697393798787421,0,0.0181695880328215,0.0959326521343036,0,0,0,0,0,0,0,0.0297669908660893,-0.0481295160933735,0,0,0,0,0.114177526828663,0.205974935836096,0,0,0,0,0,0.0441290163364184,0.0514842300015776,0,-0.222567532128622,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.62452734317138,0,0,0,0,0,0,0,0,0.0175042151595974,0,0.0216822578851997,0,0,0,0,0,0,0.146920204844773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00179383655355077,0,0,0,0,0,0,0,0,0,0,0
