,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.265731664618832,0.056123927312515,0.00218215481270002,-0.0128212727475382,0,0.460849186108765,0,0,0,0.0546212279251601,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0903309987918552,0.0329454152275062,0,0,0,0,0,0,0,0,0,0,0.0856179059635959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.097546293606398,0.0703245539624661,0,0,0.172725604961677,0,0.165939675641142,0,0,0,0.0931141105561933,0,0.111043402655242,0,0,0,0,0,0.270062329513593,0,0,0,-0.0107410489030327,0,0,0,0.124186393717357,0,0.114792309269291,0,0.0196223519727738,0,0,0,0,0,0,0,0.0309875314512236,0,-0.150090094159804,0,0.0607847099501613,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.457109009786593,0.131747469047734,0,0,0,0,0,0.244120854014782,0,0,0,0,0,0,0,0,0.0118183334223514,0,0,0,0,-0.142134016208688,0,0,0,0,0,0,0.159907510522819,0,0,0,0.118115489208633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117621446845391,0.162780499290309,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.246543736032232,0,0,0,0,-0.0827579183278267,0.208439504002411,0,0,0.145932753946933,0,0.000472910311613916,0,0,0,0,0,0,0,0,0.17447111868978,0,0.0555186318724656,0.0545444728087222,0,0,0,0,0,0,0,0.0193384947472014,0,0,0,0,0,0,0,0,0,0,0,0.370703132413371,-0.113937665973347,0
X601288.CH.EQUITY,0,0,0.06340741754045,0,0,0.0237779317234472,0,0.477842014612346,0,0,-0.0554757995631003,0.0694680743022069,0,0,0.0741978848422642,0,0,0,0,0,0,0,0.0709573408710976,0,0,0.00784231736340452,0,0,0.092744970061782,0,0,0,0.0213731865460281,0,0,0,0,0,0,0,0,0,0,0,0.0268277323142327,0,0,0,0.109290329134127,0,0,0
X601628.CH.EQUITY,0.0783001461583596,0,0,0,0,0,0,0,0,0,0.0244960222695938,0,-0.0887821425394192,0,0,-0.233647105006354,0,0,0,0,-0.0128211523448184,0.178071923657149,0,0,0.114006681161429,0,-0.0797801770243452,0,0,0,0,0,0,0.0621842637185999,0.568104827320173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044442908688311
X1299.HK.EQUITY,0,0,-0.207153595097416,0,0,0,0,0,0,0,0.106521550797509,8.67361737988404e-19,0,0,0,0,0,0,0,0.0197726842108872,0,0,0.112589947362791,0,0,0,0,0,0,0,0,0,0.171609343065411,0,0,0,0,0,0.0932146868227561,0.157451245382141,0.0651988440665412,0,0.296067506009405,0,0,0,0,0.298621825830803,0,0,0,0
X601988.CH.EQUITY,0.040306723812029,0,0.0903149618306312,0,0.358147058292815,0,0,0,0,0,0,0,0.209591264131837,0,0,0,0.150815747517006,0,0.0179891435721875,0,0,0,0.00952016795710761,0,0,0.0265874433766348,0,0,0,0,0.125474585868337,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.106435683369656,0,0,0,0,0,0,0,0,0,0,0,-0.120736830765668,0,0,0,0,0,0,0.229029394279325,0,0.179625599403121,0.130642655415541,0,0,0,0,0,0,-0.0101546584384755,0,0.0782350709831569,0,0,0,0,0,0.217100775363697,0.0671345932335925,6.93889390390723e-18,-0.0392083320008336,0.247165448891837,0,0.00723260836466205,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.107944425956493,0,0,0,0,0,0,0,0.0768386590379533,0.150625820158054,0,0,0.142563910455807,0,0,0,0,0,0,0,0.0104576021502045,0,0,0.195695624994495,0,0.330930773984634,0,0,0,0,0,0.00177916573266679,0,0,0,0,0,0,0,0,0,0,0,0,-0.0138821907971483,0,0,0,0
