,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0142414867079364,0.267624636197355,0,0,0,0,0,0,0.342997540797107,-0.312895996028689,0,0,0,0,0,0,-0.257942410189332,0,-0.0054348602645144,0,0,0,0,0,0,0,0.85954658452938,0,0,0,1.73472347597681e-18,-0.0179320279388788,0,0,0,0,0,-0.0165788285025659,0,0.02974654855099
X601318.CH.EQUITY,0,0,0,0,0,0,0.046695907291234,0,0.20410169628736,0.0109122864221442,0,0,0,0,0.08394811769082,0,0,0,0.0865975742905994,0,0,0.0445509461185351,0,0,0,0,0,0,0,0,0,0,0,0,0.186698452262772,0,0,0.21159668387564,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.212148643485745,0,0,0,0,0,0,0,0,0.225094409589097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104118015338669,0,0,0,0,0,-0.00148925938479761,-0.158743807183639,-0.198941630479819,0,0,0,0.0986626384646698,0,0.516510499126913,0,0,0.0348646611441319,0,-0.00692222331037399,0.145977853161631,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.0340264142961643,0,0.0586130339030817,0.46208798362269,0,0,0,0,0.0462859707324702,-0.321842672435217,0,0,-0.240175527983088,0,0,0,0,0,0,-0.0512907836058881,0,0,0,0,0,-0.251211495693384,0,0,0,0,0,0.118864201340292,0,0,0,0,0,0,0,0.402821938562889,0,0,0,-0.0943888559043117
X5.HK.EQUITY,0,0,0,0,0,0.126817666896997,0,0.132976267565724,0,0,0.0501971084966113,0.0305002155198824,0,0,0.25316499516247,0,0,0.151903297966667,0,0,0.0366204438916547,0,0,0,0,0,0,0,-0.0490296727671255,0,0,0,0,0,0,0,0,0.0341509742344609,0.0233293415782331,0,0,0,0,0,0,0,0,0,0.172151930387602,0,0
X601988.CH.EQUITY,-0.0589365385776655,0,0,-0.00346176713286973,0.399789300633138,0,0,0,0,0,0,0,0,0,0,0.0550617306763427,0,0,0,-0.178773576606913,0,0,0,0,0.359392884926758,0,0,0,0,-0.346069043502265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348684940238746,0.126096204240645,0,0,0,0,-0.0514723447471769
X600036.CH.EQUITY,0,0.197084874758034,0,0,0,0,0,-0.159875309605113,0,0.375186786765287,0,0.214889131304384,0,0,0,0,0.0690867521939741,0,0,0.329590272595503,0,0,0,0,0,0,0,0.0947495678649412,0,0,0,0,0,-0.0896697987189239,0,0,0,0,-0.0343160001295493,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.24284049404276,0,0,0,0,0,0,0,0,0,0,0,0,0.0175655672026907,0.07645417236927,0,0,0,0,0,0,0.253890597944855,0,0,0,0,0.0854767991444958,0,0,0.0865900899178107,0,0,0,0,0,0,0,0,-0.0655006036679285,0,-0.113576684553032,0,0,0.0419216382108769,0,0,0
X601628.CH.EQUITY,0,0.118100693589112,0.0324338433344566,0.0575612337662821,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.179421816949536,0,0,-0.0687913772092118,0,0,0,0,0,0,0,0.0236235422017171,0,0,0,0,0,0,-0.0627541578572654,0,0,0.262242330728695,0.246834319099569,0,0,0,0,0,0.226202249127707,0,0,0.117356414618074,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.122986288620425,0.0560382834258773,0,0,0.661957187360419,0,0,0,0,0,0,0,0,-3.46944695195361e-18,-0.00803029289578586,0,0,0.243966870090365,0,0,0,0,0,0.265582774863512,0,0,0,0,0,0,0,0,0,0,0,-0.0925531978930578,0,0,0,0.0187325726138233,0,0,0,-0.456587776750009,0,0,0,0,0
