,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.030254498702741,0,0.380574946418772,0,0,0.107817014787487,0,0.298206306103233,0,0,0.123700978695132,0,0,0,0,0,0,0.0258581058743997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.369048192896504,0,0,0,0,0,0.00449517321298806,0,0,0,0,3.46944695195361e-18,0.468137849874017,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0342355514162446,0,0,0,0,0,0,0.0717279292464069,0,0,0,0.0348335961610121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,-1.73472347597681e-18,0,0,0.0599340751891111,0,0,0,0,0.00767295351335392,0,0,0.383021076609878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0695136067284166,0,0,0.055227748672211,0.159658132125557,0,0,0,0,0,0.14058496765573,0,0,0,0,0,0
X601288.CH.EQUITY,0.394094165036917,0,0,0,0.415650978284422,0,0,0,0,0,0.0540853675568877,0,0,0,0,0.0860514354402096,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0342540653033197,0,0,0,0,0,0,0,0,-0.0134104986436162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.276565311664827,0,0,0,0,0,0,0.000594906635088571,0,0,0,0,0,0,0.136345359859311,0,0.132816080384959,0,0,0,0,0,0,0,0,0,0.000556127755776582,0.0663590153941578,0,0.0161259552747031,0,0,0.0462932448457033,0,0,0,0,0,0,0,0,0.164523207862416,0,0.150374443398911,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0872430136568059,0,0,0,0.207600906287807,0,0,0,0,0,0,0.470068105146406,0,0,0,0,0.613270187556438,0.0837689076436669,-0.509403531302618,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135312438198706,0,0,0,0,0,0,0,6.93889390390723e-18,0,-0.137924177052943
X600036.CH.EQUITY,0,0,0.0288535411169438,0,0,0.0498768693934941,0,0,0,0,0,0.328477105378634,0,0,0,0,0,0,0,0,0,0,0,0.0249456208169734,0,0,0.0930781704318483,0,0,0.00154258588938823,0,0,0,0.132105835941903,0,0,0,0,0,0,0.0731716593685296,0,0,0,0,0,0,0,0,0.27174590170564,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0114054756995207,0,0.0174332036216299,0,0,0,0,0,0,0.339017764727301,0,0,0,0,0.102826428046212,0,0.0139495186616165,0.0640960613772165,0,0,0,0.187007273207089,0,0,0,0,0,0,0,0.177255684479862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0.132643956844054,0,0,0,0,0,0.123755314200574,0,0,0,0.314896985120244,0.0339584380719686,0,0,0,0,0,0,0,0.0459448480248681,0,0,0,0,0,0,0,0,0.141860684015676,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0152837706094562,-0.163951963689637,0,0,0,0,0,0,0.060138845908637,0,0,0,0,0,0,0.588715538376061,0,0,0,0,0,0,0,0,0,0.061283397805315,-0.401531029349512,0,0,0,0,0.805372505595844,0,0,0,-0.0205408343153478,0
