,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.114880916487513,0,0.400628335378504,0,0,0.0165574675579092,0,0.219331703566939,0.0119338252008206,0,0.143880358897852,0,0,0,0,0,0.0748071142063207,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0640960568791084,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0
X601939.CH.EQUITY,0.476162947643757,0,0,0,0.0664983954477081,0,0,-0.116189316439119,0,0.0431031722274333,0,0,0.392944689840881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0309283164282851,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637305636377726,0,0
X601318.CH.EQUITY,0,0,0,0,0.0324388065721539,0,0,0,0,0,0,0.371883879549605,0,0,0,0,0,0,0,0,0,0.0384685223737831,0,0,0,0,0.000549811522243127,0,0,0,0,0,0,0,0.062347392314614,0,0,0,0.0538207930958597,0.153518852648204,0,0,0,0,0,0.128541084738964,0.0542187151152333,0,0,0,0,0
X601288.CH.EQUITY,0.412743725229311,0,0,0,0.399553838370968,0,0,0,0,0,0.0656997695312307,0,0,0,0,0.0690427329801934,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336862765820751,0,0,-0.0149492235469598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0474142244378141,0,0.321941425291305,0,0,0,0,0,0,0.202917815725736,0.073713233450999,0,0.100804119803805,0,0,0,0.165601968183766,0,0,0,0,0,3.46944695195361e-18,-0.0259940941370776,0,0,0.0466056947365258,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789082461116301,0,0,0,0,6.93889390390723e-18,0,0.0181308787678847,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.228647037356494,0,0,0,-4.33680868994202e-19,0,0.105075092016854,0,0,0,0,0.249871974225408,0,0,0,0,-0.0829853744071557,0.221156168604588,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285050331291406,0,0,0,0,0,0,0,0,0,0,-0.0969409374156585
X600036.CH.EQUITY,0,0,0.00607728330604459,0,0,0.0318056177065895,0,0.00472863528222227,0,0,0,0.397437549219317,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0325114881643152,0,0,0,0,0.118591463322798,0,0,0,0,0,0,0,0,0.0988086170409851,0,0.00816669430071574,0,0,0.0581518608722903,0,0,0,0,0,0,0,0.262603554072909,0,0
X1299.HK.EQUITY,0.0521938062918704,0,0,0,0,0,0.0563856644076997,0,0.0128478390195504,0,0,0,0,0,0.242272276145861,0.178696671408619,0,0,0,0,0.173620396049702,0,0.0759538811300547,0,0,0.127570914469144,0,0,0,0,0,0,0,0,0.0640376584130294,0,0,0,0,0,0.0429387777902883,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0684939372187121,0,0,0,0,0,0.104593549224136,0,0,0,0.201124332788944,0,0.355144425914894,0,0,0,0,0.0653782016308964,0,0,0,0,0,0,0.0183720538666255,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.0410942804836243,0
X601658.CH.Equity,0,0,0,0.225826776084435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342464415852125,0.619599149118464,0,0,0,0,0,0,0,0,0,0,0,-0.0185290659215143,0,0,0,0,0,0.215815827537343,0,-0.562136833279986,0,0,0
