,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.551005595179464,0,0.0285083605665405,0,0.0691419081673459,0,0,2.16840434497101e-19,0,0.0942615197937849,0,0,0,0,0,0.126091013286027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00200806717624186,0,0,0,0,0.0788601899079793,0,0,0.0751621634314246,-0.0496538629320701,-0.0169900279374348,0,0,-0.027924378914176,0,0,-0.00193642905180211
X601318.CH.EQUITY,0,0,0,0.104708101168595,0,0,0,0,0.0433807821090412,0,0,0,0,0,0,0,0,0.234653438107085,0,0,0,0,0,0,0,0.0473918045206146,0,0,0.0648288862789846,0,0,0,0.103355579937038,0,0,0,0,0,0,0.194289507939526,0.0573030338933207,0,0,0,0,5.42101086242752e-20,0,0,0.0813963459900228,0,0
X601939.CH.EQUITY,0.124144528667537,0,0,0.475750508577899,0,0.0362744558893011,0,0,0,0,0.122207951514424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832690867267844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829972309747,0.0145730937010208,0
X601288.CH.EQUITY,0.251032567192597,0,0,0,0,0.0376704194113793,0,0,0,0.124838241378013,0,0,0,0,0,0,0,0.0483014252938068,0,0,0,0,0,0,0.0556967740997709,0.172005837895166,0,0.00842143037612401,0,0.133127926353494,0,0,0,0,0,0,0,0,0,0,0,0.108892119628692,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.321246760566856,0,0,0.102713260232947,0,0,0,0,0.106079199090377,0.0973070497548325,0,0,0,0,0,0,0,0,0,0,0,0,0.263070940574388,0,0,0,0,0,0,0,0,0,0,0,0.129610965846246,0,0,-0.488142512516759,1.73472347597681e-18,-0.0297031322808673,-0.0435879183640095,1.73472347597681e-18,0,-0.242893623762296
X601988.CH.EQUITY,0.102063357173277,0,0,0,0.042557825399517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596220528952009,0,0,0,0,0,0,0.105478576138395,0,0,0,0,0,0,0,0,0,0.0509371384312791,0,0,0,0,0,0,0,0,0.0757654871389403,0.0964305874305185,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0.0527929905092282,0,0,0,0,0,0,0,0,0,0,0,0.0313981522434201,0,0,0,0,0.592101745677903,0,0,0.0685523931165055,0.13317609970027,0,0,0,0,0,0,0,0,-0.00293363195177215,0,0,0,0.0567692634652536,0,0,0.0229668076186521,0,0,0,0,0
X1299.HK.EQUITY,0,0.25728866174583,0,0,0,0,0,0,0,0,0,0.0853893764970977,0,0,0,0.0016618620134819,0.225498197584318,0,0,0,-0.106998746759569,0,0,0,0,0,0,0.21951994928435,0,0,0.0686854239883897,0,0,0,0.0471888467203427,0,0,0,0,0,0,0,0,0,0.00918944181274384,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.162865204634462,0,0,0.0196244968913519,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0418654395239499,0,-0.0189728704144326,0,0,0,0,0.15549295931171,0,0,0,0,0,0,0,0,0,0,0.371225430908551,0,0,0,0.224900676004097,0,0.0653135178198985,0,0,0.00552378399089257,0,0,0,0,0.0154421455448818
X601328.CH.EQUITY,0,0.00821277392994789,0.129763662310899,0,0,0,0.126716166596002,0,0,0,-8.67361737988404e-19,0.0217963940579165,0,0.241921341245749,0,0,0,0,0,0,0,0.232943660459023,0,0,0,0,0,0,0.0543382363488845,0,0,0.0136579868176715,0,-0.00896944057299776,0,0,0.00716351098030759,0,0,0.217077383290115,0,0,0,0,0,0.0186689068169994,0,0,0,0,0
