,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.28253846274693,0.043259409442648,0.0108602342091481,0,0,0.431396965233806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102314483337682,0,0,0,0.0488206961993824,0,0,0,0.0184647166522546,0,0,0,0,0,0,0.0747108365602306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.201244857420634,0,0,0,0,0,0.203805860606394,0,0,0,0.0480872452915612,0,0.0930102311391289,0,0,0.0656796836025277,0,0.0319824922164441,0,0,0,0,0,0,0,0,0.149790296524376,0,0,0.00819742882058655,0,0,0,0.132689519189638,0,0.0366629306197996,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0724635550610946
X601939.CH.EQUITY,0.447058248657938,0.172029194328261,0,0,0,0,0,0.235663423077996,0,0,0,0,0,0,0,0,0.0123668267549102,0,0,0,0,-0.115519800527541,0,0,0,0,0,0,0.143525148650998,0,-0.0413310851338741,0,0.139392089616156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112489513850487,0.126936749342533,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.568129126439763,0,-0.0831708672522612,0,0.0386982322194046,0,0,0,0,0,0,0,0,0,0.0612881441013687,0.105365794286216,0.0758293277386133,0,0,0,0,0.114720088187694,0,0,0,0.0554995217735237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531787321278059,0,0,0.00564014426225247,0
X600036.CH.EQUITY,0,0.143191566274485,0,0,0,0.0256517573544533,0,0.00407619294735548,0,0,0,0,0.121058933279213,0,0,0.0292883955209167,0,0,0,0,0,0,0.0944673336256838,0,0,0,0.0767457517941553,0,0,0,0.0252874211292808,0,0,0,0,0,0,0.0585982322667919,0,0,0.0645302201562388,0,0,0,0,0,0,0,0,0.360602997822853,-0.288854559080568,0
X1299.HK.EQUITY,0,0,-0.161862338897723,0,0,0,0,0,0,0.167493606747536,0,0,0,0,0,0,0,0,0,0,0,0,0.0451243740041326,0.169356282071018,0,0,0,0,0,0,0,0,0.17358302693263,0,0,0.0966542124299634,0,5.42101086242752e-20,0.089189576413098,0,0,0.0553407372281259,0.311756117453526,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.115886381513408,0,0,0,0,0,0,0,0,0,0,0,-0.0191553938768611,0,0,-0.127119990846038,0,0,0,0,-0.0161762072670726,0.161293970674746,0,0,0,0,-0.120760438960436,0,0,0,0,1.73472347597681e-18,0,0,0.571608940009156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0100056308474078
X601988.CH.EQUITY,0.0401302195444692,0,0.0908325819096323,0.3559170117049,0,0,0,0,0,0,0,0,0.208171693600274,0,0,0,0.15000255880492,0,0.0177683699118943,0,0,0,0.0260492341122705,0.00931748922124524,0,0,0,0,0,0.117207720635695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0
X5.HK.EQUITY,0,0.318295426323591,0,0,0,0,0,0,0,0,0,0,0,-0.223823202557528,0,0,0,0,0,0,0,0,0,0.276299388185412,0,0.135611809001864,0,0.0457158980294796,0,0,-0.00547017906243618,0,0,0,0,0,0,0,0,0,0.231207895607718,0,0.140240048622708,0,0,0,0,0.128131861943228,0,0,0.037339745444484,0
X388.HK.EQUITY,0,0,0,0,-0.123645552464105,0.260217767989315,0,0,0,0,0,0,0.048552514305511,0,-0.0489706571708152,0,0,0,0,0,-0.138278833678877,0.457459038186159,0,0,0,0,0,0.0737680663045255,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.047312373085934,0.136884856148049,0,-0.0656188009510663,0,0.144177166771609,0,-0.347837534719954,0,0.0237390986438616,0,0,0.179139933622063,0
