,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.293168895453676,0,0.00552123052572947,0,0,0.441194418746824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115559434454901,0,0,0,0.0655439930246907,0,0,0,0.0183583991080788,0,0,0,0,0,0,0.0770016958138173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0.150811969660312,0,0,0,0,0,0.188155051155737,0,0,0.0264859674018172,0.133401709619684,0,0.0706294315400603,0,0,0.0543440154085628,0,0.134668686908167,0,0,0,0,0,0,0,0,0,0.118659197628926,0,0,0.0502648211682352,0,0,0,0,0.0384216416213139,0,0,0,0,0,-0.0215496947525174,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.46858240485571,0.13655177520692,0,0,0,0,0,0.206299770175608,0,0,0,0.0109575944446659,0,0,0,0,0,0,0,0,0,-0.142143920959275,0,0,0,0,0,0,0.134335114414997,0,-0.013045736804252,0,0.117872278316097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168261005161199,0.167573484775805,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0.562374858225852,0,-0.0828324708525471,0,0.0380908465291986,0,0,0,0,0,0,0,0,0,0.060215586198426,0.105147610711792,0.0766049896368037,0,0,0,0,0.113633898894861,0,0,0,0.0559987302064864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0533838920809733,0,0,0.00564278220248252,0
X600036.CH.EQUITY,0,0.14182937373724,0,0,0,0,0.0260307712690536,0.00407731346861644,0,0,0,0,0.121681814642108,0,0,0.0298451776649332,0,0,0,0,0,0,0.0953504598510175,0,0,0,0.0779349090106365,0,0,0,0.0262727364500552,0,0,0,0,0,0,0.0591389904332393,0,0,0.0650041651803628,0,0,0,0,0,0,0,0,0.359866178747548,-0.293291520389784,0
X601628.CH.EQUITY,0.0683891758149441,0,0,0,-0.00026408232432829,0,0,0,0,0,0,0,-0.0649878419694574,0,0,-0.208312539398072,0,0,0,0,0,0.183211037451069,0,0,0.0726087984895321,0,-0.0987969636151396,0,0,0,-0.00554562920307917,0,0,0.583249996110469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0147671010401045
X1299.HK.EQUITY,0,0,-0.209508436952812,0,0,0,0,0,0,0.108574475128358,0,0,0,0,0,0,0,0,0,0,0.0202552890845246,0,0,0.113512245290604,0,0,0,0,0,0,0,0,0.175959987502764,1.73472347597681e-18,0,0,0,0,0,0.164580140845029,0.0970164262537285,0.0686462740881753,0,0.298146103957573,0,0,0.297682465645428,0,0,0,0,0
X601988.CH.EQUITY,0.167261339621945,0,0.0958905921387577,0.376137810428706,0,0,0,0,0,0.0473856592538634,0,0,0.181351609742467,0,0,0,0.132968503238411,0,0,0,0,0,0.00271283875698461,0.0209842052923326,0,0,0,0,0,0.0959815012046891,1.73472347597681e-18,0,0,0,0,0,0.0187768099571643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.247370599830711,0,0,0,0,0,0,0,0,0,0,0,-0.085835878388945,0,0,0,0,0,0,0,0,0,0.367075946043615,0,0.0745687183278454,0,0.0631161803741077,0,0,0,0,0.0437066266969738,0,0,0,0,0,-0.0164130931079739,0,0.224339721497486,0,0,0.103950469084842,0,0,0,0.123824209161986,0,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.0728518259404548,0,0.243982318887933,0,0,0,0,0,0,0,-0.00964476446338071,0,0,0,0,0,-0.114775885331386,0.467380952009864,0,0,0,0,0,0.0264253592584143,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.12975385038527,0.0794708515516517,0,-0.0819513322281177,0.153894948856868,0,0,-0.350026041197837,0,0.00484372737522692,0,0,0.171335144725875,0
