,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.374766289405899,0.0616201286266455,0.0935233048885424,0,0,0,0,0,0,0.203743930009324,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0.000624581543408734,-0.0102677567187378,0,0,0,0,0,0,0.0638184038418945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050506812509002,0,0,0,0.105570075322864,-0.0674927540507295
X601939.CH.EQUITY,0.510234886920642,0,0,0.117400200126889,0,0,-0.136696741683939,0,0,0,8.67361737988404e-19,0,0,0.161361274812332,-0.0548575900830825,0,0,0,0,0,0,0,0,0,0,0.02788078169976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223529446873682,0,0,-0.0838365378731624,0
X601318.CH.EQUITY,0,0,0,0,0.222440519543373,0,0,0,0,0,0,0,0,0,0.0400735707717957,0,0,0,0,0,0,0.19051265813898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252185229962493,0,0,0,0,0,0.205511854567414,0,0.00553478969639451,0,0,0,0,0.0812477112586102,0,0
X601288.CH.EQUITY,0.372237049203879,0,0,0,0.215068763783922,0,0,0,0,0,0,0,0,0.145777782253921,0,0,0,0,0,0.0914318751957698,0.031264953928129,0,0,0,0,0,0,0,0,0,0,0,0,0.0830566901271043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00471143720877062,0,0
X601988.CH.EQUITY,0,-1.38777878078145e-17,0,0.500475216336167,0,0,0,0,0,0.216716345579188,0,0,0,0,0,0.327157638169129,0,0.0761063674362734,0,0,0.017384118761757,0,0,0,-3.46944695195361e-18,0,0,0.0214989494910187,0,0,0,0,0,0,0,0,0,-0.565598126224159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.278306881739022,0,0,0,0,0,0.0920471572914921,0,3.46944695195361e-18,0,0,0,0.0101091002918832,0,0,0,0,0,0.186830516613042,0.0433598833036156,0,0.0906640809771807,0,0,0,0.0161002123754638,0,0,0,0,0.172107556949031,0,0,0,0,0.105900461068455,0,0.0157206530069896,0,0,0
X1299.HK.EQUITY,0.0879311052371114,0,0,0,0,0,0,0,0.186131554605818,0,0,0,0,0.094004599117988,0,0,0.0569121911828076,0,0,0,0,0,0.0112355580262958,0,0,0,0,0,0.250939919615186,0,0,0.10123177266935,0,0,0,0.0487173660765485,0,0,0,0,0,0,0,0.0253882603661115,0,0,0.0642953594203341,0,0,0,0,0
X5.HK.EQUITY,0,-0.0176597318099634,0,-0.159638535779095,0,0,0,0,0,0,0,0,0,0,-0.0589031577366567,0,-0.103783483105232,0,0,0,0,0,-0.43461024175863,0.927117461555593,0,0,0.561132755773979,0,0,0,0,0,0,0,0,0,0,0,0.428883978376288,0,0,0,0,-0.132132783064335,0,0,0,0,0,0,0,-0.0816375925288091
X601628.CH.EQUITY,0.110734527514487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152330743309367,0,0,0.0583326125909786,0.0876602949586989,0,0,0,0,0,0,0.162852650687461,0,0,0,0,0,0,0,0,0,0,0,0,0.0403595451852067,0.152532173342271,0,0,0,0,0.0202115339068569,0.0252366700511745,0,0.0729523473666955,0
X601658.CH.Equity,0,0,0,0.177040592067852,0.057641797537742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111046785752333,0.282028217333001,0,0,0,0,0,0,0,0,0,0.0601692399375794,0,0,0,0,0,0,0,0,0.336637707550573,0,0,0,0
