,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.135064679374283,0,0.0165973179291967,0,0,0,0,0,0,0.275757042116933,0.244729799471521,0,0,0,-0.0878550987848554,0,0,0,0,0,0,0.0202255030559777,0,0,0,0,0,0,0,0,0.0222712728560081,0,0.261124285488551,0,0,0,0,0.0409214343318129,0,0,0.0551777045445243,0,0,0,0.019902378820035,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.261780472192431,0,0,0.139940885148839,0,0,0,0.0412645032678885,0,0,-0.0311536693065694,-0.130488350261378,0,0,0,0,0,0,0,0,0,0,0,0.187139951957982,0,0,0,0,0,0,-0.312392510181157,0,0.309611827868724,0.0558452477026945,0.267612123900993,0,0,0,0.0217093795517623,0.0823306754957247,0,0,0
X601939.CH.EQUITY,0.492556557598857,0,0,0,0,0.182863474931475,0,0,0,0,0,0,0,0.0691649233518159,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372933030864031,-0.113399315418449,0,0,0.04434176371485,0,0,-0.0482299984324497,0,0,0,0,0
X601288.CH.EQUITY,0.612821237845123,0.0831549104760735,0.114555872515269,0,0.0467129068526026,0.0198782372447358,0,0,0,0,0,0,0,0,0.00618275398930381,0,0,0,0,0,0,0,-0.0388320440877242,0,0,0,2.16840434497101e-19,0,0,0,0,0,0.118001700292458,0,0.0353630413638936,0,0,0.0529946322016921,0.180785252943856,0,0,0.0314756002843357,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0.0141073438660282,-0.0440056018570315,0.115487113122326,0.038269934406545,0,0.0698730426950294,0,-0.131271040083574,0,0,0.0515118669975415,0.284582571101009,0,0,0,0,0,0.709275139525735,0,0,0,0,0,0,0,0,-0.167123627921453,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0933624656086571,0,0,0,0,0
X601988.CH.EQUITY,0.133307782051074,0,0.203879437643602,0.0663328537861071,0,0,0,0,0.0773471395678794,0.105239111720909,0.10372099450076,0,-0.277174617340588,0,0,0,0,0,-0.0164632312581875,0,0,0.211762537065352,0,0,0,0,0.163227995799889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101076058904716,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0668067553802954,0,0,0,0,0,0.225779217677597,0,0.15867743943564,0,0,0,0,0,0,0,0.105061496398742,0,0,0,0,0,0,0,0.14120772750831,0,0,0,0.0336159820381198,0.0957691771721065,0,0,0,0.0381764321460164,0,0,0,0,0,0.0406833540987355,0,0,0.0159180801322073,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.183434878965956,0,0,0.0346611409070764,0,-0.0996784103646177,0,-0.0498573168177051,0,0,0.27219724179488,0.262993168747913,0,0,0,0,0.121479888399606,0,0,0,0.137264161843088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178516906835875,0,0
X601628.CH.EQUITY,0.366322778574471,0.294269073113782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103318903810151,0.0370372514729399,0,0,0,0,0,0,0,0,0,-0.0574067828407116,0,0,0,0.0527253445299381,-0.156437062150981,0,0,0,0,0,0,0,0,0,0,-0.0503756993058685,0.175005452990028,0,-0.184928464030164,0.0370199263016452,0,0
X601166.CH.EQUITY,0.204369420745888,0,0,0,0,0.0107534541294395,0.433415134282038,0,0,0,0,0,0,0,0,0.429286421024227,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.0339881408324841,3.46944695195361e-18,0,0,0,6.93889390390723e-18,0.00241598724397213,0,0,0,0,0,0,0,0.058289785034519,0,0,0,0,0,0,0,0,0,0
