,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.0581456873224216,0,0.499345279139791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121843030040612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197514220723318,0,0.0136931023463501,0,0,0,0,0,0.0163261563670092,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.00666336175451541,0,0.0216724818196817,0,-0.0347893314128032,0,0,0,0.184039849010407,0,0,0,0,0,0.500952410675472,0,0,0,0,0,-0.106218783600581,0,0.146182858883071,0,0,0.108327590500225,0,0,0,0.0768341168224229,0,0,0.126908518508963,0,0,0,0,0.0347873309753056,0,0,0,0,0,-6.93889390390723e-18,0.0297155845192761,0,0
X601939.CH.EQUITY,0,0,0,0,0.140725568574434,0,0.353469800846389,0,0,0,0,0,-0.161414293263342,0,0,0,0,0,0,0,0.0136664353106668,0,0.585515022777301,0,0,0,0,-0.0171677767141725,0,0,0,0,0,0,0,0,0,0,0,-0.025057006738937,0,0,0,0,0,0,0,0,0,0,0,-0.124006791267937
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.142287943272743,0,0,0,0,0,-0.0329780329768721,0,0.278163817654075,0,0,0,0,0,0.0702064681681561,0,0,0,-0.182698890911912,0,0,0.0629184356886734,0,0.3609068169763,0,0.287058453485531,0,0,0,-0.00555860007588652,0,0,0,0.0617418796637946,0,0,0,0.0818949093890377,0,0,0.00743937537993479,-0.0433588662288496,0
X601288.CH.EQUITY,0.13659523643042,0,0,0,0,0,0.0435412705928549,-0.0108461965811382,0,0.0374025066810917,0,0,0,0,0,0.466194011765772,0,0,0,0,0.112360866072977,0,0.185128470468017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283891599421176,-0.00114514037004457,0,0,0,0,0,-0.0296163771540048,0,0,0.0368537516316545,0,0,-0.03815733541321,0,0
X600036.CH.EQUITY,0.191333671382844,0.0654738513945138,0,0.0588388084926485,0,0,0,0,0,0,0,0,0,0.30306883567422,0,0,0,0,0.0256086488677537,0,0,0,0,0,0.271193243288123,0,0,0,0,0.0451063784396851,0,0,0,0,0,0,0,0,0,0,0,0.0255529953693921,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.116072066645649,0.14647322316473,0.0592427614074946,0,0.0430113474099581,0.333711994995113,0,0,0,0,0,0,0,0,0,0.217100958703028,0,0,0,0,0.170497598824779,0,0,0,0.0130611571843908,-0.0127221233317755,0,0,0,0,0.0542390143918987,0,-0.0579405969182707,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,-0.147280382693603,0,0,0,0,0,0,0,0.0831977317318907
X1299.HK.EQUITY,0,0,0,0,-0.17041451211775,0,0,0,0,0.307953656984318,0,0,0,0,0,0,0.0703966962036855,0,0,0,-0.0269756735239386,0,0,0,0,0.132323783563291,0.423203950796331,0,0,0.0804700032188635,8.67361737988404e-19,0,0,0,0,0,0,0.0196374143415876,0,0,0,0,-0.104606599420886,0,0.117215569258829,0,0,0,0.220686768453336,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.00088922475109568,0,-0.186347160987988,0,0,0,0,0,-0.130482160619173,0,0,0,0.14880180198436,0,0,0,0,0.0980361344244476,0.439822712797398,0,0,0,0.0539296882175837,0,0,0,0,0,0,0,0,0,0,0.0251970326138965,0.179445270370991,0.184839470076914,0,0,0,0,0.1228057238571,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107931693438869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155973167700622,0,0,0.328982510093507,0.190414720519538,0,0,0,0,0.0612201188288688,0.136486570041944,0,0,-0.253585334626121,-0.179841387776845,0,0.0341324928145355,0,0.307378321853511,0,0,0,0.00732394546923429,0
X601658.CH.Equity,0.0898378535984435,0.0772196038227242,0,0,0,0,0,0.111879937325607,0,0,0,0,0,0.0869932825561711,0,0.291793719923785,0,0,0.0511773007548842,0,0,0,0.0357848551052498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705716188841432,0,0,0,0,-0.116025433628603,0,0.000104812481971275,0,0.195663797488092,0,0.0383767817207371,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,-8.67361737988404e-19,0.00450300089856781,0,0,0.110068941475359,0,0,0,0,0,0,0.106743660432545,0,0,0,0,0,0,0,0,0,0,0.214858356010701,0.0584784397712479,0,0,0,0,0,0,0.129254338324634,0,0,0,0,0.0513116068139372,0.0162109195268293,0,0,0.0633397202195488,0,0,0,0,0,0
