,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X388.HK.EQUITY,0,0,0,0,0.069743627224215,0,0.00953133811949029,0.0656655820596108,0,0,0,0,0,0,0,0.138649231859798,0,0,0,0,0,0.313440372059966,0.0324463026090921,0,0,0,0.030765511708758,0.0175232318611315,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0774940688697361,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0.0208625718837626,0,0,0,0.0678757623115798,0,-0.120753509404109,0,0,0,0,0.143601999080708,0,0,0,0,0,0,0.23019789599938,0,0,0,0,0.00802203465745687,0,0,0,0,0,0.189804514963086,0,-0.110356811762531,0.166771609141849,0,0,0,0,0,0,0.113921067259273,0,0,0,0,0,0.233224786634125,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0.19412932181624,0,0,0,0,0,0,0,0.0126173200748717,0,0,0,0,0,0.10112851962846,0,0,0,0.163013522225114,0,0,0,0,0.257406295413743,0,0,0,0,0.170567151837757,0,0.108954317926375,0,0.0166206403713147,0,0,0.0362099852992449,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.146419332491756,0.242565214319255,0,0.333485146820892,0,0,0,0.0717776306773386,0,0,0,0,0,0,0,0,0,0,0,0.0259165327525412,0,0,0,0,0,0,0,0,0,0,0,0.226293069570273,0.0189015314746376,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.189152086960006,0,0,0,0,0,0,0.086789087346751,0,0,0,0,4.33680868994202e-19,0,0.436549852767682,0,0,0,0,0,0.0551659312715157,0,0,0,0,0,0,-0.0374398256341249,0.0737142284894248,0,0,0,0,0,0,0.119890862102674,0,0,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0.0942364368831217,0.0279859352013169,0,0,0,0.187979561200789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639361373836046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20852791601508,0,0,0,0,0,0,0,0,0,0,0.194912928728431,0,0,0,0,-0.0494428014537759,0,-0.104674727259179,0,0,0,0.0552672301856182,0,0.585668637916161,0,0,0,0,0,0,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0.0828200488920002,0.072722593519069,0,0,0,0,0,0,0,0,0.02503670206638,3.46944695195361e-18,0.0358470399246718,0,0,0.290398360160894,0,0,0,0,0,0,0.0527559535514675,0,0,0.103860251142752,0,0,0.150127984185917,0.0398835382575841,0,0,0,0,0,0,0,0,0,0.0524081244453164,0,0,0,0,0,0.078787752020453,0,0,0
X600030.CH.EQUITY,0,0.0101066314680113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154994150599083,0,0,0.486381421284085,0.0732322204054879,0,0,0,0,0.0168275703509361,0,0,0,0,0.143765284016553,0,0,0,0
X600016.CH.EQUITY,0,0,0.0257740732244651,0,0,0,0,0,0,0,0,0.513777499315407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0491421122315658,0,0,0,0,0,0,0,0.227555053516108,0,0,0,0,0.139853455060024,0,0,0,0,0,0.0344416577622627,0,0,0,0
