,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.127337242407192,0.0123088075612588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0947420976731286,0,0.481661181891018,0.326631507411149,0.0403828867866048,0,0.164891094584363,0,-0.252711009440347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363299539540729,0,0.00340459265622025,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.199656885177607,0,0,0,-0.0655155309266439,0,0,0.104289286659686,0,0,0,0,0,0.0491429340649837,0,0,0,0,0,0,0,0,0,0,0.19569992222339,0,0,0.0218001450386428,0,0,0,0.25209308802538,0,0.045289210732277,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0
X601939.CH.EQUITY,0,0.064288266026953,0,0.81458984893086,0,0,0,0,0,0,0,0,-0.0308723519649418,0.0140198653732862,0,0,0.0778885155453647,0.0430684445284982,0.0213911498794779,0,0,0,0,0,0,0.0177646445864904,0.0271193381812919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0240563569857042,0,0,0,0,0,0
X601288.CH.EQUITY,0.0486053475852492,0,0.926517857908478,0,-0.00712690859413075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031427371843725,0,0,0,0,0,0,0.0756590820483812,0,0,0,0,0,-0.043407002985666,0,0,-0.0913463185013939,0,0,0,-0.00872389011332178,0,0,0,0,-0.105714356650338,-0.039443560598865
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.101345598663346,-0.101919940635111,0.412680560928642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590166898824689,0,0,0,0,0,0,0,0,0.270658044030726,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.408636345709189,0,0,0,0,0,0.0223462850893089,-0.00517109251957152,0,0,0,0,0,0,0.105591495316444,0,0,0.00634911702042417,0.0126624904609482,0,0,0,0,0.188886253871676,0.12002247300822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,3.46944695195361e-18,0,-0.159616083155909,0.0816889028536356,0,0.0269803490108551,0,0,0,-0.000832826205546743,0,0.0384891596198057,0,0,0,0,0,0,-0.0725907722168604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1057496549005,0,0.0108090833283123,0,0,0,0,1.01772970673045,0,0,0.0348238795594453
X1299.HK.EQUITY,0,0,0,0,0.157268298272201,0,0,0,0,0.128044082748455,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.205873568305814,0,0.417836914496099,0,0,0.0890956798225174,0.385134715774757,0.164599359449901,0.0943052937812731,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,-0.176598619615267,0,0,0,0,0,0.0893977478878454,0
X5.HK.EQUITY,0,0,0,0,-0.0201400179712354,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0943630623184214,0,0,0,0.0153010094188826,0,0,0.243381768673033,0,0.472599557572021,-0.146891774575945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463864408902409,0,0,0,0,0.134357982205855,0.064971243255394,0
X388.HK.EQUITY,0,0,0,0,0.186587349804938,0,0,0,0.0623839857453498,0,0,0,0,0,0,0,0,-0.237888905924236,0,0,0,0,0,0,0.366484825486025,0,0,0,0.0887481349503846,0,0.0933607848229102,0.0458607345045499,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241241198439182,0.0488670137039431,0,0,-0.200692957066441,0,0
