,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19529278039488,0,0,0,0,0.501146081661331,0,0,0,0,0,-0.0100126312834725,0,0,0,0,0,0,-0.141932515733433,0,0,0.497884765894812,0,0,0,0,0,0,0,0,0.0785588952162611,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.15047530193267,0,0.271692203297333,0,0,0,0,0,0,0,0,0.28040720019488,0.0779167913498683,0,0.0412393674176746,0,0,0,0,0.102570064840212,0,0,0,0,-0.0116230188636493,0,0,0,-1.73472347597681e-18,0.0601104401020364,0,0,0,0,0.0208350714490123,0,0,0,0.00121286381829555,0,0,0.0270234932324027,0.0186189399488289,0,0
X601939.CH.EQUITY,0,0,0,0.73495367338619,0.0322659707020184,0.0544018959656776,0,0,0,0.234837276827913,0,0,0,0,0,0,0,0,0,0,0.0506174446325136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0234781853116374,0,0.0234877003681416,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.399346398388888,0,0.0235560181557687,0,0.971675077927226,0,0,0,-0.0997300265879717,0,0,0,0,-0.26529198437114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192124243596789,0,0,0,0,0,0,0,0,0,0,0.063610248127454,0,0,0
X5.HK.EQUITY,0,0.0438875158547101,0,0,0,0.137094096080728,0.3499692797557,0,0,0,0,0,0,0,0.0591969356445212,0,0,0,0,-0.0104992559047975,0,0,0,0,0,0.00101730023261725,-6.7762635780344e-21,-0.216577131891948,0,0,0,0,0,0,0,0,0.114920631485679,0.00839593649264544,0,0,0.318546520688067,0,0,0,0,0,-0.119948922934131,0,0.0407588778072399,0,0
X601988.CH.EQUITY,0,0,0,0,0.360836714089558,0,0,0,0.0907174638332432,0,0,0,0,0,0,0.0959054811988442,0.0396867678558219,0,0,-0.0706052100676569,-0.0727781476638164,0,0,0,0.243537776445996,0,0,0,0,0,-0.223267246834023,0,0,0,0,0,0,0,0,0.0698356062948114,0,0,0,0,0,0,0,0,-0.0302493926367047,0,-0.126570608811629
X1299.HK.EQUITY,0,0,0,0,0.22991809119116,0,0,0,0,0,0,0,0,0,0,0,0.193284912812447,0,0,0,0,0,0,0,0,0.0351488339681605,0,0.0360853913693632,-0.117628158706408,0.0880327785676927,0.0524811814010777,0,0,0,0,0,0.531842542227841,0,0.00231399277986166,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.418434495713253,0,0,0,0,0,0,0,0.261130048409578,-0.0417820790091481,0,0,0,0,0,0,0,0,0,0.00732492728999801,0,0,0,0,0,0,0,0,0,0,0,-0.00467168658140666,0,0.210989706283238,0,0,0,0,-0.108275506469102,0,0,0
X601628.CH.EQUITY,0,0.027650063342145,0,0.00384767216595238,-0.0406386157667441,0,0,0,0,0,0,0.0908572860345406,0,0,0,0,0,0.165661220235163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407105612195496,0,0,0,0,0,0.208208926891922,0.10672761076823,0,0.0862088745314565,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.102658861083089,0,-0.0542342628855224,0,0,0.415385823714059,0,0,0,-0.0401412046573617,0,0.460660514175451,0,0,0,0,0,0,0.139907892320569,0,0.0937775553749767,0,0,0,0,0,0,0,0,0,-0.0897954346730122,0,0,0,-0.0902797549798477,-0.191384711760173,0,0,0,0,0,0,-0.0595182648575374,0,0,0,0,0,0
