,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.28874145419208,0.0981756551057852,0.0807687540783778,0,0,0.268909792164856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14368688957022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0946468064169798,0,0,0,0,0,0,0,0,0,0,0,-0.0506768457277193,0,0
X601318.CH.EQUITY,0,0,0.109662142778838,0,0.133385840105142,0,0.0398565407553237,0,0.183520758314872,0,0,0.0660000423784606,0.12819036830895,0,0.0485993153106487,0,0,0,0,0,0.190780240442288,0,0,0,0,0,0,0,0,0,0.117145192665155,0,0,0,0,0,0,0,0,0,0.064217267642738,0,-0.0737985798508825,0,0.0581415834060123,0,0,0,0,-0.0322796030204182,0,0
X601939.CH.EQUITY,0.4206479377605,0.270618686817932,0,0,0,0.0265270288453057,0,0.384155758007701,0,0,0,0,0,0,0,0,0.0298532085159816,0,0,0,0,-0.111630693732185,0,0,0,0,0,0.127066399681117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134587235044232,0
X601288.CH.EQUITY,0,0,0.0274961752497936,0,0,0.0218322496090269,0,0.506885243166426,0,0,-0.0781427941524855,0.051317063877578,0,0,0.0460367793800035,0,0,0,0,0,0.0777110502031269,0,0.0696451137055531,0,0,0,0,0.11053442219518,0,0,0,0,0.0304973931406784,0,0,0,0,0,0,0,0,0,0,0,0.0261859595661966,0,0,0,0.060754744259043,0,0,0
X600036.CH.EQUITY,-0.0176931959487116,0.0846280789011777,0,0,0,0,0.185334811496246,0,0.0162198238076056,0,0,-0.0836137763433631,0.0948327702869117,0,0,0.101288255354211,0,0,0,0,0,0,0,0,0.544650744033351,0,0.124206022446849,0.103769090139706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.082152660892737,0
X601628.CH.EQUITY,0.163516966532548,0,0,0,0,0,0,0,0,0,0.0550695189567952,0,-0.016853848343536,0,0,-0.208858386761695,0,0,0,0,-0.033499287736259,0.153853794655554,0,0,0,0,-0.117941337396856,0,0,0,0,0,0,0,0.650068068209334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738197288563827,0,-0.0200327773649188
X1299.HK.EQUITY,0,0,0,-0.0178717418946498,0,0,0,0,0,0,0.07363272680039,-0.0524951683020406,0,0,0,0,0,0,0,0.0315258896999336,0,0,0.153434948077499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108615650605685,0.122897350896402,0.162396765898929,0,0.147820751027837,0,0,0,0,0,0,0.269225559744406,0,0
X601988.CH.EQUITY,0,0,0.100128505941536,0.48218196492059,0.0822722554079491,0,0,0,0,-0.00277513017547257,0,0,0.214028301051701,0,0,0,0.07210787347099,0,0,0,0,0,0.0398935474028244,1.73472347597681e-18,0,0,0,0,0,0,0.0219755602123189,0,0,0,0,0,0.0299723551429014,0,0,0,0,0,0.0368941245989647,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.0917836746791966,0,0,0,0,0,0,0,0,0,0,0.000488910722571005,-0.107392214412227,0,0,0,0,0,0,0.145727835297543,0,0.167808272615125,0,0,0.120091888534924,0,0,0,0,-0.0448094407835691,0,0.104068781193383,0,0,0,0,0,0.33185680131726,0,0,0,0.203074219778768,0,0.052548740851378,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0741366292975251,0,0.0782680170616292,0,0,0,0,0,0,0.0523088348633417,0.117964642091958,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166397715486558,0.372740165574545,0.0373615520127588,0,0,0,0,0,0.0201750858389472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
