,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.319261739362709,0,0.157634219641637,0.0248136937334169,0,0,-0.0581840987839572,0,0,0,0,0,0,0,0.0224172730005761,0,0,-0.0501749361018937,0,0,0,-0.00265573787016536,0,0,0,0.0198528030258141,0,0,0.0803663307218548,0,0,0,0,0,0,0,0,0,0,0,0.00210307128452324,0.319458648630657,-0.0268003465598435,0,0,0,0,-0.0379056457264084,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0241366201574015,0,0,0,0,0,0.097138810519143,0,0,0,0.178558096626524,0,0,0,0,0.0346028405810996,0,0,0,0,0,0.123598937083836,0,0.0591922854148499,0,0,0.369487256299796,0,0.059205158575552,0,0,0,0,0,0,0,0,0,0,0.0471340862810333,0,0,0
X601939.CH.EQUITY,0,0,0,0.760731346162727,0,0,0,0,0,0.000683188581086313,0.0721998979427694,0,0,-0.0362299982374822,0,0.140725516787808,0,0,0,0.0935423986283241,0,0,0.0107838650726856,0,0,0,0,0,0.041693845474879,0,0,0,0,0,0,0.0160688013770882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.200624107827948,0,0.856386171078011,0,0,0,0,-0.0588833865033514,0,0,0,0,0,0,0,0,0.0150360817518035,0,0,0,0.0305261444579481,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0254781755500268,0,0,0,0,0.019908796832011,0,0,-0.135864065752044,0,0,0.00359800139220362,0,0,0,0,-0.040642321030606,-0.00195595257253501
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.219955746934734,0,0,0,0,0,0,0,0,0.277606816543959,0,0,0,0,0,0,0,0,0,-0.012093876190904,0,0,0,0,0,0.124168767033224,0,0,0,0,0,0,0,0,0,0,0.150875472000379,0,0.345158769536615,0,0,0,0
X600036.CH.EQUITY,0.258191657407505,0,0.14876508239242,0.0999314915161858,0,0,0,0,0,-0.0291652308514772,0,0,0,0,0,0.229494801124421,0,0.0215236503106597,0.0178470051323199,0,0,0,0,0,0,0,0,0.220308242373715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594191749239334,0,0,0.0258151639336742,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0877396875521092,0,0,0.162395213826568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0083946203499547,0,0,0,0,0,0,0,0,0,-0.00809989166749029,0,0,0,-0.137534646135372,-0.00637875287246809,0,0.897335901881599,0,0
X1299.HK.EQUITY,0,0,0,0,0.0882835280733089,0,0,0,0,0.271752003267336,0,0,0,0.0898819484419579,0,0,0,0,0,0,0,0.267451123149269,0,0,0,0,0,0.0516211314403551,0,-0.072661798894943,0.0846803094568701,0,0,0,0,0,0,0,0,0,0,0,0,0.146639456666089,0,0,0,0.0223853748222292,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.254630317384336,0,0,0,0,0,-0.106443385064242,0,0,0,0,0,0,0.314752109401497,0,0,0.0645772590305989,0.114130388379183,0,0,0,0,-0.107892863367473,0,0,0.0728304743254267,0,0,0.115842096971836,0,0,0.302424735188471,0.168510682414642,0,0,0,0.0601516136903014,0,0,0
X388.HK.EQUITY,0,0.163530526934372,0,0,0.295444579006398,0,0,0.0318635357874657,0,0,0,0,0,0,0,0,0,0,0,0,0.0562257576455152,0.14225339602748,0,0,0.046483510608198,0,0,0,0,0,0,0,0,0,0,0,0,0.139025312552319,0.0432310211061204,0,0,0,-0.273749037210055,0,0,0.228365843268683,0,0.00279535625866373,0,0,0,0
