,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.100342550886828,0,0,0.36118400765827,0,0,0,0,0,0.200618878030761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0197764189365249,0,0,-0.157538022978246,0.0620029443327981,0,0,0,0,0.125507190804501,0,0.0538795663978811,0,0,0,0,-0.132608579201161,0,0,0,-0.0256627248311376,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.129320817020535,0,0,0,0.0186073743593833,0,0,0.21685096638771,0.0154736852764335,0.0279827532173224,0,0,0,0,0,0,0,0.054548133898328,0,0,0,0,0.0443906727568889,0,0,0,0,0,0,0.00534242651825204,0,0,0,0.516256815470639,-0.0679511293773644,0,0,0,0,0.0864810430620096,0,0,0,0,0
X601939.CH.EQUITY,0.236195005550087,0,0,0,0,0,0,0,0.0399420999514664,0.0200071959939705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386684318768363,0,0,0,0,0,0,0.0956267228862908,0,0.0134714622900815,-0.0491794503610477,0,0,0.0215121664261774,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.232831075934915,0,0,0,0,0.00875144328318409,0,0.0902973578848235,0,0,0,0,0,0,0,0.121740755035582,0,0,0,0,0.160666056640492,0,0,0,0,0,0,-0.0857651867907243,0,0,0.0225111355702294,0,0.0429299231816628,0,0.214425679855592,0,0.118779033605725,0,0,0,0,0,0.0597428527487354,0,0,0
X5.HK.EQUITY,0,-0.222593274172059,0,0.0318692565325528,0,0,0,0.114696989405842,0,0.102173598823171,0,0,0,0,0,0.290203276904563,0,0.235679698960709,0,0.231891407200027,0,0,0,-0.205694033947118,0.378481796870986,0,-0.0338262717783676,0,-0.20894207091247,0,0,0,-0.0727839815705233,0,0,0,0,0,0,0,-0.0312347188933553,0,0.151013984618115,0.231680907317421,0,-0.0195452685798379,0,-0.199261319135339,0,0,-0.0655678354529957
X601988.CH.EQUITY,0.367333711394424,0,0,0.487521947407783,0,0,0,0,0,0.0616878092324154,0,-0.0953709571050241,0.0651592117544843,0,0,-0.0745852781316238,0,0,0,0,0,0,0,0,0,-0.0270047016650106,-0.0939559099252663,0.21213771496494,0.0876182867395058,0.0854612659965709,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0109058896610913,0,0,0,0,0,0,0,0,0,0.099873299464609,-0.0488585175598243
X600036.CH.EQUITY,0,0.657049234795381,0.0302409413016145,0,0,0,0,0,-0.177043937858773,0,0,0,0,0,0,0,0,0,0.143067570466006,0,-4.33680868994202e-19,0,0,0,0,0,0.0168650655422441,0,0.0195158567937397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23955568030472,0,0,-3.46944695195361e-18,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0774310009187163,0,0,0,-0.0881511270199483,0,0,0,0.332173015646892,0.0865295561486602,0,0.198372240957567,-0.107136010687735,0,0.195242762924727,0,0,0.198541285670335,-0.0891326317988962,0,0,0,0,0,0,0,0.00708416532158426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.160773724979377,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.00329928008374241,0,0.273234028936215,0,0,0,0,0,0.00731734182126232,0,0,0.163856377812441,0,0,0,0,-0.0515694938484338,0,0,0,0,0,0,0,0,0.14036004889448,0,0.0983222509717228,0,0,0,0,0,0,0,0,0.109693514415673,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.284136840146012,0.250747898566727,0,0,0,0,0,0,0,0.400890855576924,0,0,0,0,0,0,0,0,0,-0.0628310470060711,0,0,0.00705286706764258,0,0,0.377895407245652,0,-0.0737467279930546,0,0,0.325257180216253,0,0,0,0,0,0,-0.117964181582993,-0.192798878696986,0,0,0,-0.0352523551576967,0,0,0
