,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.13190326068085,0,0.177854596175044,0,0,0,0,0,0,0,0.323394462429346,0,0,0,0,3.46944695195361e-18,0,0,0,-0.167200321523162,0,0,0,0,0.103969638373872,0,0,0,0,0,0,0,0,0.0675154717110676,0,0,0.17154828006613,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.138108306510007,0.0112470148198919,0,0,0
X601318.CH.EQUITY,0,0,-0.110355481761412,0,0,0.0718550246848606,0,0,0.167326077334253,0,0,0,0.112222861569686,-0.0257019963088924,0,0.282695147738135,0,0,0,0,0,0,0.0389622728792622,-0.00591790658440467,0,0,0,0,0,0,-0.189532056397644,0,0,0,0.312177609307096,0,0,0.031874164490874,0,0.233372835062229,-0.187409610516719,0,0.183243964797065,0.133462480866334,0,0,0,0,-0.0810720463541166,0,0,0
X601939.CH.EQUITY,0.617448287946169,0,0,0.027880959343159,0.0341593479223807,0,0,-0.0754599950900855,0,0,0.173230285707477,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0.0370828083862733,0,0,0,0,0,0,0,0.274280177624309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.301170355056203,0,0.138382698300979,0,0,0.340579072606117,0,0,0,0,0.025160282565528,0,0,0,0,0,8.67361737988404e-19,0.0564116391108094,0,-0.0047024913666905,0.0407641792938263,0.0727593471180874,0,0,0,-0.0442008177812368,0,-0.0680638938620395,0,0,0,0,0,0,-0.133907930239867,0,0,0,0,0,0.206811378362262,0,0,0,-0.0823610135719511,0,0,0.122744193857917,0,0,0,0
X5.HK.EQUITY,0,-0.0506739967206394,0,0.041993425537327,0,0.212702502847234,0,-0.164669126856312,0,0,0,-2.77555756156289e-17,0.224024420863304,0,0,0,0,0,0,0,0,0.53448531907621,0,0,0,0,0,0,0,0,0.235960340473156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101539260394825,0,0,0,-0.0223772434771341
X601988.CH.EQUITY,0.152824694119081,0.086628275749679,0.362314511404099,0,0,0,0,0,0.163770772551156,0,0,0.0527274002399114,0,-0.132121888031155,0,0,0,0,0,0,0,0.11282159871378,0,0,0,0.00208807810109163,0,0,0,0,0,0,0,0,0,0,0,0.0987567654694839,0,0,0,0,0,0.0892311276066792,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0471525487848765,-0.0738190872924992,0,0.291220731803787,0,-0.0541684144836494,0.0373702585043763,0,0.303271296150748,0,0.20080733600862,0,0,0,0,0,0.0519437306675576,0,0,0,0,0,0,0,0,0.0257430917691362,0,0.0088788991334652,0.0261726978483116,0,0.109008350530998,0,0,0,0.0543191417003999,0,0,0.0302828798394152,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.0147206058922671,0,0,0,0,0.0107015308026907,0,0,0,0.137327287507847,0,0,-0.167554185680957,0,0.0681307206445517,0,0.210268748362841,0,0,0,0.00822325905330214,0,0,0.245297211950566,0.100660002853054,0.0541930930171789,0,0,0,0,0,0.0780446324234662,0.0773458091540142,0,0.00810573770418497,0,0,0,0,0,0,0.0177649627344501,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.129167391350328,0.215435837879337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00732066379254656,-0.103682297761131,0,0,0,0,0.208726765133237,0,0,0,-0.0989100738887324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133662577760044,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.230472299758132,-0.473154073494106,0,0.0153581162286683,0,0,-0.0461700464602154,0,0,0,0,0,0.535313255833023,0,0,0,0.122747165598128,0,0,0,0,0,0,0,0,0,0,0,0,-0.602391462165252,0.132692317926848,0,0,0,0,0.686653926319403,0,-0.110645825330517,0,-0.207733193059025,0,0
