,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X002142.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X1997.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X600926.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.279568169899708,0.11503747739341,0,0.245570591026395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199721778037213,0,0,0,0,0,0,0.0147222435892364,0,0,0.0185884025876627,0.0962332154976866,0,0,0,0.0891619298172874,0,0,0,0,0,0,0,0,-0.000880786289969855,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0.113363633701322,0,0,0,0,0.184321283957295,0,0,0,0.0342286198048801,0,0.0532004515028771,0.208606707738657,0,0.138027385021242,0,0,0,0.134013049186365,0,0.0203128279964363,0,0,0,0,0,0,0,0.0873679735764195,0,0,0,0,0.0496788051400433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.117234233911162,0,0,0,0,0,0,0.0873259641683603,0,0,0,0,0,0,0,0,0,0.0493305680283708,0,0,0.0779938845365816,0.337459514397289,0,0,0,0,0,0,0,0,0,0,0,-0.117843712555962,0.111646438496614,0,0,-0.0415317175888844,0,0,0,0,0,0.161248188209536,0.0191593874821749,0,0
X601939.CH.EQUITY,0.544803886202084,0.0152396040628257,0,0,0,0,0,0,0.132612727921513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130369023843445,0,0,0,0,0,0,0.0121730509857863,0,0,0.0856057996805868,0,0,0.137644279864829,0,0,0,0,0,0,0,0,0,0.138043526333736,0.19355658699234,0.0449638874197971,0
X601288.CH.EQUITY,0,0,0,0.157456902753243,0,0,0.48302817766358,0,0,0,0.00737344113431271,0,0.0296729554840572,0,8.67361737988404e-19,0,0.0716076161278423,0,0,0.0642238856105884,0,0,0.0662884965025055,0,0,0.0587097211840447,0,0,0,0,0,0,0.123233562352362,0,0,-0.0340974123452875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0214635625021439,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0971829364269246,0.246445762538423,0,0,0,0.149167415240266,0,0,0,0,0,0,0.180579649173006,-0.231364451418236,0,0,0,0,0,0,-0.00980999292115471,0.130785384957041,0,0,0,1.0842021724855e-19,0,0,0,0,0,0.145216328955585,0,-3.46944695195361e-18,0,0,0,0,0.248290405861736,0,0,0.0152170788774242,0,-0.0224454838761224
X601988.CH.EQUITY,0.288522071590392,0,0,0,0.398731137125642,0,0,0.0583614106855527,0,-0.015160583572193,0,0,-0.109882561176707,0,0,0.0650628366862946,0,0,0.313045200899753,-0.026697063367459,0,0,-6.93889390390723e-18,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.147537518516251,0,0,0,0,0,-0.0946056429833684,0.0119407383737998,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0882202767979937,0,0,0.23550058251957,-0.0203408866740088,0,0.021629462600062,0,0,0.0124111702548747,0,0.0666926663411015,0,0,-0.0386900321191416,0,0,0,0.0933782241112853,0.320728094995933,0.000483109868827047,0,0,0,0,0,0,0,0,0,0.0251425227155487,0,0,0,0,0,0.0575339593700413
X5.HK.EQUITY,0,0.128310500714381,0,0.103836192466153,0,0,0,0,0,-0.140112066071726,0.0725605260068349,0.0781806451564832,0,0,0,0,0,0,0,0,0,0,0,0,0.198212029826535,0,0,0.173751466816226,0,0,0,0,0,0,0,0,0,0,0.270768000904363,0,0,0,0,0,0.0410001054268013,0,0,0,0,0,0,-0.0450052934629036
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0197168512949835,0,0,0,0,0,-0.0857373136573751,0,-0.188590486696133,-0.149345651512779,0.0790639246791231,-0.105600998100103,0,0.0613988830502498,0,0,0,0,0.0523689309836804,0,0.265581665721859,0,0,0.359944424029632,0,0,-0.0640997711558863,-0.420235563730519
