,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601328.CH.EQUITY,0.154363594737652,0,0,0.259938237324162,0,0,0,0,0,0,0,0,0,0.212456069955083,0,0,0.0363066150479071,0,0,0,0,0,0,0,0,0.041326885138008,0,0,0,0,0,0,0,0.0997792699315604,0,0,0,0.0557935807573475,0,0,0,0,0,0,0,0,0,0.0621972405563095,0,0.163119590832983,0,0
X601166.CH.EQUITY,0,0,0,0.0445518537277301,0,0,0.110755154432101,0,0,0,0,0,0,0,-0.0731658701510894,0,0,0.113985866947516,0,0,0,0.0158129899958315,0,0,0,0,0,0,0,0.349929067023342,0,0,2.16840434497101e-19,0,0,0.0365761594079107,0,0,0,0,0.0523639896138945,0,0.0197942960647452,0,0,0,0.319650473852944,0,0,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406895794753314,0.548164964380554,0.0212590733373288,0.118313541921191,0,0,0,0,0,0,0.0721098720600247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0577877964522068,0,0,0,0,0,0,0,0,0.389097571286914,0,0,0,0,0.0737046813568125,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.338911584989169,0,0,0.0619211957888335,0,0,0.0253484593368949,0,0
X600030.CH.EQUITY,0,0,0.031740572160475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102907292935884,0,0.239755204154765,0,0,0,0,0,0.0155401420410586,0.0177465459931744,0.0675664787322456,0,0,0.246325735466857,0,0,0.121841587791416,0.0641423040739916,0,0,0
X16.HK.EQUITY,0,0,0,0,0.22290667130052,0,0,0,0.0206069511977728,-0.0861668068164034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0436706206609581,0,0,0,0,0.00608597691547615,0,-0.0947203522604923,0.0954825337255035,0.725424736969256,0,0,0,0,0,0,0,0,0.0508156268635858,0,0,0,0,0.0221463588481045,0
X388.HK.EQUITY,0,0,0,0.162388516001412,0,0,0,0.080634673093178,0.032823585614783,0,0,0,0,0,0,0.0269655565197914,0,0.197774705113051,0,0,0,0,0,0.189924795329606,0.423677187998603,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0558646289835641,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0.163729936734547,0,0,0,0,0,0,0.085479229375322,0,0,0.115163205129683,0,0.148037624207287,0,0,0,0,0,0,0,0.050790126118549,0,0,0,0,0.0860387915449068,0,0,0,3.46944695195361e-18,0,0,0,0.194626461840438,0,0.0160078059624785,0,0,0,0,0,0.182176288737205,0,0,0,0,0,0,0,0.0264749628845974,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.16237154388844,0,0,0,0,0,0,0.0898525516396905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373873995876973,0,0,0,0,0.147282639747311,0.094370150749217,0,0,0,0
X600016.CH.EQUITY,0,0.120211170840874,0,0,0.289572585621596,0,0,0,0,0,0.32451281604237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247508390678366,0,0,0,0,0
