,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.044322255293301,0,0.457438844961148,0.101928055762463,0.0804754520533879,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.112855745721431,0,0,0,0,-0.0741481199639904,0,0,0,0,0.0721146021983023,0,0,0,0,0,0,0,0,0.084100387329189,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0633710712254183,0,0.098579188128592,0.164390436814843,-0.117055922313938,0.0201840676626883
X601318.CH.EQUITY,0,0,0,0.0860765271048442,0,0,0,0,0.142100520794513,0,5.42101086242752e-20,0,0.110818788538624,0,0,0,0,0.0406988652274765,0,0,0.139884354968044,0,0,0,0,0,0,0,0.0123734434940797,0,0.12313171904392,0,0,0,0,0,0.13133196477126,0,0,0,0,0,0,0,0,0,0,0,0.0232380187538806,0,0,0
X601939.CH.EQUITY,0,0,0,0,0.180066752346191,0,0,0,0,-0.0666216113994251,0,0.138494683915784,0,0,0.0554549394810937,0,0,0,0,0.0194619748389903,0,-0.0191738025360199,0,0,0.518931424615594,-0.0339241098113854,0.160723385523153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0492147601422821
X600036.CH.EQUITY,1.73472347597681e-18,0.158863002927517,0,0,0,0,0.0329174596918219,0.139626696273118,0,0,0,0,0.163341506710836,0,0.0128623687819948,0,0,0,0,0,0,0,0,0.238916924133837,0,0,0,0.0449899139125805,0,0.0594063727935989,0,0,0,0,0,0,0,0,0,0,0.0458588865778049,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0764312973471901,0,0.190869513515347,0,0,0.0925215486248784,0,0.267281993543524,0,0,0,0,0,0,-0.0509286346681564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0679935616070638,0,0,0,0.0991011806018415,0,-0.00402837801215809,0,0,0,0,0,0,0.127152938642749,0,0,0,0.160133119036514,0,0,0,0,0,-0.0864447099742519
X601628.CH.EQUITY,0.233166293931721,0,0,-0.0544008759864248,-1.73472347597681e-18,0,0,0,0,0.137152455240031,0,0,0,0,-0.086777633220714,-0.060677525348321,0.0746435783260556,0,0.046220535925422,-0.0848677959566773,0,0.129981248906023,0,-0.0425143682541659,0,0,0,0,0,0,-0.00611111055084093,0,0,0,0,0,0,0.64344082421158,0,0,0,0,0,0,0,0,0,0,0.11622064802483,0,0,-0.018648228135853
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.155001514977984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114227544938374,0,0,-0.176877970933583,0,0,0,0.0355116572484386,0,0,0,0,0,0.0896464475347055,0,0.21049133788837,0.110447273056086,0.0334527941774685,0.139033712427933,0.0557706063682835,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.00997799465405595,0.0885954490671677,0.092704533260128,0.153559777746298,0,0,0,0,0,0,0,0,0,0,0,0,0.277939608592474,0,0,0,0,0,0.194752539669271,0.0360672013317298,0.322220743662295,0,-0.0204303759565673,0,0,0.174658226095602,-0.11340036050971,0,0,0,0,0,0,0,0.0936730381983704,0,0,0,0,0,0.0342570295856321,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0353498708778226,0,0.222292794170764,0,0.0945941972530019,-0.0613167061629814,0,0,0,0,0,0,0,0,0,0.143251901146316,0,0.120835695230561,0,0,0.267028453997504,0,0,0,0.0597467316622479,-0.0650242645332846,0,0,0,0,0,0,0,0.32310748958248,-0.107667392719503,0,0,0,0.111491185813014,0,0,0,0,0.0742981273734247,0,0,0
X388.HK.EQUITY,0,0,-0.017316443168097,-0.148090017540273,0,-0.158059504494232,0.161385865932157,0,0,0,0,0,0,0.462573345863057,0,0,0,0,0,-0.08727987068566,0,0.219853626362928,0,0,0,0.150395662745576,0,0,0,0,0,0.118717945844073,-0.0148380850836213,0,0,0,0,0,0,0.00760910770085342,0,0,0,0,0.00143263915607993,0,-0.0593328472483378,0,-0.0377625309947342,0,0.158145123034586,0
