,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.374878729961053,0,0,0.17158255536713,0,0,0,0,0,0,0,0,0,0,0,0.0374803687577514,-0.0391279896339672,0,0,0,0,0,0,0.110483253072254,0,0,0,0,0,0,0,0,-0.00689663537815843,0.195192417122107,0,0,0,0,0,0,0,0.188741743726149,0,-0.127432741551866,0,0,-0.222138022186562,0,0
X601318.CH.EQUITY,-0.0214657281083467,0,0,0,0,0,0,0,0,0,0,0.0849970168347209,0,0.0683926473415934,0,0,0.352842168433846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0682859130758215,0.321281492185301,-0.0512972487454072,0.237757518637855,0.0457030576220578,0,0,0,0,0,-0.10702436616087,0,0
X601939.CH.EQUITY,0.0803769966755062,0,0,0,0,0,0,0,0,0,0.114059761377137,0,0,0,0,0,0,0,0,0.225809227062378,0.0139586388575511,0,0,0,0,0.323615889191571,0,0,0,0,0,-0.00367924310935422,0,0,0.100258229853893,0,0,0,0.0107786140471577,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.331330730496736,0,0,0,0.039034476571298,0.0584960784256581,0,0,0.213221157174722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103619700959372,0.146411115912488,0,0,0,0.17460555156577,0,0,0.201958088570759,0,0,0,0,0.0251435469672882,0,0,0,0
X5.HK.EQUITY,0,-0.198313800230352,0,0.140613103259622,0,0,0,-0.363654660587369,-0.0126855504835714,0,0.0842180239196976,0,0,0,0,0,0,0.090778614028082,0,0.139818986438492,0,0,0.513748948017687,0,0,0,0,0,0,0,0,0,-0.104276725509481,0,0,0,0,0,0,0,0,0.0442280230943875,0.115957045442544,0,0,0,-0.0183935636920187,0,0,4.33680868994202e-19,-0.278575976325718
X601988.CH.EQUITY,0.059675569019878,0,0,0.0620862965708196,0,0,0,0,0,0.220888278234404,0.0991861207054138,0,3.46944695195361e-18,0,0,-0.061441313411504,0,0,0,0,0,0.282112256899605,0,0,0,0,0.0873140909539331,0,0,-0.0128018295412701,0,0,0,0,0,0,0,0,0,0.0403514356543462,0,0.066636163853141,0,0,0,0,0.191299367785945,0,0,0.0261094157892809,0
X600036.CH.EQUITY,-0.000920723072798396,0.348052443109077,0,0,0,0,0,0,-0.118904384376273,0,0,0,0,0.237476109410946,0,0,0,0,0.134553446589508,0,-1.73472347597681e-18,0,0.136937636375872,0,0,0,-0.0530867147532255,0,0,-0.0990900199406411,0,0,0.168102111373598,0,0,0,0,0,0,0.21429610473751,0.0458642447693946,0,0,0,0,0,0.0666107679602487,0.0319594647141577,0,0.040662641639293,0
X1299.HK.EQUITY,0,0.119051293422002,0,0,0,0,0,0,0,0,0,0,0,-0.0523977696187364,0.168026231492976,0,0,0.193544869895842,0.233747909536755,0,0.180456068884339,0,0.0256994322646672,0.051144129873151,0,0,0,0.0638749030035183,0,0,0,0,0,0,0,0,0,0,-0.211660608181187,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0143355629977502,0,0,0,-3.46944695195361e-18,0,0.0172770564521423,0,0,0.0119497253829617,0,0,0,0.151557498809384,0,0,0,0,0,0.0494315782302274,0,0,0,0,0,0,0,0,0,0,0,0.0413691555974528,0,0,0,0,0.299796963591276,0,0,0,0,0,0,0,0,0,0.129960224834802,0
X601166.CH.EQUITY,-1.73472347597681e-18,0,0.0359469690779734,0,0,0.112244916999666,0,0,0,0,0,0,0,0,0,0,0.271282804064854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478133337844322,-0.00817912988228053,0.23865413263181,0,0,0,0,0.191755015590759,0,-0.113454069983731,-0.0331273142538461,0,0,0,0,-0.0724962243608335,0,0,0
