,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.241197213495406,0,0,0.318915794992423,0,0,0,0,0,0.244482472072264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107319209779427,-0.189697934497834,0,0,0,0,0.0434168393853711,0,0,0,0,0.017932048776912,0,0,-0.165376509080734,0,-0.0208773836876126,-0.0360238253102872,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.13338407130954,0,0,0,0.0210382133316573,0,0,0.154676919571023,0.0373804145285881,0.0391052220565833,0,0,0,0,0,0,0,0.0604862397799283,0,0,0,0,0.0478485454263779,0,0,0,0,0,0,0,0,0,0,0.556984750171382,0,0,0.0311411308704467,-0.0651606716571875,0,0,0,-0.0490663249382909,0,0,0
X601939.CH.EQUITY,0.197877496691779,0,0,0,0,0,0,0,0,0.0286025330143748,0,0,0,0,0,0,0,0,0,0.0719902884214051,0,0,0,0,0.0207786368891697,0,0,0,0,0,0,0,0,0,0.0414828965184919,0.353576665166039,0,0,0,0,0.0319843731634059,0,0,0,0.0747577400206451,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.249991921023154,0,0,0,0,0.00939156833112908,0,0.0378513759636999,0,0,0,0,0,0,0,0.0766761884805295,0,0,0,0,0.211486208784036,0,0,0,0,0,0,0,-0.0473962676210492,0,0,0,0.0790929719759025,0,0.312469245711302,0,0.0669278328622446,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,-0.0605817983088972,-0.112964694610552,0,0,0,0,0,0,0,0.0579243035632101,0,0,0,0,0,0.264852089308919,0,0.340995657562327,0,0.162595824798286,0,0,0,0,0.325695188640734,0,-0.0653611520148371,0,-0.192046939918433,0,0,0,0,-0.152291467346843,0,0,0,0,0,0,0.0669741571659251,0,0.272841878335487,-0.147155658257068,0,0,0,-0.167973791387839,0,0,-0.0273052799783332
X601988.CH.EQUITY,0.362706979995388,0,0,0.477248113520947,0,0,0,0,0,0.0670206099435597,0,-0.0910845579521547,0.0654826709864577,0,0,-0.0624962564626936,0,0,0,0,0,0,0,0,0,-0.024826160597878,-0.0712369931795718,0.200390187357532,0.0826434462765317,0.0789213307989601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090195728137529,-0.0603164265089475
X600036.CH.EQUITY,0,0.653980024626654,0.0371369711822519,0,0,0,0,0,-0.180454553799804,0,0,0,-0.0153915629050359,0,0,0,0,0,0.145170013761715,0,4.33680868994202e-19,0,0,0,0,0,0.0390545772425073,0,0.0304034861965791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24013763317712,0,0,-3.46944695195361e-18,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.101095213078307,0,0,0,-0.085115245048563,0,0,0,0.324149295593009,0.073074599567014,0,0.176971087041291,0,0,0.169198319883481,0,0,0.212489093029567,-0.05682780525535,0,0,0,0,0,0,0,0.00971895541635929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.160896478917401,0,0,0,0,0,0,0,0,0,0,0.00327484354400469,0,0.274386505311352,0,0,0,0,0,0.00729773329691667,0,0,0.163264317619431,0,0,0,0,-0.0518108030517946,0,0,0,0,0,0,0,0,0.140087700272606,0,0.0989511325442908,0,0,0,0,0,0,0,0,0.109219926204995,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.310172534891854,0.197643939023542,0,0,0,0,0,0,0,0.416615351340995,0,0,0,0,0,0,0,0,0,-0.0198954964192592,0,0,0,0,0,0.318170956639365,0,0,-0.060704889635163,0,0.351965693077802,0,0,0,0,-0.135191159056094,0,-0.119276118777441,0,0,0,0,-0.0539616837038523,0,0,0
