,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0449198194574729,0,0.0530905188244581,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.333069494162134,0,-0.149541523556626,0,0,0,0,0,0,0,0.879362869314725,0,0,-0.0181839219198608,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.220748934237877,0.0173825498273915,0,0,0,0,0.0610284713210685,0,0,0,0,0,0.0249496000693715,0,0,0,0,0.0250558284767558,0,0,0.0763881371131931,0.0204454900721752,0,0,0,0,0,0.271718161060351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.136318994893693,0,0,0,0,0,0,0,0,0.261618918670461,0,0,-0.0063310292629336,0,0,0,0,0.128347349701045,0,0,0,0,0,0,0,0,0,0,0.00364968204811692,0.114505768322438,0,0,0,-0.209378268334928,-0.182748005411763,0,0,0.1361239256621,0,0.476507247284807,0,0,0.105673160979916,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.625763262072127,0.312616640027346,0.0641195293171066,0.507373668491391,0,0,0,0.186488077679248,0.34701982910193,0,0,0,0,0,0,0,0,-0.351570219695873,0,0,0,0,0,0,-0.675247776044527,0,0,0,0,0,0,0,-0.344221762147205,0,0.211270406463352,0,0,0,0,0.350951888956916,0,0,0,-0.141785464404343
X5.HK.EQUITY,-0.0652518183233193,-0.0670792841897757,0,0,0,0,0,0,0,0,0,0,0,0,0.517136345436137,0,0,0,0.406367208562198,0,0,0,0,0.0663278794034916,0.169810173759171,0,0,0,-0.0794871493929208,-0.111335054164135,-0.0927228335104605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234902324775627,0,0,-0.110176945284283,0,0,0
X601988.CH.EQUITY,-0.387090954333754,0,0,-0.0289233159817926,0.439128825993769,0,0,0,0,0,0,0,0,0,0,0,0,0.0187993741585248,0,0,1.73472347597681e-18,0.84041191721249,0,0,-0.0441577092184497,0,0,-0.039252996959761,0,-0.598693339564272,0,0,0,0,0,0,0,-0.074299729767441,0,0,0.0989803389383082,0,0.182871085229963,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,-0.102041567001864,0.474354975178426,-0.041010676738871,0,0,0,0,-0.106786337222543,-0.0256486055344524,0.470310213614201,0,0.161109401139105,0,0,0,0,0,0,0,0,-0.105817027359238,0,0,0,0.27954193508401,0,0,0.0782039864904065,0,0,0.0945585569088972,0,0,-0.29412491106658,0,0,0,0,0,0,0,0.230691643670742,0,0,0.117575259512758,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0121727946845197,0,0,0.0807878627376564,0,0,-0.0892845562865887,0,0,0.0515598796476452,0.106106789842768,0,0,0.165506749655801,0,0,0,0,0,0,0.146046113402759,0,0,0,0,0,0,0.1816709607233,0,0,0,0,-0.0405442069038246,0,0,0,0,0.149469736763772,0,0,0,0,0,0.0144670080937544,0,0
X601628.CH.EQUITY,0,0.154951419471685,0.063243067943546,0.119141167705662,0,0,0,0,0,0,0.00825068677081043,0,0.356535806228572,0,0,0,0,0,-0.00698136573397394,0,0.0954106432492146,0.0179396485272401,0,0,0,0,0,0,0,0.0295011641290176,-0.0489451675687246,0,0,0,0,0.114856567820915,0.212082160517377,0,0,0,0,0,0.0534624636383297,0,0.0443106570792672,-0.226462278390068,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.577874227217975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00848347170238016,0,0.12623680349855,0.282352774325788,0,0,0,0,0,0,0,0,0,0,0,0,-0.0686003624945165,0,0,0,-0.129286911052721,0,0,0.022379396863706,0,0,-0.0132275667347735,0,0
X601166.CH.EQUITY,0.00225535593743181,0,0,0.254375532679254,0,0,0,0,0,0,0,0.244687294111389,0,0,0.013143692423916,0,0,0,0.0452651394480193,0,0.125952971514247,0,0,0,0,0,0,0,0.162655027276792,0,0.0555284559997263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221144948501477
X600000.CH.EQUITY,0,0,0,0,0,0,0.522499987348308,0,0,0,0,0,0,-0.0338786748930146,0,0,0,0,0,0,0,0,0,0,0,0.370366862428547,0,0,0,0,0.0500989024204978,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.315696862392151,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,-0.151768403874062,0.0242224111434902,0,0.679933106767769,0,0,0,0,0,0,0.00200929725627759,0,0,0,0,0,0,0,0.0437887366558936,-0.155196803691257,0.0245821615566575,0.220080851337625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287096758702364,0,0
