,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.0959871501240785,0,0.421794062735377,0,0.0461293808933399,0,0,0.236538917040616,0,5.55111512312578e-17,0.151846162715482,0,0,0,0,0,0.0143558341415725,0,0.0112549021343949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058095247470167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.526522378196684,0,0,0,0,0,-0.111429525701881,0,0,0.035240707755257,0,0,0.380736127691117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0167713793243724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0729201204285863,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0147350655436668,0,0,0,0,0,0,0.377698113114843,0,0,0,0,0,0,0,0,0.0511522771723613,0.0497901174913422,0,0,0.0276141655557445,0,0,0,0,0,0,0,0,0,0.0264797842929361,0,0,0,0.077438326590139,0.18149302183794,0,0,0,0.00817291796473271,0,0,0.121461914096077,0,0,0,0,0
X601288.CH.EQUITY,0.359877776062035,0.0340924753053615,0,0,0.404541602243805,0,0,-0.048264755386641,0,-0.0100478085859157,0.062270853426481,0,0,0,0,0.094127241334775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023802504749198,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0330645246515661,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0529727215862498,0,0.319531939536948,0,0,0,0,0,0,0.183362743427358,0,0,0.0833332418681439,0,0,0,0.20248901476889,0,0,0,0,0,0,0,0,-0.00830541336727136,0.0411524002724053,0,0,0.0791427397749139,0,0,0,0,0,0,0,0,0,0,0.064427434886265,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0.206489100944117,0,0,0,0,0.464948223008374,0,0,0,0,0,0,0,0,0,0,0,0,0.107022328865071,0,0,0.0607245895051257,0,0,0,0.0613979004327686,0,0,0,0.0942419373200224,0,0,0,0,0,0.0456997043898225,0,0,0,0,0.0414958496957087,0,0.0766059701327911,0,-0.0308110730081365,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0349618903627378,0.0943602268029278,0,0,0,0,0.163969035547003,0,0,0.0716451745168895,0,0.118629908567639,0,0,0,0,0,0,0.0528872475265977,0,0.139740417308392,0,0,0,0,0,0,0.0563181515700241,0,0,0,0,0,0,0.196938700111171,0,0,0
X5.HK.EQUITY,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.411663285422147,0,-0.677540270068965,0,0,0,0,0,0.779136118195851,-0.758386044381021,0,0.522397226169562,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107418385696185,0,0,0,0,0,0,0,0,0.564689216918516,0,-0.0436814261521624
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.146829447866491,0,0,0,0,0,0.173835846907858,0,0,0,0.104830185019319,0.175127614452383,0,0,0,0,0,0.0513119980500154,0,0,0,0,0,0,0.0478026803740264,0,0,0,0,0,0,0.124832560589982,0,0,0,0,0,0,0,0.0608027828681576,0
X601658.CH.Equity,0,0,0,0.343478953704653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394295973911897,0,0,0,0.32763525516554,0.62569810866333,0,0,0,0,0,0.0293887408133556,0,0,0,0,0,-0.107381747749538,0,0,0,0,0,0.124966769706805,0,0,-0.531757452214871,0,0
