,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,X002736.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0.239050269355717,0,0,0,0,0,-0.2064834197515,0,0,0,0,0,0,0,0,0,0,0,0.459750800968287,0.455523944221724,0,0,0.111305917806474,0,0,0,0,0,-0.083037279004175,0,-0.180454112773861,0,0,0,-0.61718472511637,0,0,-0.0895808718170374,0,0.0320228804086619,0,0,0.0317578047172186,0,0,0,0.00784346849561218,0
X601318.CH.EQUITY,0,0,0,0,0,0.386367778532967,0.0722441559653987,0,0,0,0,0,0,0,0,0,0,0,0,0.164384812070415,0.0490155759514522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154385537457668,0,0,0,0,0,0,0,0.0532641689805236,0,0,0
X601939.CH.EQUITY,0.05679455061718,0,0,0.103081918647094,-3.46944695195361e-18,0,0,0,0.0393258896077551,0,0,0.310627188819765,0.138727630535924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0371695259423929,0,0,-0.0770390757919075,0,0,0,0,0,0,0.0748460013817226,0.450656487546452,0,0,0,0.0707577035168673
X601288.CH.EQUITY,0,0,0.244164769095472,0,0.388069142578352,0,0,0.0565494091552258,0,0,0.0278807941887794,0,0.130102033908762,0,0.0114724095128021,-0.0258936930652633,0,0,0.0882315331108886,0,0,0.0518067578798595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0752027099435766,0,0,0,0,0
X601988.CH.EQUITY,0,6.93889390390723e-18,0.0443903916577422,0.341485310826267,0,0,0,0,0,0.181985269909154,0,0,0,0,0,0.19286215493056,0.176579541306499,0,0.0325538393116938,0,0,0,0,0,0,0,0.0261295018081797,0,0,0,0,0,0,0,0,0,0,0,0,-0.508835973373963,0,6.93889390390723e-18,0.0746689439302323,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.00732823442574527,0.091147441772506,0,0,0,0.0312556952447321,0.0622851586714245,0,0,0,0.105209673391904,0,0,0,0,0,0,0,0.127938989264861,0,0,0,0,0.00970523101593965,0,0,0,0,0,0,0,0,0.390313969115114,0,0,0,0,0,0,0,0,0,0,0,0.0782818826116857,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.299195912239618,0,0,0,0,-0.0757968178073738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0754197577336403,0.207409388433471,0,0,0.148000426283457,0.0647108114692727,0,0,0,0.0056362518549298,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.03806735627485,0,0,-0.0528170784125146,0.0409443213718529,0.0407739396407891,0,0,0,0,0.186397960590265,0,0,0,0,0,0.155862285341261,0.139915412975694,0,0,0,0.186374222688047,0,0,0,0.317111454704489,0,0,0,0,0.135418733240616,0
X5.HK.EQUITY,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405326837141179,0,0,0,0,-0.452883031388202,0.652305351344528,0,0,0.121500648713485,0.614409954087309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497975240233487,0,0,0,0,0,0.181875118756926,0,0
X601658.CH.Equity,0,0,0,0.0294765872679835,0.00542495723973017,0,0,0,0,0,0,0,0,0,0,0,0,0.254898118135978,0.120297768592132,0,-0.0850608171343378,0,0,0,0,0,-0.00596098109025706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270120715456512,0,0,0,-0.0321661616325143,0,0,0,0,0,2.16840434497101e-19
