,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.38706388649736,0.0433044546891064,0.0677084362897948,0,0,0,0,0,0,0.208745620940939,0,0,0,0,0,0,0,0,0,0,0.0475751162604896,0.0584341693893761,0,0,-0.0198417234795981,0,0,0,0,0.00476572040772591,0,0,0,0,0,0,0,-0.00822956335669989,0,0,0,0,0,0.0256461703017827,0,0,0,0,0.0331523637081146,0.0577987725482644,-0.0796979965374024
X601939.CH.EQUITY,0.456334518207794,0,0,0,0,0,0,0,-0.0176718473447552,0,0.210720446126513,0,0,0.0346652978895142,-0.0151408253601038,0,0,0,0,0,0,0,0.146038196646275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071658210820031,0,-0.0494331841593412,0
X601318.CH.EQUITY,0,0,0,0,0.252355845920673,0,0,0,0,0,0,0.115781984042893,0,0,0,0,0,0,0,0,0,0.160068961956668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519153850815075,0,0,0,0.0608567480018397,0,0,0.181117288937941,0,0,0,0,0,0
X601288.CH.EQUITY,0.404222282935222,-1.38777878078145e-17,0,0,0.257143730275969,0,0,0,0,0,0,0,0,0.0656390546408723,0,0,0,0.0775424066873647,0.0627312395894459,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022028301215621,0,0.0614376349453985,0,0,0,0.0291216932882679,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0
X601988.CH.EQUITY,0,0,0,0.503452995810905,0,0,0,0,0,0.236048924705384,0,0,0,0,0,0.225459996049441,0.0663530880201424,0,0.0444157805013866,0,0,0,0,0,0,0,0.0866856636501289,0,0,0,0,0,0,0,0,-0.583732649441168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.0187844890951296,0.0340487260198249,0,0,0,-4.33680868994202e-19,0,0,0,0,0.0986705133399332,0,0,0,0,0.00896693102903486,0.057708960936703,0,0,0,0.270310650708513,0,0,0,0,0,0,0,0,0,0.230532606616218,0,0,0,0,0,0,0,0,0.147237161986066,0,0,0,0.0787553786146688,0,0,0.103963095095167,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0382648918168564,0,0,0.232395216360548,0,0,0,0,0,0,0.457957942494807,0,0,0,0,0.11233724494811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.109655851936372,0,0,0.0428096999977603,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,-0.0815714858107077,0,-0.30733755862431,0,0,0,0,0,0.132938113995166,0,-0.387330485135591,0.657312738817967,-0.140855174302478,0.755059121076265,0,0,3.46944695195361e-18,0,0,0,-0.107869883579752,0,0.235613034703127,0,-0.072082603864278,0,0,0,0,0,0,-0.00116651945301584,0,0.160917793312386,0,0,0,0
X601628.CH.EQUITY,0,0.00680415294110874,0,0,0,0,0,0,0,0,0,0,-0.167596182022592,0,0,0,0,0,0,0.0486879258234223,0.0516366189007374,0.302285108987089,0,0,0,0,0,0,0.0190531020741538,0,0,0.0108904722420674,0,0,0,0,0,0,0.00875470387334674,0,0.33432149349471,0,0,0,0,0,0,0.0765738174683348,0,0,0.101528412043694,0
X601658.CH.Equity,0,0,0,3.46944695195361e-18,0.128085809361888,0,0,0,0,0,0,0,0,0.160375904033977,0,0,0,0,0,0,0,0,0,0,0,0,0.187315089489774,0,0.0894774849193264,0,0,0,0,0,0,0,0.157983923233908,0,0,0,0,0,0,0,0,0,0,0,0.410694684417824,0,0,0.0920492473512655
