,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.365866595124135,0,0.29424805812265,0.00376549585509556,0,0.18105482103172,0,0.126403056623894,0,0,0,0,0,0,0,0,0,0,-0.114496048974327,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.104966850281113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212008830159062,0,0,0
X601939.CH.EQUITY,0.31752538155492,0,0,-1.38777878078145e-17,0,0,0,0,0.0583570903755861,0,0,0.093702483126315,0.330579788386546,0,0,0,0,0.0931495386294128,0.0852909695329987,0,1.38777878078145e-17,0,0,0,0,0,-0.116872445885359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129950316220191,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.155981879398989,0,0.114023862521182,0,0.0668758960094502,0.21618385165475,0,0,0,0,0,0,0,0,0,0,0,0.0243967993777455,0,0,0,0,0,0,0,0,0,0,0.0747682147036347,0,0,0,0.0820755752751366,0.230360831893101,0,0,0,0,0,0.00224282969347154,-3.46944695195361e-18,0,0,0,0,0
X601288.CH.EQUITY,0.402971527707988,-6.93889390390723e-18,0,0,0.414304401642809,0,0,0,0,0,0.0607088079962757,0,0,0,0,0,0.0746649112958637,0,0,0,0,0,0,0,0,0,0,0,0.0361956641066846,0,0,0,0,0,0,-0.0132021617111919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.255123971659784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194843865458976,0,0.192413371985324,0,0,0,0,0,0,0,0,0.00498946197218924,0.0999960519623197,0,0,0,0.0183453189413171,0,0,0,0,0,0,0,0,0.13335734827436,0,0,0.0851312740223807,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374955216281366,0,0,0.0741597239465647,0,0,0.358047334953469,0,0.031237180454622,0,0,6.93889390390723e-18,0.623490311935664,0.124458620939068,-0.55916888410929,0,0,0,0,0,-0.0505735469540519,0,0,0,0,0,0,0,0.119119349397548,0,0,0,0,0,0,0,0,0,-0.165366607621012
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.201228595723473,0,0.0444888843343895,0,0.287926522156798,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0246658907682289,0,0,0,2.77555756156289e-17,0.132052069573255,0,0,8.67361737988404e-19,0,0,0,0.150223854211662,0,0,-1.73472347597681e-18,0,0,0,0.0112508238242955,0,0,0,0,0,0,0,0,0.263791379677262,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0419817062935682,0.0173362527837126,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.140189032725547,0,0,0.16664861788258,0,0.0573602433901851,0,0,0,0,0,0.100861090604649,0,0,0,0,0,0,0.184498818707687,0,0,0,0,0,0.0105785196261969,0,0,0,0,0,-2.77555756156289e-17,0,0,0.177967067851998,0,0
X601628.CH.EQUITY,0.0440704939145209,0.0432863464416863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139178911174751,0,0,0,0.218689319555449,0,0.157633581298815,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0772171011070312,0,-0.0216388757824315,0.158016542271439,0,0,0,0,0,0,0,0,0,0,0.0483121515566656,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394878736814874,0,-0.289091332678531,-0.254682729400157,0,0,0,0,0,0,0,0,0,0,0,0,0.185760972091148,0,0,0.432760530945406,0,0,0,0,0,0,0.435943859947481,0.00547826229573456,0,0,0,-0.21357279381054,0,0.431526173120113,0,0,0,-0.00140666992919295,0
