,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.0166855700425486,0.428148461228445,0.101608648998532,0.084622590226824,0,0.0372546211163986,0,0,-6.93889390390723e-18,0,0,0.0388319544291407,-0.00743588166342347,0,0,0,0.0634313983266204,0.0473130088592314,0,0,0,0,0,0.107774050627944,0,0,0,0,0,0.0134200347069689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150005378864606,0
X601318.CH.EQUITY,6.93889390390723e-18,0,0,0,0,0,0.0748891713067325,0,0,0.0753369252866003,0,0,0,0,0,0,0,0.223892479327141,0.0423336020443275,0,0,0,0,0,0,0,0.106211601277325,0,0,0,0,0,0,0.0761005157173541,0,0,0,0,0,0.29916051206726,0,0,0,0.0412113934576219,0,0.0257667631067778,0,0,0,0,0
X601939.CH.EQUITY,0.344423012158712,0,0,0.14480630352892,0,0.186298766328719,0,0,0,0.0487923110227464,0.09678152916393,0,0,0,0,0,0,0,0,0,0,0.00105795553224424,0,0,0,0,0,0,0,0,0,0,0,0.0596527486712932,0,0,0,0,0,0,0.0109608118838113,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.445715776867543,0,0,0,0,0,0,0,0,0.214484280601762,0,0,0,0,0,0,0,0.0893465733588962,0,0,0,0,0,0,0.0801068189284984,0.0313885337234022,0,0.0324270667940602,0,0.0823982847457252,0,0,0,0,0,0,0,0,-0.0307317833226822,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.464159274562341,0,0,0,0,0,0,0,0,0,0,0.146045366128168,-0.373557973767852,0,0,0,0,0,0,0,0,0,0,0,0.121445646069373,0,0,0,0.438543445681353,0.0302086737153939,0,-0.601405284655116,0,0,0,0,0,0,0,0,-0.282970399393394,0,0,0,0,-0.31569039020562
X601988.CH.EQUITY,0.0142502767280548,0,0.304832012031229,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.114271891833192,0,0,0,0,0.0495932341887619,0,0,0,0,0.588298642716886,0,0,0,0,0,0,0,0,0,0.0194022633008835,0,0.0224251231036762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037389535537035,0
X600036.CH.EQUITY,0,0.0144868479365364,0,0,0,0,0,0,0.0437636512121344,0,0,0,0,-0.00693761575184085,0,0,0,0.024878633301708,0,0,0,0,0,0,0.693326527713274,0,0,0,0,0.116694428468216,0,0.000590897398028443,0,0,2.16840434497101e-19,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606324760360522,0,0,0,0,0.269928603155553,0,0,0,0.0358202310980034,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.304224721752439,0,0,0
X601628.CH.EQUITY,0,0,0,0,0.0185633685742038,0,0,0,0,0,0.131930923180635,0,0,0,0,0.0210920744918232,0.00725376077870266,0,0,0,0,0,0,0,0,0,0.0704840295043958,0,0,0,0,0,0,0,0.281674451055444,0,0,0,0,0,0.0879307429334874,0.197883390825251,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.155351728645169,0,0,0,0,0,0,0,0,0,0.105853802959691,0,0,0,0,0,0,0,0.0225294234002928,0.0914286233990904,0,0,0,0,0,0.112300563964342,0,0,0,0.0607258434889706,0,0,0.0571049104683663,0,-0.0244532581431212,0,0,0,0.168353365183734,0.244332342451228,0,0,0,0,0,0,0,0.0196711499557976,0,0
