,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.00414786536250297,0,0.207202586458519,0,0,0,0.394599275746821,0,0,0,0.0437264652265965,0,0,0,0,0,0,0,0,0,0,0,0,0.228644594914165,0,0,0.00700272118099337,0,0,0,-8.67361737988404e-19,0.104953416028755,0,0.0746665975739779,0,0,0,0,0,0,0,0.0530737581677869,0,0,0,0,0,-0.107055974377536,0,0,0
X601318.CH.EQUITY,0,0,0,0.135624812327872,0,0,0,0,0.161351692896785,0,0,0,0.206881772881373,0,0.0809942973949749,0.0143672999182038,0,0,0.0678533783605853,2.77555756156289e-17,0,0.035671624806539,0,0,0,0,0,0.178075560121473,0.00682576750031613,0,0,0.0272045596949434,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15328979383581,0.170036238036141,0,0,0,0,0
X600036.CH.EQUITY,-0.01325675304726,0,0,0,0,0.196347040435675,0,0,0,-0.0961897482248364,0,-0.0486367960766083,0.104210346634274,0,0,0,0.114490018925834,0,0.146174341744594,0,0,0,0,0,0,0.420067812482839,0,0,0.0649697950438737,0,0,0,0,0,0,0,0,0,-0.0787869538067017,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.5165124606193,0.100228611008354,0,0,0,0,0,0,0.135527117208077,0,0.170025836084844,0,0,0,0,0,0.0101391150374291,0.119834897958486,0.060877036336189,0,0,0,0,0,0,0,0,0,0.188818249658632,0,0,0,0.0477533277096978,0,0,0,0,0,0.0650390665415733,0,0,-0.0925133989141653,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0401736882436005,0,0.0032109597698979,0,0,0,0.523479430032286,0,-0.0630172222043516,0,0,0,0,0,0,0,0,0.0718256427490812,0,0,0,0.0504842719181016,0,0.13898129898177,0,0,0,0.0805580598872496,0,0,0.0721467980706585,0.107339866515661,0,0,-0.0623694807714836,0,0,0,0,0,0,0,0,0,0,0,0.0094041760349448,0.0232260728907092,0,0,0
X1299.HK.EQUITY,0,0,0,0,-0.0909652979751484,0,0,0,0,0.170699905243724,0,0,-0.0115171460551875,0,0,0,0,0,0,0,0.0130757501814559,0,0.208314752041865,0,0,0,0,0,0,0,0,0,0.0765391744772724,0,0,0,0,0,0,0.0743130385353358,0,0.157681723237853,0,0.102902337848116,0,0,0,0,0.229328503869257,0,-0.146578984269311,0
X601628.CH.EQUITY,0,0,-0.0528175433870279,0,0,0,0,0,0,0.149121647824116,0,0,0,0,0.116511940378675,0,0,0,0,0,-0.0547484082129895,0,0.151795260239974,-0.066490917578405,0,0,0,0,0,0,-0.0022553291822038,0,0,0,0,-1.38777878078145e-17,0,0.375062284484365,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.185459772622356,0,0,0,0.430400770859966,0.029549434417741,0,0,-0.0279412710734569,0,0,0.0889052779220342,-0.0643377167820353,0,-0.0159651422811946,0,0,0.0679084059099606,0,0,0,0,0,0,0.0061408839556296,0,0,0,0,0,0,0,-0.131840627456704,0,0,-2.16840434497101e-19,0,0,0,0,0,0.147702691065404,0,0,0.187118259482318,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.154394226565972,0,0,0,0,0,0,0,-0.202523061066655,0.0552038753764357,0.0966536633996227,0,0,0,0,0,0,0,0,0,0,0.238957473186917,0,0,0,0.14861561006798,0,0,0,0,0,0.153716246407057,0,0,0,0,0,0.231069596566737,0.0332843802590126,0,0,0,0.230286746266096,0,0,0,-1.73472347597681e-18,0,0,0.0342912146679294,0
X388.HK.EQUITY,0,0,-0.0698891658280014,0,0,0,-0.109289409766569,0,-0.209725697372695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0834861717670899,0,0,0,0,0,0,0,-0.181359199482955,0,0,0,0,0.216412040880189,0,0,0,0,0.199278055769929,0,0.21933404490165,0,0,-6.93889390390723e-18,0.114799768709754,0,0.122816633681315,0
