,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.221929528529646,0,0.404747303383425,0,0,0,-0.0104850433212707,0.146839257099077,0,0,0.0937052047147267,0,0,0,0,0,0,0,0,0,0,-0.0751318972798738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444294550540735,0.00698801302323546,0,0.122817745860758,0
X601939.CH.EQUITY,0.354073845708105,0,0,0.286129016584299,0,0,-0.0952275658229578,0,0,0,0.00279307101677692,0,0.140307597128872,-0.0648204432574258,0,0,0,0,0,0,0,0,0,0,0,0.0316899906352933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201858294155105,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0167519824420949,0,0,0,0,0,0,0,0.0129363331689485,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386399595933052,0,0,0,0,0,0,0,0.10041342991591,0,0,0,0,0.248020962683729,0,0,0,0
X601288.CH.EQUITY,0.450012773068397,0,0,0,0.20933523000483,0,0,0,0,0,0,0,0.0159782761532029,0,0,0,0,0,0,0,0,0.170209876574823,0,0,0,0,0,0,0.019933305220959,0,0,0,0.0264039009194694,0,0,0,0,0,0,0,0,0,0.0643387471535284,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.147609954259871,0,0.280634703345861,0,0,0,0,0,0.271198700855282,0,0,0,0,0,0,0.132917365262872,0,0,0,0,0,0,0,0,0,0,0,0,0.0983396962851545,0,0,0,0,0,0,0,0,0,0,0.109108444932836,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0404005679184535,0,0,0,-8.67361737988404e-19,0,0,0,0,0.38203403837677,0,0,0.00562181537761222,0,0,0,0,0,0,0,0.0518341576556834,0.124085897490815,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0825536646844928,0,0,0,0,0,0,0.0544309857725077,-1.73472347597681e-18,0,0,0,0,0,0,0.27338898669259,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0882452519377957,0,0,0,0,0,0,0,0,0,0.142081279057486,0,0,0,0,0,0,0,0,0,0,0,0.0135819860821189,0.176944037899404,0,0,0.0313456829942177,0,0,0,0.188423052522114,0,0,0,0,0,0,0,0.0234711852498214,0,0.225271552387059,0,2.77555756156289e-17,0,0,0,0
X5.HK.EQUITY,0,-0.187281376237342,0,-0.088635965919542,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,1.1970424767337,0,-0.776200924884219,0,0.492399454443411,0,0,0,0,0,0,0,0,0,0,0,0,0.4334779233776,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,-0.0833581008442382
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0987734200213161,6.93889390390723e-18,0,0,0,0,0,0.0866161843064668,0.197408957299479,0,0.0929483380978139,0,0,0,0.267099692594618,0,0,0.0504904970451792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548732922694019,0
X601658.CH.Equity,0,0,0,0.165440459665261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138374868666537,0,0,0,0.141130978329003,0,0,0,0.294859309980765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
