,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.311375102425382,0,0.371592727542814,0,0,0,0,0,0,0.0847419664146184,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0137918837005915,-0.0505868711402974,0,0,0,0,0,0,0,0.0854900142903754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647417484652879,0,0,-0.108001960199278
X601939.CH.EQUITY,0.373539192235751,0,0,0.24318591073658,0,0,-0.0878094676318869,0,0,0,0.0244842488269839,0,0.173843231773522,-0.0644220240392596,0,0,0,0,0,0,0,0,0,0,0,0.00303193270302962,0,0,0,0,0,0,0,0,0,0,0,-0.0127280380694833,0,0,0,0,0,0,0,0,0.213092966329025,0,0,0,-0.0239168579768386,0
X601318.CH.EQUITY,0.0238766222102825,0,0,0,0,0,0,0,0,0,0.257268719686473,0,0,0,0,0,0,0,0,0,0.178937085270962,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192879330794717,0,0,0,0,0,0,0,0.0601294247612293,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.313483149413042,0.138065797846532,0,0,0.13190803005485,0,0,0,0,0,0,0,0.0122951107023533,0,0,0,0,0,0,0,0.160688627194614,0,0,0,0,0,0,0,0,0,0,0,0.0367615503196335,0,0.0172300291298187,0,0,0,0,0,0.10003803095886,0,0.0734637886528988,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.00338944905680519,0,0.517000846072196,0,0,0,0,0,0.282270405765691,0,0,0,0,0.0698598020097795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164701871700138,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0350771605655424,0,0,0,0,0,0,0,0,0.371415305698398,0,0,0,0,0,0,0,0,0,0,0.0355281764039263,0.124142617726221,0.0245496253593315,0,0,0,0,0,0,0,0.0130979410662018,0.0876378042043958,0,0,0,0,0,0.0546181736472303,0,0,0,0,0,0,0,0,0.279390810034743,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.084934023189824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554133682670501,0.245366232067796,0,0,0.130142895385188,0,0,0,0.13449459810607,0,0,0,0,0,0,0,0,0,0,0,0.146787168155869,0.044621991287592,0,0,0
X5.HK.EQUITY,0,-0.190136502187518,0,-0.0831634004784767,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,1.1764249168925,0,-0.763359340715853,0,0.494156346525915,-0.00320899434796974,0,0,0,0,0,0,0,0,0,0,0,0,0.435360428173753,0,0,0,0,0,0,0,0,0,0,-0.0828360403988531
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.126273047540671,0,0,0,0,0,0.16467416952308,0,0,0,0,0,0,0,0.0589664725941786,0,0,0.188297327624625,0,0,0,0.0092582148964252,0,0,0,0,0,0,0,0,0,0.199227552040885,0,0,0,0.0672140493059883,0,0,0,0,-0.0594915775707561
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08942712335486,0.274946019783777,0.0710199794162472,0,0,0.33237180296514,-6.93889390390723e-18,0,0,0,0,0,0,0.0803890301286565,0,0,0,0,0.132876557536977,0,0,0,0,0,0,0,0,0,0,0
