,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0801483357879793,0,0,0,0.0463202090202345,0,0,0,0,0,0,0,0,0,0,-0.358529336499471,0,0,0,0,0,0,0,0,-0.11902957917403,0,0,0,-0.353407413045216,0,0.0890576530212691,0,0.773897389044773,-0.0932948117809633,0.400634989089207,0,0,0,0,0,0,-0.0414755239933857,0,0
X601318.CH.EQUITY,0,0,0,0,-0.0546300201598688,0,0.1419919659741,0,0,0.0214942404653291,0,0,0,0.0707090361569135,0,0,0,0,0,0,0,0,0,0,0.186080678678202,0,0,0,0,0,0,0,0.068787208039702,0,0,0,0,0.45158742935879,0,0,-0.0231100112306964,0,0.086575065849459,0,0,0,-0.00414764866460783,0,0.0863346947682404,0,0.00853321969168675
X601939.CH.EQUITY,0.406917818377671,-0.119914824882943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28710143808595,0,0,0,0,0.00994699551106759,0,0,0,0,0,0,0,0,0.10764647453848,0,0,-0.0904416455352354,-0.245458266715507,0,0,0.543034709994963,0,0,0,-0.023486404311016,0.1015654254458,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.00903069843152124,0,-0.190359669434566,0.0777392046670283,0,0.369051535277757,0.190728724186195,0,0,0,0.105931180097346,0,0,0,0,-0.046118372571062,0,0,0,0,0,0,0,0,0,-0.587931929156958,0,0,0,0,0,0,0,0,0,0,0.0760836697503491,0,0,5.64992598310668e-05,0,0.274329848891355,0,0,0,-0.110268276281419
X5.HK.EQUITY,-0.225887082973505,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297188668237694,0,0.0701421561139832,0,0,0.259135900901114,0.0113342783627789,0,0.434644878305869,-0.0365591010786953,0,0,0.0710590744118833,0,0,0,0,0,-0.168596301405262,0,0,-0.00445648391349236,0,0,0,0,-0.118157768928567,0,0.268450637174095,0,0,0,-0.116529775234854,0,-0.110463017805887,0,0
X601988.CH.EQUITY,0.227768274810667,0,0.0121790862868654,0.626512393486044,0.106545551500322,0,0,0,0,0,0.125505133287728,0,0.0132679070599536,0,0,0,0.0931789595443354,0,0,0,0,0,0,0,0,0,0,0,0,-0.0453299488492626,0,0,0,0,0,0,0,0,0.124657893667324,0,0,0,0,0,0,0,0,0,0,0,-0.0227206818087407
X600036.CH.EQUITY,0,0.569980591588424,0,0,0,0,0,0,-0.0574552309332622,0.514893310330314,0,0,0,0,0,0,0,0,0,0,0.0845612468686461,0,0,0,0,0,0,0.0337480905204555,0,0,0,0,0.254870599244554,0,0,-0.181719088723241,0,0,-0.176982369379716,0,0,0,0.0804138745212523,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0.111357483338216,0,0,0.0624390346660436,0,0,0,0.142041553737259,0,-0.0375980591157458,0,0,0.0642177196724517,0,0.254571226541633,0,0,0,0,0,0,0,0,0,0,-0.00255617837823665,0,0,0,0,0.0252133236598049,0,0.254545637853249,0,0,0,0,0,-0.0919605827183796,0,0,0,0,0,0.0288331772072285,0,0.0469652565259624,0,0,0
X601628.CH.EQUITY,0,0.0375807446565866,0.00746659786254481,0.0539613219569506,0,0,0,0,0,0,0,0,0,0.331411051750322,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0905208219880412,0,0,0,0,0,0,0,0,-0.0433174633445309,0,0,0,0.0588147692594484,0.216321948991042,0,0,0,0,0,0,0,0.127806537614421,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.627302307362997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319857593237544,0,0,0,0,0.0750418039199441,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-0.052239268664343,0,0,0,0,0.03257472810208,-0.0632184606134232,0,0,0,0,0
