,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.211097201494314,0,0.0177833225649443,0,0,0.386776221806615,0,0,0,0.0205358345196229,0,0,0,0,0,0,0,0,0,0,0,0,0.237413064525061,0,0,0,0.0262084966723484,0,0,0,0.101008838225724,0,0.0668984091315653,0,0,0,0,0,0,0,0.0299822699369453,0,0,0,0,0,-0.101452169062688,0,0,0
X601318.CH.EQUITY,0,0,0.128877551228074,0,0,0,0,0,0.168399401246951,0,0,0,0.205252070677542,0,0.09148064204417,0,0.0336483142319293,0,0.0465016368542471,0.00949859376569395,0,0.0584046415516027,0,0,0,0,0,0,0.179073839436815,0,0,0.0480055577224788,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.152161250590824,0.152087682546518,0,0,0,0,0
X601939.CH.EQUITY,0.540901949761551,0.094859667555746,0,0,0,0,0,0,0.133726114172588,0,0.130934337586484,0,0,0,0,0,0,0.0542889667324744,0.148648166193894,0,0,0,0,0,0,0,0,0,0,0.187750369808651,0,0,0.0375107892682252,0,0,0,0,0,0.076715695783618,0,0,-0.0863484573953521,0,0,0,0,0,0,0,0,0.0137884596410247,0
X600036.CH.EQUITY,-0.0232515001633194,0,0,0,0,0.212102052799856,0,0,0,-0.127436304481149,0,-0.0356451843762003,0.108747504847806,0,0,0.137319344633841,0,0,0.153034166305511,0,0,0,0,0,0,0.425579687000815,0,0,0,0.0434031712464474,0,0,0,0,0,0,0,0,-0.0679173012022192,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.0461693195910408,0,0,0,0,0.552008510620733,0,-0.0805565286684917,0,0,0,0,0,0,0,0,0.0358776827773096,0,0,0,0,0.0881658816667268,0.104505952759677,0,0,0,0,0.11295479033433,0,0,0.0796473480047772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200981427902651,0.0012171501305691,0.00580597567446599,0.0388095724859813,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0624516210476294,0,0.127788523297309,0,0,-0.0216766822039317,0,0,0,0,0,0,0,0,0,0,0.212301963578938,6.93889390390723e-18,0,0,0,0,0,0,0,0.0774834483361461,0,0,0,0,0,0.0566591365175104,0,0,0.106970380700696,0,0,0.141712831729756,0,0,0,0.210346918262152,0,-0.170516459035537,0
X601628.CH.EQUITY,0,0,0,-0.0204713539439947,0,0.0213006683776841,0,0,0,0,0,0,-0.00783079714648583,0,0,-0.0302958947143392,0.123602648153268,0,0,0.00132809431747165,0,0,-0.140247894523225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464273833876387,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-0.0346504142005416
X601988.CH.EQUITY,0.141114054677426,0,0,0,0.450964147176162,0,0,0,-0.0384677077842765,0,0,0.0564037692201542,-0.0968186291036847,0,-0.00357940567306999,0,0,0.124955630186639,0,0,0,0,0,0,0.0120573879365161,0,0,0,0,0,0,0,-0.114541912076838,0,0,0,0,0,0,0,0,0.134884266064097,0,0.176624749377787,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.155121681666622,0,0,0,0,0,0,0,-0.20128179265791,0.0540597250484489,0.0914686025660549,0,0,0,0,0,0,0,0,0,0,0,0.258524073471195,0,0,0.149714447071257,0,0,0,0,0,0.151175170981237,0,0,0,0,0,0.230380146416893,0.0349906952660047,0,0,0,0,0.228366151168761,0,0,0,0,0,0.0322895299319751,0
X388.HK.EQUITY,0,0,0,-0.0696048431251292,0,0,-0.110828526375903,0,-0.210755504790142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0835407827467035,0,0,0,0,0,0,0,-0.179208890003065,0,0,0,0,0.21676293736652,0,0,0,0,0.199324606021284,0.219922155493855,0,0,0,6.93889390390723e-18,0.114800169979249,0,0.118891445725852,0
