,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601066.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.113965459007022,-1.6940658945086e-21,0.0509595309330344,0,0,0,-0.0758054577821632,0,0,0,0.497557469831278,0,0,0,-0.0741763095073553,0,0,0,0,0,0,0,0,0,0,0,0,0.0563062714820053,0,0,0,0,0,0,0,0.0889391741330485,0,0,0,0,0,0.218403457031683,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.152002902906936,0,0,0.148957203461716,0,0.0982874411305281,0,0.0847746356443141,-0.106858295017121,0.122018211433332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0918040239211352,0,0,0,-0.20091328073733,0,0.146485306461153,0.138307737435849,0.0908115194196831,0,0,0,0,0.317188231592776,0,0,0
X601939.CH.EQUITY,0.292863037386311,0,0,0.312102348041214,0,0.132033040793917,0,-0.0433640164131075,0,0,0,0,0,0,0.104715477362255,0.0721987482044008,0,0,0,-0.0180310789767127,0,0.0538143056027485,0,1.38777878078145e-17,0,-0.0990156634331332,0,0,0,0,0,0,0,0,0,0,-0.104299469851349,0,0,0.34820484811469,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.332975574795649,0,0.251658484284208,0,0.0570989392767453,0.221539493592666,0,0,0.0392451731646166,0,0,0,0,0.0117055862561994,-0.0400692446197791,-0.0816556345882516,0.0464790930497854,0,0,0,0,0,-0.0988618396255204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113371567919696,0,0,0,0,0,0,0,0,0,0.185254597730084,0,0
X5.HK.EQUITY,0,-0.0759180754738912,0,0.320011639374035,0,0.0144552668655152,0,-0.28719287485302,0,0,0,0,0.120971374923088,0,0,0,0,0,0,0,0.541879146810029,0,0,0,0,0.320975967150382,0,0,0,0,0,0,0,0.0190886753152464,0,0,0,0,0,0,0,0,0,0,0,0,0.217032741950217,0,0,-0.101371543371594,0,0
X601988.CH.EQUITY,0.181059499811092,0,0.245178755952546,0.0438237774915867,0,0,0,0,0.094533966011577,0,0.134112283253552,0,0,-0.218103143561359,0,0,0,0,0,0,0,0,0.0663675788773048,0.191313593445834,0,0,0,0.040947015077785,0,-0.0579278290105035,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113563836050104,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.111494872882376,-0.0533562155265927,0,0.26023470254388,0,-0.04283451697771,0.0110420981557321,0,0.35065381724411,0,0.249442371700329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774697567334099,0,0,0,0,0.0851894055855737,0,0,0.130931093554846,0,0.0388492557608568,0,0,0,0,0,0,0,0,5.44463071261081e-06,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0395892334583078,0,0,0,0.136116440328711,0,0,0,-0.134062552509545,0,0,0,0.313482005605532,0,0.231584763881363,0,0,0,0,0,0,0.151457217119053,0,0.0240606689702243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0561492099941902,0,0,0,0,0
X601628.CH.EQUITY,0.213683446168744,0.204876928890459,0,0,0,0,0,0,0,0.0260867576617244,0.114759953258449,0,0,0,0,0,0,0.0211347163566513,0,0,-0.0230651731498011,0,0,0,0,0,0,0.0477231897684576,0,-0.061146366249279,0,0,0,0,0,0,-0.321097496002602,0,0,0,0.0405190513787715,0,0.228637776559553,0,0,-0.136309418991451,0.0583661586114827,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0440366046809099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
