,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.31548302140903,0,0,0.083586645309102,0,0,0,0,0,0,0,0,0.0291212805171848,0,0,0,0,-0.0823801746627649,0,0,0,0,0,0,0,0,0,-0.0238181269908818,0,0,0,0.163031429848129,0,0,0,0.00345346115731859,0,0,0,0,0,0,0,0,0,0.259406531092545,0,-0.0568272373943598,0
X601318.CH.EQUITY,0,0,0,0,0.109798391047379,0.00420664705163513,0,0.0534439925325995,0.117258844275255,0,0.0145813443109196,0,0.111893736044188,0,0,0,0,0.0305695549129543,0.223685150428068,0.261183246403196,0,0,0,0,0,0,-8.67361737988404e-19,-0.0477123726119137,0,0,0,0.150323935971188,0,0,0,0,0,0.0586054443733965,0,0,0,0,0,0,0.00791278899706345,0,0,0.0546655959713295,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.286878939057739,0,-0.0573430218210957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00333324099190987,0.748400495457561,0.0152870081422076,-0.258829225890203,-0.137283186068881,0,0,0,0,0,0,0.0629520977465227,0,0,0,0,0,0,0,0,-0.12670323680264,0,0,0,0,0,0,0,0,0,0,-0.0887558535795402
X601288.CH.EQUITY,0.221901264281762,0,0.0325654234112227,0,0.0550693858229446,0,0.322491344454798,-0.100407725691761,0,0,0.0584985240600025,0,0,0,0,0.0688741609138156,0,0.00258457459399465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156289525604745,0,0,0,0,0,0,-0.112667309665251
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252232736884289,0,0,0,0,0.0900393201915452,0.25389932356055,-0.12388272508676,0,0,0,0.0481791344598894,0,0,0.00835447265121262,0.476108815712463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.173334136434369,0,0,0.113173474711765,0,0.0838700095327481,0.0362088766410127,0,0,0,0,0.250234319045095,0,0,0,0,0,0,0,0,0,0,0,0,0.304696142521617,0,0,0,0,0.101178210509787,0,0,0,0,0,0,0,0.0847039682457446,0,0,0,0,0,0,0,0.0482514811046467,-0.0499878894590765,0,0,0,-0.0159218493427649
X601988.CH.EQUITY,0,0.0331466707611182,0,0,0,0.329590587345053,0,0,0,0,0,0,0,0,0,0.470380368508026,0,0,0,0,0.0373021262503187,0,0,0,0,0,0,0,0,0,0.0117112641366682,0.14063289395029,-0.0766644175770834,0,0,0,0,0,0,0,0,-0.0184760166530568,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0258325702135501,0,0,0,0.317088576722318,0,0,0,0,0,0,0.0801839713634293,0,0,0,-0.0141650820312307,0,0,0,0,0,0.128384092573106,0.0403105765199121,0,0,0,0,0,0,0,0,0,0.0421297514006966,0,0,0.128225896528446,0,0.117876529028446,-0.0794876687699596,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358947188934548,0,0,0,0,0,0,0,0,0,0.574872236542488,0,0.0761106872813822,0,0.0853213141326048,0,0.0855120104122884,0,0,0,0,0,0,0,0,0,0.230084307510549,0.0692999783772158,-0.0811050624428484,0,0,0,0.178100004460332,0.180318931969533,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.165302634575098,0,0,0,0,0,0,0,0,-0.0117763912651501,0,0,0,0,0,0,0.155403179319276,0,-0.0836619509663956,0,0,0,0,0.130880592934032,0,0.13261280058526,0,0,0,0,0.220504224316245,0,0,0,0,0,-0.305852631998304,-0.0366230539422925,0,0.0913697961313202,0.0719775539135217,0,0.548643784792844,0.18166498899674,0
