,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.0146117298419532,0,0,0,0,0,0,-0.174486517744059,0,0,0,0,0,0,0,0,0,-0.198008496749726,0.708256862581345,0,0.742253030334731,0,0,0.0455277005483261,0,-0.0982755646710704,0,-0.115758845489822,0,0.00331103227272893,0,-0.334379325943817,0,0,-0.0624785239683008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.155643918004713,0,0,0,0,0.0858417525463626,0,0,0,0,0,0,0,0,0.260970131258389,0,0,0,0,0,0,0,0.0992420974895973,0,0.0440386360295186,0,0,0,0,0,0,-8.67361737988404e-19,0,0.244481244055337,0,0,0,0,0,0,0.0157677537741345,0.0143498378086543,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.812577904726895,0,0.0607877505310988,0,1.73472347597681e-18,0,0,0,0,0.0321326770855879,0,0,0,0.0213867614472318,0,0,0,0,0,0.0100974056228119,0.00682577203360742,0,0,0,0,0,0,0,0.0413786682295886,0,0,0,0,0,0,0.00988274028019102,0,0,0,-0.0155164727980143,0.0249149615520622,0,0,0,0,0.0558357802107029,0,0,0
X601288.CH.EQUITY,0.0574357816506611,0,0.889223311003681,0,0,0,-0.0575680487022995,0,0,0,0,0,0,0,0,0,0.0261303330759705,0,0.117607457305074,0,0,0,0,0,0,0.0262162291689152,-0.0797641563600289,0,0,0,0.00492209464737205,0,0,0,-0.0230115334712648,0,0,-0.0940215434927066,0,0,0,0,0,0,0,0,0,0,0,0,-0.0610118387359399,-0.021829557384211
X601988.CH.EQUITY,0.0819670709456553,0,0,0,0,0,0,0,0,0,0,0,1.22552361059169,0,0,0,0,0,0,-0.230140117034715,-0.0415065716044921,0,0,0,0,0.0506497717226272,0,0,0,-0.11857232395331,0,0,-0.0906257549180997,0.00129675714109791,0,0,-0.156736710224834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0122107508673292
X600036.CH.EQUITY,0,0,0.279987663010607,0.0979943396421359,0,0,0,0.0167637068969149,0.0193726418400219,0,0,0,0,0,0,0,0,0,0,0.0263998493126239,0,0,0,0,0,0.065884954177359,0,0,0,0.103346835613869,0,0,0.372920790524581,0,0,0,0,0,0,0,0,0,0,-0.0577219480594457,0.0630661620973764,0.0701886720002864,0,0,0,0,0.0648686104137418,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.108843269501986,0.00723556645247305,0.827590641692583,0,0,0,0,0,0,0,0,0,0,0.0711517604695631,0,0,0,0,0,0,0,-0.0467217835972421,0,0,0,0,0,0.0669806929855446,0,0.118138221510154,0,0,0,0,0.0137092967393381,0,8.67361737988404e-19,0,0,0.129249519058819,0,0.181916392245296,0.174048376866158
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.264861421334664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216182852854749,0,0.0500988474558278,0.0457350018630817,0,0,0.0706345249776599,0.260160060006961,0,0,0.074765133444969,0,0,0,0,0,0,0,0,0,0,0,0.451588117553401,0,0,0.0153432427540275,0.0252152437337481,0,-0.0797138668807243
X5.HK.EQUITY,0,0,0,0,0,0,-0.230291291916875,0,0,0,0,0,0,0,0,0,0.421835670342479,0,0,0,0,0.0707777072512422,0,0,0.46750817300061,0,0.00576720379337791,0.291257455800126,0,0,0,0,0,0,0,0,0,0,0,-0.161947647025336,0,0,0.138610427239058,-0.0418985286972391,0,-0.0373003222719581,0,0,0,0.00475389399945169,0.0836487370480577,0
X601658.CH.Equity,0,0,0,0.227303426437724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109887174881496,0.243147234655816,0,-0.175664658603528,0,0,0,0,0,-0.130755959120647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415186338361046,0,0,0,0,0,0,0,0,0,0
