,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.524944352835764,0.168693731622981,0,0,-2.77555756156289e-17,0,0,0,-0.095766110746319,0.0552603186881859,0,0,-0.0168247461126693,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.0112162149325636,0,0,0,0,0.0384315808910566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490202877464678,0.0942253650759219,0,0
X601939.CH.EQUITY,0.33508820814934,0,0,0.151174769055097,0,0,0,0,-0.0566097300349547,0,0.158796255040899,0,0,0.0438764473448712,-0.0242872944868578,0,0,0,0,0,0,0,0,0,0.202680487030027,0,0,0,0,0,0,0,0,0,0,0,-0.0373960746533779,0,0,0,0,0,0,0,0,0,0,0,0.116305098492259,0,0.0306108728983912,0
X601318.CH.EQUITY,0,0,0,0,0.166802212760597,0,0,0,0,0,0,0.182171358857895,0,0,0.0183187129094365,0,0,0,0,0,0,0.0954827873487464,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0580491677357605,0,0,0,0,0.19703620807802,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.176660076177119,0,0,0,0.365763522652699,0,0,0,0,0,0.0401535145188387,0,0,0.0943729280622502,0,0,0,0,0,0.0652283199334053,0,0,0,0,0.0957829246389112,0,0,0,0,0,0,0,0,0,0.146827707055788,0,0,0,0,0,0,0,0.0113955444574254,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.38097109834598,0,0,0,0,0,0.228538451799352,0,0,0,0,0,0.0624490307225557,0.157942684599185,0,0,0,0.0191128231291928,0,0,0,0,0,0.100174103862832,0,0,0,0,0,0,0,0,0,-0.50004786284669,0,0,0,0,0,0,0.083530683086542,0,0,0,0,0,0,0.28980913386955,0
X600036.CH.EQUITY,0,0.0771818343869613,0,0,0,0,-1.73472347597681e-18,0,0.000909148305468248,0,0,0.190925875929095,0,0,0,0,0,0,0,0,0,0.273503129490034,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.282849835354679,0,0,0,0,0,0,0,0,0.0648269050763878,0.053945035488133,0,0,0,0,0.0244064557067073,0.0891160496112525,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23624129308088,0,0,0,0.47973181303681,0,0,0,0,0,-3.46944695195361e-18,0,0.107385191636437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116677843313428,0,0,0,0,0.0458611139348823,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164114245269178,0,-0.259694708640594,0,0,0,0,0,0,-0.409458192241788,0,0.731627656312746,0,0.612032111390062,0,0,0.0447665663399015,0,0,0,0,0,0,0.357535684438792,0,0,0,0,3.46944695195361e-18,0,-0.0747319046537827,0,0,0.00178297314269172,0,0,0,-1.38777878078145e-17
X601628.CH.EQUITY,0,0,0,0,0,0.0310760409146866,0,0,0,0,0,0,-0.195439848169819,0,0,0,0,0,0,0,0,0.28357035531021,0,0,0.0813734224671133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273339833030934,0,0,0,0,0,0,0.184429421496701,0.0707234975950919,0,0,0
X601658.CH.Equity,0,0,0,0.1582908484352,0.18211404350578,0,0,0,0,0,0,0,0,0.118447552337021,0,0,0,0,0,0,0,-0.0828965166466968,0,0,0,0,0.0367415593865516,0,0.0940656674125858,0,0,0,0,0,0,0,0,0.276518622322379,0,0,0,0,0,0,0,0,0,0,0.437060030043425,0,0,0
