,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0248133681244135,0,0.297820304666973,0,0,0,0,0,0,0,0,0,-0.16858657191265,0,0,0,-0.14380066283641,0,-0.154168624835649,0,0,-0.194709194797627,0.0460222955291988,0,0,0,0,0.70445441200705,0,0,0.126980991229253,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.142552850914696,0,0.0732048994595544,0,0,0,0,0,0.0561805379081577,0,0,0,0,0,0.112889638180985,0,0,0,0,0,0,0,0.0309393697818885,0.0347089064278581,0.0419828122935067,0,0,0,0,0.419142129380832,0,0,0,0,0,0,0.045729145489279,0,0,0.00465714012969303,-0.0103341626391845,0.0295204509322731,0,-0.0464725024765601,0
X601939.CH.EQUITY,0.149384891884358,0,0,0,0,0,0,0,0,0.242591463496874,0,0,0,-0.00972044105191222,0,0,0,0.131514796181026,0,0,0,0,0,0,0,0,0,0,0.00462532569896118,0.115348579361029,0,0,-0.196892465716479,0,-0.148430015690657,0,0,0.48089340558749,0.118754197601278,0,0,0,0,0.0796395731672787,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.512949204661322,0.207892682823124,0,0.679448939849767,0,0,0,0.141116876441294,0.423682014663733,-0.309251607510503,0,0,0,0,0,0,0,-0.278045121051449,0,0,0,0,0,0,0,0,-0.580580183082512,0,0,0,-0.17929123656015,-0.0831364401592599,0,0,0.15783130548379,0,0,0,0,0.484760666472209,0,0,-0.0364526638868882,0
X5.HK.EQUITY,-0.0762040306288896,-0.0241133431392158,0,0,0,0,0,0,0,0,0,0,0,0,0.461249884999531,0,0,0,0.448940437152404,0,0,0,0,0.0649025022621286,0.0124169405969398,0,0,0,-0.129131417747939,0,-0.135972530004942,0,0,0,0,0.128556933903066,0,0,0,0,-0.10024737996983,0,0.180541020230558,0,0,0,0,0,-0.127022693776659,0,0
X601988.CH.EQUITY,-0.156287172149833,0,0,0,0.274236401508032,0,0,0,0,0,0,0,0,0,0,0.0482772852827993,0,0.276684181238906,0,0,0.504908951571705,0,0,0,0,0,0.0125251940613707,0,0,-0.392628351304306,0,0,0,0,0,0,0,0.00223631693485474,0,0,0,0,0,0.025652177049813,0,0,0,0,0,0,3.46944695195361e-18
X600036.CH.EQUITY,0,0,-0.0945903992665848,0,0,0,0,0,0,0.380496238105404,0,0.37668782162733,0,0,0,0,0,0,0,0,0,-0.00353706302670508,0,0,0.079016836326722,0,0,0.0275196650712118,0,0,0,0,-0.132911699612676,0,0,0,0,0,0,0,0,0.0783151127333636,0.148911357872444,0,0,0,0,0,0,0,-0.28286493710169
X1299.HK.EQUITY,0,0.0796912191450378,0,0,0.172414844019659,0.00419668900230722,0,0,0,0,0,-0.0160346252950039,0.0170211840020964,0,0,0.113740688058786,0,0,0,0,0,0,0,0,0,0.187033242150103,0,0,0,0,0,0.148324421020059,0,0,0,0,0,0,-0.0184767462772214,0,0,0,0,0.0105853449126989,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0.0150588370551504,0,0,0,0,0,0,0,0.0732324194903173,0,0.358584843155195,0,0,0,0,0,0,0,0,0.0158002815201135,0,0,0,0,0,0,0,0,-0.0261583711843434,0,0,0,0,0.262202153315951,0.0708726730485481,0,0,0,0,0,0,0.0737424269934869,0,0,0,0,0,-0.0568758396892333,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.381830241797532,0,0,0,0,0.0934920910006945,0,0,0,0,0,0,0,0,0,0,0.0288757757408177,0,0.253604059233002,0.173522772378067,0,0,0,0,0,0,0,0,-0.0743195417119466,0,0,0,0,-0.144502462932628,0,0,-0.0275491082262011,0,0.134340129167396,0,0,0,0,-0.239910967783232,0
