,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601066.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.244659752835094,0,0.133303059141027,0,0.0386465062200828,0,0,0.250957482039951,0.0713456324643124,0,0.107794778431954,6.93889390390723e-18,0,0,0,0,0,0,0.0599844276046937,0,0,-0.0879465075961691,0,0,0,0,0,0,0,0,0,0,0,0,0.0590967977274194,0,0,0,0,0,0,0,0,0,0.0520287108079332,0.0131653450685433,0,0,0,0,0
X601939.CH.EQUITY,0.483675671583908,0,0,0,0,0,-0.0479955025253873,0,0,0.0165574275486228,0.192344038901582,0,0.229734262890638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.00149908951251835,0,0
X601318.CH.EQUITY,0,0,0,0,0.0805869534163651,0,0,0,0,0,0,0.211831663525676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.113484704146676,0,0,0.156845004583899,0,0.147433256622641,0.14110223321146,0,0,0,0,0
X601288.CH.EQUITY,0.346463892408089,0.0459471476962046,0,0,0.402166308354809,0,0,-0.0315528507246525,0,0,0.0626718870542513,0,0,0,0,0.114484295373745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0210805754505379,0,0,0,0,0,0,0,0,0,0,0.0134615886771562,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0988014511531986,0,0.272062611014686,0,0,0,0,0,0,0.249583839227825,0,0,0.0969278812587178,0,0,0,0,0,0.142403805681277,0,0.0697495346019894,0,0,0,0,0,-0.0096898429867834,0,0.0148109989382636,0.009945383993216,0,0,0,0,0,0,0,0,0.0570813504967161,0,0,0,0,0,0,0,0.0517684442380105,0,0,0,0
X600036.CH.EQUITY,0,0,0.021090221690153,0,0,0,0,0,0,0,0,0.411344444837843,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.126443798391761,0.0523347399657583,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0833242399998119,0.059642864826389,0.00130541562506508,0,0,0,0,0,0,0,0,0.264347201019873,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.09852649612587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0998443896358728,0,0,0,0.0419307713851373,0,0.179236969856052,0,0,0.118133768477698,0,0.208422269975309,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142167065698439,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375302742149435,0,0,0,-0.473003695941268,0,0.116229556212584,0.889216751850393,0,-0.850295073394893,0,0,0.596875417069826,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225461822175753,0,0,0,0,-0.0745735400353836,0.0525499006630584,0,0,-0.0619878053739056,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.208937376970331,-6.93889390390723e-18,0,0,0,0,0,0,0,0.199627406804748,0,0,0.0369642736458694,0,0.211485180836571,0,0,0.0278339373957849,0,0,0,0,0,0,0.0475384069891831,0,0,0,0,0,0.111227351512171,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,-0.117794863978613,0.303662802521215,0,0,0,0.0989896432165892,0,0,0,0,0,0,0,-0.274346850382786,0,0,0,0,0,0,0,0,0,0,0,-0.0803971461760535,0.798847286703269,-0.0837500352123801,0,0,-0.0913472603928482,0,0,0,0,0,0.0534336897574496,0,0,-0.188079361052196,0,0,0,0.841524142144132,0.00425071649076218,0,0,-0.102572482533793,0,0.166665345454473
