,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600030.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,X002736.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.226539115057029,0,0,0,0,0,-0.187320539359244,0,0,0,0,0,0,0,0,0,0,0,0.457909264921644,0.458581524179472,-0.0251210430554897,0,0.112391154532911,0,0,0,0,0,-0.0836196327286102,0,-0.185941110487046,0,0,0,-0.61632169027447,0,0,-0.0697793984133395,0,0.0301660289346634,0,0,0.0277940320689697,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.386367778532967,0.0722441559653987,0,0,0,0,0,0,0,0,0,0,0,0,0.164384812070415,0.0490155759514522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154385537457668,0,0,0,0,0,0,0,0.0532641689805236,0,0,0
X601939.CH.EQUITY,0.014518874583345,0,0,0.281732920753948,0,0,0,0,0,0,0,0.208405491261592,0.197030839638489,0,0,0,0,0,0,0,0,0,0,0.035367218993627,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119918255151427,0,0,0,0,0,0,0,0,0,0,0.279383436981259,0,0,0.0178582817056591,-0.1084444665387
X601288.CH.EQUITY,0,0,0.219283000666299,0,0.401080125160838,0,0,0.0620055166929568,0,0,0.0169758552337053,0,0.140322371217285,0,0.0540002799476454,-0.015079345084632,0,0,0.0593179496373664,0,0,0.0183275861928078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.073565545239724,0,0,0,0,0.0263660080198207
X601988.CH.EQUITY,0,0,0.33985509035436,0.148228106064398,0,0,0,0,0,0.0468478360138252,0,0.0243151047525434,0,0,0,0,0.106716458559875,0,0.0760313911680926,0,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.421220427892618,0,0,0.116652345956965,0,0,0,0,0,0,0,0.192994929797625,0
X600036.CH.EQUITY,0,0.00734335833506465,0.0911464458538897,0,0,0,0.0312262294663545,0.0622974535267966,0,0,0,0.105225887994133,0,0,0,0,0,0,0,0.12792813986802,0,0,0,0,0.00972163027230289,0,0,0,0,0,0,0,0,0.390327631547588,0,0,0,0,0,0,0,0,0,0,0,0.0782578599054229,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.419357489118574,0,0,0,0,-0.129422904012767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571343247482086,0.252303709484919,0,0.129224211602498,0,0.000557167219256575,0,-0.0508060657545444,0,0.099509760190031,0,0,0.050978054800954,0,0.0148212730303267,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.174241545536773,0,0,0,0,0,0,0,0,0.0809591231365094,0,0,0,0,0.252088873160543,0,0,-0.0505952001572258,0,0,0,0,0,0,0.0940241631389172,0,0,-0.0448302231400301,0,0,0,0,0,0,0,0.10774569276507,0,0,0,0.442534208801967,0.117194186005428,0,0,0,0.000236253889329995,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0703224856287464,0,0,0,0,0,0,-0.55828485334593,0.782539601698574,0,0,0.149063674089593,0.624102664084509,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423947576869955,0,0,0,0,0,0.139737498134893,0,0
X601658.CH.Equity,0,0,0,0.0168239447581803,0.0445539414762159,0,0,0,0,0,0,0,0,0,0,0,0,0.221111444912066,0.150954104046293,0,-0.129463725982205,0,-0.00638078690704072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264044697280711,0,0.290865729392594,0,0,0,-0.0258719789645068,0,0,0,0,0,0
