,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.338164912717708,0,0.160527547333699,0,0.0776630763540699,0,0,0.219953069510887,0,0.145188602531593,0,0,0,0,0,0,0,0,0,0,0,-0.0763735664506064,0,0,0,0,0,0,0,0.0598481079286484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.425370093865779,0,0,0.207424560528614,0,0,-0.123327995304958,0,0,0.0426282700026916,0.00603500866628553,0,0.203902008337238,0,-0.0267557203534245,0,0,0,0,0,0,0,0,-0.008606245957236,0,0,0,0,0,0,0,0,0,0,0,0,-0.0372213009693783,0,0,-0.0116344162262834,0,0,0,0,0,0,0,0.169300500054738,0,0,0,0
X601318.CH.EQUITY,0.0856221222104746,0,0,0,0.143602156497193,0,0,0,0,0,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0.0300042356629489,0,0,0,0,0,0,0,0,0,0.182749925678026,0,0,0,0,0.244405416607641,0,0,0,0,0,0,0.0885160936854134,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.292142859798145,0.158940273250895,0,0,0.125025022851641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163533987448837,0,0,0,0,0,0,0,0,0,0,0.0382772345440923,0,0,0.0243021146787827,0,0,0,0.109926104826438,0,0.000709935444597382,0.0761770437706158,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0739384007941074,0,0.437894595978187,0,0,0,0,0,0.268356427073713,0,0,0,0,0,0.0997627548599355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14685766501444,0,0,0,0,0,0,0,0,0,0.0177665845043699,0
X600036.CH.EQUITY,0,0,0.0150977725453818,0,0,0,-2.71050543121376e-20,0,0,0,0,0.351606686846488,0,0.0240579785051101,0,0,0,0,0,0,0,0,0.00661943189975113,0.112363380022723,0,0,0,0,0,0.0324532114570526,0,0,0,0.0498373387403914,0,0,0,0,0,0,0.0531860529671654,0.0682242563387438,0,0,0,0,0,0,0.285736362127535,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.110700660968675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24273870903019,-3.46944695195361e-18,0,0,0.153990888862603,0,0,0.147898980575192,0,0,0,0,0,0,0,0,0,0,0,0.149873462805623,0,0.0294521910105495,0,0,0
X5.HK.EQUITY,0,-0.215733699599028,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,-1.38777878078145e-17,0,-0.150510012438363,0,0,0,0,0,0,0,0.668709709594807,0,-0.343459415558907,0,0.787355564231884,0,0,0,0,0,0,0,0,0,0,0,0,0.433720689474751,0,0,0,-0.376949727210369,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127867187592492,0,0,0,0.146676409567573,0.127165015109889,0,0,0,0,0,0.189726784692003,0,0,0,0,0,0,0,0,0,0,0,0.0453892184229746,0,0,0.0275582480898326,0,0,0,0,0.251773260503712,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0968808959128777,0.209191515666388,0,0,0,0.0215652121302433,0.504762812294413,0,0,0,0,0,0.161001808434302,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0
