,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X1997.HK.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.106350587434911,0,0.373970201251791,0,0,0.0147906732995857,0,0.154616402472266,0,0,0,0,0,0,0,0,0.152417562685406,0,0,-0.0572060293277635,0,0,0,0,0,0.00490193304215261,0,0,0,0,0,0,0,0,0,0,0.10071111353721,0,0,0,0,0,0,0,0,0,0,0.107297581483051,0,0,0
X601939.CH.EQUITY,0.362407289452633,0,0,0,0,0,0,0,0,0,0,0.038365473709711,0,0.496981975276565,0,0,0,-1.73472347597681e-18,0,0,0,-0.0338540924412402,0,0,0,0,-0.0344249524949987,0,0,0,0,0,0,0,0.063158825391815,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.0235021159586895,0,0
X601318.CH.EQUITY,0.134113193974372,0,0,0,0,0,0.175535312405014,0,0,0,0,0.0501660569317954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131186127619454,0,0,0.0345904871721077,0,0,0,0.347865612272808,0,0.0662605570327013,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.395475910441564,0.0370090514854746,0,0,0.37251234965118,0,0,0,0,-0.0141158223296515,0.102737610595017,0,0,0,-0.00347773030485279,0,0.0630576397938085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0316365170646577
X601988.CH.EQUITY,0,0.0373412853034049,0,0.270271864625138,0,0,0,0,0,0,0,0,0,0.0215304368357356,0,0,0,0.109928196898547,0,0.273442143807674,0,0,0,0,0,0,0,0,0,0,0.054007285595077,0,0,0.0960187984135455,0,0,0,0,0,0,0,0,0,0.00879554102978211,0,0.0854037886814702,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161974390567819,0,0,0,0.0967468282014777,0,0,0,0.487712475292875,-0.0712162230844486,0.0891293362329791,0,0,0,0,0,0,0,0.0607092641776364,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446706230923771,0,0
X600036.CH.EQUITY,0,0,0.164654521051429,0,0,0.154238181342776,0,0.0704094274056058,0,0,0,0.368941273375272,0,0,0,0,0,0.0192687499514702,0,0,0,0,0,0,0,0,0.108438069008166,0,0.00863880614025226,0,0,0,0,0,0,0,0,0,0,0,0.0167055009994735,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.00100776306975151,0.168156610492543,0,0,0,0,0,0,0,0,0,0.212007829482084,0,0,0,0.271428949758724,0.076134876957126,0,0,0,0,0,0.0802746638278568,0,0,-8.67361737988404e-19,0,0.297503663663353,0,0,0,0,0,0,0,0.0201511286302655,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.097826459389377,0.0257078581741321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427647809594515,0.02816915083421,0,0,0,0,0,0,0.14695191526568,0,0,0,0,0,0,0,0,0,0,0,0,0.0649990579761456,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0660103484872749,-0.0287296943527071,0,0,0,0,0,0,0,0,0,0,0,0.063289044568041,0,0,0,0,0,0,0,-0.423176005062022,0,0,0.292464772786372,0,0,-0.174870611065667,1.31137847214166,0,0,0,0,0,0,-0.0469966329309787,-0.0680623488732984
X601328.CH.EQUITY,0.0540975558887251,0,0,0.307306351141432,0,0,0,0,0,-0.00696840786182601,0,0,0,0.19131622496715,0,0,0.0105481464362357,0,0,0,0,0,0,0,0,0.105613317275808,0,0,0,0,0,0,0,0.0423290955450072,0,0,0,0.0727325085387283,0,0,0,0,0,0,0,0,0.11125196465729,0.0753847202797578,0,0.114948699996016,-0.0225463919382656,0
X601166.CH.EQUITY,0,0,0,0.0445518537277301,0,0,0.110755154432101,0,0,0,0,0,0,0,-0.0731658701510894,0,0,0.113985866947516,0,0,0,0.0158129899958315,0,0,0,0,0,0,0,0.349929067023342,0,0,2.16840434497101e-19,0,0,0.0365761594079107,0,0,0,0,0.0523639896138945,0,0.0197942960647452,0,0,0,0.319650473852944,0,0,0,0,0
