,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X601881.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.115548335410369,0,0.626258489538094,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.11325751762974,0,-0.0101828695845154,0,0.0143862930350433,0,0,0,0,0,0,0.0767070241640603,-0.0224153757353567,-0.00408534746671142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.00168098335173691,-0.0146627299756223,0,0,0,0.18215783853889,0,0,0,0,0,0.344078931065631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182533221986111,0,0,0.0897776062112603,0,0,0,0,0,0,0,0,0,0,0,0,0.140431722156495,-0.00518041710060656
X601939.CH.EQUITY,0,0,0,0,0.322425110813117,0,0.000419269698205221,0,0,0.113569115429237,0.181329529662489,0,0,0.0710183713870539,-0.0445437300600077,0.184370281210225,0,0,0.0700306347512973,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.153870065528324,0,0,0,0,0,0,0,0,0,0,0,0,0.0531734637905487
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0186970576654148,0,0,0.252983369864324,0,0,0,0,0.165639747669315,0,0,0,0.23247096466368,0,0,0,0,0,0,0,0,0,0.0247749690517991,0,0,0,0.192822456642684,0,-3.46944695195361e-18,0,0,0,0,0,0.0862783056617275,0,0,0.104486263667103,0,0,0,0,0
X601288.CH.EQUITY,0.446876100750316,0.0104078291421228,0,0,0,0,0,-0.0244365903555146,0,0,0,0,0,0.0633031811141699,0,0,0.0761433718598897,0,0,0.0931553732927465,0,0,0,0,0,0,0,0,0.0702501389833684,0,0,0,-0.0386661833305809,0,0,0,0,0,0,0,0,0.0564623184954804,-0.0557821113197192,0,0,0,0,0,0,0.271498147925669,-0.050518788161978,0
X600036.CH.EQUITY,0.0113750252049153,0.205203740409628,0,0,0,0,0,0,0,0,0,0,0,0.276444831324621,0,0,0,0,0.100034674942646,0,0,0,0,0,0.00780887779885845,0.24871757671167,0,0.0873975753656615,0,0.0733102979224221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.0308175146274858,0.149715192076775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0.0627259547970506,0,0.000476167063947999,-0.0719044305638958,0,0,-0.126826585402529,0,0,0,0,0,0,0,0,-0.077185994105155,0,0,-0.0589997588580214,0.93481863335017,0,0,0
X1299.HK.EQUITY,0,0,-0.129360968740191,0,0,0,0,0,0,0.255866400619486,0,0,0,0,0,0,0,0,0,0,-0.131963830414786,0,0,0,0.187924910551923,0,0.292682402847774,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.037100683114818,0,0.0184161399470378,0,0,0.0616578388482868,0.11701307286834,0,0.121511604270172,0,0,0.0604576320122706,0,0.0226422834669552,-0.0764042626384543,-0.0290868351972244
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.229900326160324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543378313758171,0,0,0.356207789330743,0.136987024758838,0,0,0,0,0,0,0.0677651158927947,0,0,0,0,0.167104135808434,0,0.341274383792233,0,0,0,0,-0.0660154098728608,0,0
X388.HK.EQUITY,0,0.0703419734684753,0,0.13050086703378,0,0,0,0.028814518186038,0,0,0,0,0,0,0,0,0,0,0,0,0.0605331110543839,0.0502898526430559,0,0,3.46944695195361e-18,0,0,0,0,0,0.151972257530916,0,0,0,0,0,0.0608163746200902,0.134111959020631,0.244132550024733,0,-0.234841748237931,0,0,0,0.0176766685254846,0,0.316810849239236,0,0,0,0,0
X601658.CH.Equity,0.141536857341688,0.00613179449841547,0.0590728678421488,0,0,0,0,0,0,0,0,0,0,0.216423001835432,0,0,0,0,0.0432545850225878,0,0,0,0,0,0,0,0.164559771592551,0,0.0485085401654875,0,0,0,0,0,0.131979487175844,0,0.151190350602407,0,0,0.0461429742406629,0,0,-0.144069252350158,0,0,0.0582483710143426,0,0,0,0,0,0
