,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.114103301275343,0,0,0,0,0,-0.00170919475769386,0,0,0,0,0,0,0,0,0,0,0,0.134503388296375,0,0.376272174955349,-0.121030877942787,0,0.066884849122122,0,0,0,0,0.232329548836625,0,0,0,0,0,0,-0.231393999867722,-0.0317564360647163,0,0,0,0,0,0,0,0,-0.132396836771745,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.0907762432031885,0,0,0,0,0,0,0,0.0510446863725939,0,0,0,0,0.267752359384146,0,0,0,0,0,0,0,0,0.00977634554040037,0.164648848751776,0,0,0,0,0,0,0.257974931897473,0,0,0,0,0,0,0,0,0.0706890178813534,0,0,0,0,0.110232781386063,0
X601939.CH.EQUITY,0,0,0,0.802614672068073,-3.46944695195361e-18,0.0376118055300347,0.0468632581739326,0,0,0,0,0,0.0347176486368169,0,0,0,0,0,0,0,0,0,0.0141973198487341,0,0,0,0,-8.67361737988404e-19,0.005695203266733,0,0,0,0.0725551522235825,0,0,0,0,0,0,0,0,0,-0.00174399065551082,0,0,0,0,0,0.011106025652347,0.0459582373027767,0.0103468722893224,0
X601288.CH.EQUITY,0,0,0.899471148303021,0,0,-0.0640939832765956,0,0,0,0,0,0,0,0,0,0.0282083445374407,0,0.144771792639523,0,0,0,0,0,0,0,0,-0.0921482622407029,0.012022046963628,0,0,0.0133225859785961,0,0,0,0,0,0,0,0,-0.126927218636593,0,0,0,0,0,0,0,0,-0.0240377610583079,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,-0.05801264317707,0,0,0,0,0,0,1.08564059772622,0,0,0,0,0,0,-0.260850066690747,-0.221590300117856,0,0,0.124129682515362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084812007773081,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0642648509198986,0,0,0.762032132653363,0,0,0.0720810490147719,0,0,0,0,0,0,0,0.125696927036055,0,0,0,0,0,0,0,-0.0864159005368941,0.0644490293752356,0,0,0,0,0,0,-0.0122744442919864,-0.0285570742212981,0,0,0,0.0918687764006762,0,0,0.0230315960958792,0,0,0.0198822834090344,0.172283913694549,0
X600036.CH.EQUITY,0,0,0.349589884531838,0,0,0,0,0,0,0,0,0,0,0,0,0.160191314552805,0,0,0,0,0,0,0,0,0,0,0,0.187278253069844,0.0225511524886183,0,0,0.230646725296052,0,0,0,0,0.0326596578404579,0,0,0,0,0,0,0,0.0529196503830199,0,0.00155945903671796,0,0,0,0,0.0428813744363882
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0828978625950146,0,0.120440328996353,0,0,0,0,0,0,0,0,0.153763759620939,0.0619567419135576,0,-0.241535117705948,0,0,0,0,0.0778266820940305,0,0.322486965417959,0,0,0,0,0,0,0,0,0,0,0.0797246614895578,0.0798981617865661,0,0,0,0.473141057632776,0,0,0,0.096161732219075,0
X5.HK.EQUITY,0,0,0,0,0,-0.115722503775503,0,0,0,0,0,0,0,0,0,0,0.248741030057087,0,0,0,0,0.0721020836095398,0,0,0,0.364338203601135,0,0.0909340751344863,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214566460520454,0.019648233126026,-0.0532102229229451,0.058599332585428,0,0,0,0,0,-0.0739198445892821,0.236189722106636
X388.HK.EQUITY,0,0,0,0,0,0.422239297407918,0,0,0,0,0,0,0,0,0,0,0.0278018568127895,0,-0.413627892961107,0,0,0.123348545038452,0,0,0,0,0.285150814613414,0,0,0,0,0,0,0,0,0.24643187514359,0,0,-0.0482556448741593,0,0,0,-0.265686297954227,0,0,0,0,0,0,0,-3.46944695195361e-18,-0.0146722300446833
