,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.505928109320227,0.137594049063463,0,0,0.0656918634573208,0,0,0.0286534225236705,-0.140846288473727,0.0556130428205012,0,0,-0.0415088153591347,0,0,0,0,0,0,0,-0.00782112951405322,0,0,0,0,0,0,0,0,0.0213442788114039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280765191898376,0,0.0266881010990932,0.0968450506310962,0,0
X601939.CH.EQUITY,0.416916254549966,0,0,0.206281757407228,0,0,0,0,0,0,0,0,0,0.183979700170507,-0.215754279427539,0,0,0,0,0,0,0,0,0,0,0.233976191070731,0,0,0,0,-0.0148084016243201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00571268299307188,0,0.105962998136288,0.0179965724873209,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.196097716818266,0.241084146899272,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146829793517214,0,0,0,0,0.0687578452425491,0,0.0254609687085,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.296151941578466,0.0954237233963323,0,0,0.174298108180891,0,0,0,0,0,0,0,0,0.189652727227295,0,0,0,0,3.46944695195361e-18,0.0454507713097178,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120895570162675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.379394361139775,0,0,0,0,0,0.336470802001233,0,0,0,0,8.67361737988404e-19,0.20844027218545,0,0.13913755827708,0,0,0,0,0,0,0,0,0,0.0684143466671123,0,0,0,0,0,0,0,0,-0.480029463722915,0,0,0,0,0,0,0,0.0114234106547438,0,0,0,0,0,0.31059572328488,0
X600036.CH.EQUITY,0,0.0258616649358486,0,0,0,0,0,0,0.0531845223702727,0,0,0,0.146377054625238,0,0,0,0,0.0512829759578496,0,0.0277009691272851,0,0,0.153285779212005,0,0,0,0,0,0,0,0,0.357218920805287,0,0,0,0,0,0,0,0,0.0579186537758345,0,0.0408475189201366,0.18704540812774,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.241109002812097,0,0.049033582066374,0,0,0.122812939024598,0,0,0.260059200044897,0,0,0,0,0.162681934226045,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.193868035791662,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0445256237212894,0,0,-0.0396931486828932,0,0,0,-0.382211601030398,0,0.612718687002676,0,0.0469919455718354,0.691209813806716,0,0,0.018226310898759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148817513032191,0,0.288577026191082,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.108715238092301,0,0,0,0,0,-0.142182527211978,0,0,0,0,0,0,0,0,1.38777878078145e-17,0.286246169335693,0.184335878530695,0,0,0.0653753900959268,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0993466219038367,0,0,0,0,0,0,0.232728492937407,0,0.0249010688369306,0,0
X601658.CH.Equity,0,0,0,0.0229284950092947,0.125240347598081,0,0,0,0,0,0,-0.126013881270428,0,0.207555452050391,0,0,0,0.225911724812838,0,0,0.0878243152240375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27107334081435,0.122904722132579,0,0,0,0,-0.0367611799406985,0,0,0,0,0,0,0,0,0,0
