,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.346073621901526,0.0602405033779485,0.111910721394086,0,0,0,0,0,0,0.209502706126733,0,0,0,0.0168231464527304,0,0,0,0,0,0,0,0.0137700140869266,0,0,-0.0255010558115903,0,0,0,0.0363978162965102,0.00865989759904031,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453328209318718,0,0,0,0,0,0.145385136388502,0
X601939.CH.EQUITY,0.456330378530716,0,0,0,0,0,0,0,-0.0176739466658732,0,0.210723181363526,0,0,0.0346719027251098,-0.0151405544266358,0,0,0,0,0,0,0,0.146033676304767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716585084860633,0,-0.0494324452523786,0
X601318.CH.EQUITY,0,0,0,0,0.252355845920673,0,0,0,0,0,0,0.115781984042893,0,0,0,0,0,0,0,0,0,0.160068961956668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519153850815075,0,0,0,0.0608567480018397,0,0,0.181117288937941,0,0,0,0,0,0
X601288.CH.EQUITY,0.40424245609394,0,0,0,0.257090034318717,0,0,0,0,0,0,0,0,0.0656955615452124,0,0,0,0.0775522903252685,0.0627222836455821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022067515098942,0,0.0613676809657084,0,0,0,0.0291011044310657,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.372765171759441,0,0,0,0,0,0.249569181206716,0,0,0,0,0,0.118094084627432,0.127625503610602,0,0.0477026933087424,0,0,0,0,0,0,0,0.0925150975583444,0,0,0,0,0,0,0,0,-0.514145975231801,0,0,0,0,0,0,0,0,0,0,0.0628757571579112,0,0,0,0,0.291907171427877
X600036.CH.EQUITY,0,0.0187784460039805,0.034068672042624,0,0,0,0,0,0,0,0,0.0986746354683457,0,0,0,0,0.00892633096709642,0.0577122383242862,0,0,0,0.270306505643529,0,0,0,0,0,0,0,0,0,0.230543891743571,0,0,0,0,0,0,0,0,0.147235297650379,0,0,0,0.0787687776458821,0,0,0.103965819674803,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0382648918168564,0,0,0.232395216360548,0,0,0,0,0,0,0.457957942494807,0,0,0,0,0.11233724494811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0.109655851936372,0,0,0.0428096999977603,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,-0.0815714858107077,0,-0.30733755862431,0,0,0,0,0,0.132938113995166,0,-0.387330485135591,0.657312738817967,-0.140855174302478,0.755059121076265,0,0,3.46944695195361e-18,0,0,0,-0.107869883579752,0,0.235613034703127,0,-0.072082603864278,0,0,0,0,0,0,-0.00116651945301584,0,0.160917793312386,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.105477322077213,0,0,0,0,0,0,0,0.00241127423340141,0.381940466647393,0,0,0,0.0343515150371051,0,0,0,0,0,0.0014306858257762,0,0.0514637975403684,0,0,0,0.0853121735693166,0,0,0.21449376014553,0,0,0,0,0,0,0,0,0,0.166834826611649,0.0374369321993633
X601658.CH.Equity,0,0,0,0.0939757479690307,0.263737201645134,0,0,0,0,0,0,0,0,0.180019593112281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163676800901191,0,0,0,0,0,0,0,0.172210793272657,0,0,0,0,0,0,0,0,0,0,0,0.337440923847904,0,0,0
X601328.CH.EQUITY,0.182435873216684,0,0,0.458398073355703,0,0,0,0,0,0,0,0,0.0193327371703812,0,0.0392094989812933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159715294322465,0,0,0,-2.16840434497101e-19,0.100622678254651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065542103534473,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.392498482753292,0,0,0,0,0.0757636962120756,0,0,0,0,0,0.0652996727543844,0,0,0,0,0,0,0,0,0,0,0,0,0.212394497858411,8.67361737988404e-19,0,0,0,0,0,0,0,0.0491659007407672,0,0,0,0,0,0.030781233193747,0,0,0.0600475121533369,0.114108117017519,0,0,0
