,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.208290980585591,0,0.106649757146815,0,0,0,0,0.273076275825851,0.0495284679254665,0,0,0,0,0,0,0,0,0.130759342267979,0,0,0,-0.0440717537555477,0,0,0,0,0,0,0,0.100088381332169,0,0,0,0,0.0545551437549065,0,0,0,0,0,0,0,0,0,0.0118884980087437,0.0551363460494065,0,0,0,0,0
X601939.CH.EQUITY,0.457991628343957,0,0,0.0181947303898233,0,0,-0.0318960017824756,0,0,0,0.192650099462407,0,0.226679434208984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0.00854116181183133,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.165270686188061,0,0,0,0,0,0,0,0,0.0301701660311417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149665667669601,0,0,0.0800571502424141,0,0.175627321289924,0.201158564190339,0,0,0,0,0
X601288.CH.EQUITY,0.425858530042221,0.0834372735582704,0.0661269844548967,0,0.162743623538833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312006911683564,0,0,0,0,0,0,0,0,0,0,0.088961911969852,0,0.0522593928320007,0,0,0,0,0,0,0,0.059934828657145,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0220826874946876,0,0.524306082953613,0,0,0,0,0,0.222036985618608,0,0,0,0,0,0,0.174261447922728,0,0,0,0,0,0,0,0,0,0,0,0,0.0550796993267661,0,0,0,0,0,-0.0660185215838174,0,0,0,0,0,0.067403553454069,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0216993677953971,0,0,0,-3.46944695195361e-18,0,0,0,0,0.415391894520797,0,0,0,0,0,0,0,0,0,0,0.0541550690223901,0,0.125594371987503,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0.0850113854765909,0,0,0,0,0.0600137199957876,-2.16840434497101e-19,0,0,0,0,0,0,0.26955778237069,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.113976591537679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0535599161755642,0,0.200965659677921,0,0,0.054102007507558,0,0,0.194240528056752,0,0,0,0,0,0,0,0,0.00136382061301464,0,0,0,0.190278737461611,0,0,0,0
X5.HK.EQUITY,0,-0.295163448830083,0,-0.0620898694633579,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,1.30445764221651,-0.855797712924597,0.0906210575712048,0,-0.0173147870522292,0.366679160633769,0,0,0,0,0,0,0,0,0,0,0,0.427942045349887,0,0,0,0,0,0,0,0,0,0,0.12020833416171,-0.06725834273562
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0598048320160211,0,0,0,0,0,0,0.0782506135558812,0.286631901764329,-6.93889390390723e-18,0.0856471715098897,0,0,0,0.213058817737407,0,0,0.0450764535645411,0,0,0,0,0,0,0.0185687913768886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0758639298615034,0.00780597496813906
X601658.CH.Equity,0,0,-0.0622784455348639,0.619834629343233,0,0,0,0,0.0332512623988795,0,0,0,0,0,-0.451624382142163,0,0,0,0,0,0,0,0.147967952909016,0,0.0902620549649688,0,0,-0.00598524053495017,0.853163674084963,0,0,0,0,0,0,0,0.0701051590275583,0,0,-0.141384178818822,0,0,0,0,0,0,0,0,0,-0.0923706615584538,0,0
X601328.CH.EQUITY,0,0,0,0.245334548441324,0,0,0,0,0,-0.079041132911862,0,0,0.292588324012704,0,0,1.73472347597681e-18,0,0,0,0,0.150210125992493,0,0,0,0,0,0,0,0,0.0156188847473317,0.194437201675489,0.0361257566773228,0,0.12039951211618,0,0.0219564529198909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0276244823953542
X601166.CH.EQUITY,0,0.0887865688621362,0,0,0,0.276573919494122,0,0,0.0457300229887851,0,0.0416665861628714,0,0,0,0,0,0,0,0.0142088696090722,0,0.0201759933370207,0,0,0,0,0,0,0,0,0,0.198414716959087,0,0,0,0,0,0,0.0274867557892751,0,0,0,0.00988643350311778,0.0148750172560829,0,0,0.186941501323253,0.0671867666764224,0,0,0.0480650591638647,0.0069216576585182,0
