,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,-0.0783229956446633,0,0,0,0,0.203147306913699,0,0,0,0,0,0,0,0,0.0348899534300979,0,0,-0.310014391783198,0,0,0,0,0,0,0,0,0,0,-0.338105769940115,0,0,0.0836622848724783,0,0.769820560242501,-0.185237791301637,0.267420031032611,0,3.46944695195361e-18,0,0,0,0,-0.0134443561900036,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.175347550985819,0,0,0,0,0,0,0.0627320818244495,0,0,0,0,0,0,0,0,0,0,0.144266294569463,-6.93889390390723e-18,0,0,0,0.0624745911495604,0,0,0,0,0,0,0,0.455404859369305,0,0,-0.0533178059862831,0,0.0666358304372381,0,0,0,-0.0211301319063566,0,0.0271390750365582,0,-0.0610178753591996
X601939.CH.EQUITY,0.277769859964437,0,0,0,0,0.014317540146255,0,0,0,0.0394574431320712,0,0,0,0,0,0,0,0,0,0,0,0.0907121395733006,0,0.0425370904359381,0,0,0,0,0.193920120026892,0,0,0.0864993844787502,0,0,-0.106939183260158,0,0,0,0.403290059763884,0,0,0,0,0,0,0,0,0,0,0,0.15178894197972
X601288.CH.EQUITY,0,0,0,0,0,0.0650801343130365,0,-0.182407792791798,0,0,0.40353065819601,0.423293334290201,0,0,0,0,0.128977000783908,0,0,0,0,0,0,0,0,0,-0.0489046997514387,0.00033243700891651,0,0,-0.486510198710985,0,0,0,0,0,0,0,0,0,0,0.0746824633172388,0,0,0,0,0.0210146804218268,0,0,0,0
X5.HK.EQUITY,-0.164871459798071,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0229826214098189,0,0,0,0,0.250131388006373,0,0.23604422622363,0,0.0912388055942869,0,0,0,0.482716609816601,0.00620133883782952,0,0,0,0,-0.252245033044724,0,0,0,0,0,0,-0.0101355256246842,0,0,0,-0.0995127271597023,0,0.19103298048434,0,0,0,-0.0866767913013757,0,-0.140531588390032,0,0
X601988.CH.EQUITY,0.187033684898714,0,-1.0842021724855e-19,0.564437521565738,0.0325300893467434,0,0,0,0,0,0.126121277201009,0,0.00828913747792254,0,0,0,0,0,0,0,0,0,0,0.000393959442309842,0,0,0,0.121120277037394,0,0,0,0,0,0,0,0,0,0,0.212188073391259,0,0,0,0,0,0,0,0,0,0,0,0.0917264827593317
X600036.CH.EQUITY,0,0.648108386266883,-0.00387141757899409,0,0,0,0,0,-0.212284172021253,0.600673074032307,0,0,0,0,0,0,0,0,0,0.0815519497689462,0.0172304509794793,-0.0473599908679696,0,0,0,0,0,0.0466892741374929,0,0.101926447626764,0,0,0,0,-0.0671367289990776,0,0,0,-0.117627510175667,0,0,0,0.160917425599386,0,0,0.0100732756469238,0,0,0,0,0
X1299.HK.EQUITY,0,0.0422597984756714,0,0,0.0967439673529327,0,0,0,0,0,-0.109344496502352,0,-0.00827344879232088,0.127191284584308,0,0,0.217988763812756,0,0,0.0407585077652802,0,0.124443244933162,0,0,0,0.029979445273447,0,0,0,0,0,0.221035934707164,0,0,0,0,0,0,0,-0.0778801117277611,0,0,0,0,0,0,0,0.200466884013604,0.0343419888688416,0,0
X601628.CH.EQUITY,0,0.0978796196111393,0,0.0619543893665613,0,0,0,0,0,0,0,0,0,0.290718550627792,0,0,0,0,0,0,0,0.117926523704714,0,0,0,0,0,0,0,-0.0352165888062966,0,0,0,0,0,0,0.0938536759192246,0.152082600100315,0,0,0,0,0,0,0,0,0,0.0982499741478142,0,0,-0.000294083613249197
X601328.CH.EQUITY,0,0,0.0202478644918865,0,0,0,0.236436160893341,0,0,0,0,0,0.245443767059191,0,0,0,-1.73472347597681e-18,0,0,0,0.271119201670883,0,0,0,0,0.147968614579248,0,0,0,0,0,0,0,-0.173738509829734,0,0,0,0,0,0,0,0,0,0,0.0703313716233049,0,0,0,0,0,-0.231616727858747
X601166.CH.EQUITY,0,0,0,0.250268546977003,0,0.108256911628942,0,0,0,0,0,0,0,0.443870225785959,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0764672779896222,0,0,0,0,0,0,0,0,0,0,0.161947470659003,0,0,0,0,0,0,0,0,0,0,0,-0.0923041565986664
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191588183860369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140284093924195,0,0.275823112831735,0,0,0,0,0.0322082313027739,0,0,-0.123441355425751,0
X600000.CH.EQUITY,0,0,0,0.00214286184554325,0,0.0862840732610651,0.394217034602254,0,0,0.133572340115747,0,0,0,0.472601514307459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11455518828857,0,0,0,0.00411490844681377,0,0,0,-0.34103314130454,0,0,0,0,0,0,0.175044470517005,0,0,0.0693469700716902,0,0,0.037737188957805
X601601.CH.EQUITY,0,0.428459928724238,0,-0.0710139454672346,0,-0.153325941160197,0,0,0.232883572493875,0,0.0468915626728053,0,0,0,0,0.218744871884019,0,0,0,0,-0.0387152560310808,0,0,0,0,0.0660130216509755,0,0,0,0,0,0,0,-0.0103453988289669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0412519749760734,0.0344833449206912
X11.HK.EQUITY,0.040036285713267,0,0.112523185385516,0,0.356848900475623,0.0105006940519578,0,0,0,0,0,0,0,0,0,0,0,0.156972794428558,0,0,0,0,0,0,0,0,0,0,0,0.158295238640842,0,0.132774498336126,0.0709280244768907,0,0,0,0,0,0,0,0,0,-0.0587897931871905,0,0,0,0,0,-0.0878457292634564,0,0
X000002.CH.EQUITY,0,0,0,0.0319657193668208,0.0548051476497686,0,0,0,0,0,0,0,0,0.367564262179049,0,0,0,0,0,0,-0.0472240643605675,0,0,0,0,0,0.259768740657149,0,0,0.316326415077886,0,-0.372600992489918,-0.000372373988669844,0,0,0,0,0,0,0,0,0,0.151842324030377,0,0.00983059143999287,0,0,0,0,0.354185539836118,0
