,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.419903078526284,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0974517372123432,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0289942661252697,0,0,0,0,0,0,0,0,0.0686454799871561,0,0,0,0,0,0,0,0,0,0.0845245437479824,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.156742797795577,0.262838177511578,0,0,0,0,0,0,0,0,0.279600350080512,0,0.0778444008241678,0.037782519766214,0,0,0,0,0.109182167748246,0,0,0,0,0,-0.0106916653055519,0,0,0,0.0688340991962301,0,0,0,0.0204988804154779,0,0,0,0,0,0,0,0.0295787364025252,0.0242828828821292,0,0
X601939.CH.EQUITY,0,0,0,0.656830710409171,0.0433289632410317,0.0414843629877328,0,0,0,0.242493229228546,0,0,0,0,0,0,0,0,0,0,0.0929532314901925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001990208321335,0,0.015188099463857,0,0,0,0,0,0,0,0,0,0.0783746211687346
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.385784100266368,0.0508622660671608,0,0.92152061553379,0,0,0,0,0,0,0,-0.138327926654242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131430320786999,0,0,0,0,0,0,0,0,0,0,0.0338812916760729,0,0,0.0318662370624037
X5.HK.EQUITY,0,0.0503085135189458,0,0,0,0.147551986389536,0,0.336050375728867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00608220903806979,0.0295770760874423,-0.166786842144028,0,0,0,0,0,0,0,0,0.105443884541381,0,0,0.262956161197403,0,0,0,0,0,0,-0.111953032128031,0,0.0669142113878255,0,0
X601988.CH.EQUITY,0,0,0,0,0.328682372620739,0,0,0,0.00498025020399087,0,0,0,0,0,0,0.104582828650721,0.109995698693577,0,-0.0687399608441723,0,-0.063722574128012,0,0,0,0.255261530426759,0,0,0,0,0,0,-0.248910092361085,0,0,0,0,0,0,0,0,0.0576393339196073,0,0,0,0,0,0,0,-0.0135360574629222,0.127313722851001,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.411016517398719,0,0,0,0,0.0381822570357821,0,0.00940056481292852,0.102877793340155,0,-0.109025263814368,0,0,0,0,0.168802261536197,0,0,0,0,0,0.244373114974605,0,0,0,0,0.123357399308948,0,-0.0383080844233471,0,-0.168707802947286,0.0806150192503394,0,0,0,0.133250996605442,0,0,0,0,0,0.0122410067885925
X1299.HK.EQUITY,0,0,0,0,0.228015246713581,0,0,0,0,0,0,0,0.024124605264261,0,0,0,0.197497673139395,0,0,0,0,0,0,0,0,0.0613123601040216,0,0.112423192398636,-0.140429714738583,0,0.0935878306182624,0,0.0101973169862428,0,0,0,0.397572519725518,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0411192004728879
X601628.CH.EQUITY,0,0.0829043013275794,0,0.00158145716835433,-0.0870201327643444,0,0,0,0,0,0,0.0531625378123387,0,0,0,0,0,0.208812759935926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.40793665715065,0,0,0,0,0,0.220336144291892,0.0663056021916676,0,0.0903818728192849,0,-0.0113110782845997,0,0,0,-0.0184938876574619
X601328.CH.EQUITY,0,0,0.218317555442928,0,0,0,0.427702416600776,0,0,0,0,0,0.490069871304975,0,0,0,0,0,0,0,0.108342916156227,0,0.0785054108869913,0,0,0,0,0,0,0,0,0,-0.17477086748068,0,0,0,0,0,-0.0921638768425757,0,0,0,0,0,0,-0.205353512022643,0,0,0,0,0
