,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601229.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X601066.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.265253240894304,0.160314026824679,0,0,0,0,0,0,0,0,0,0,0.188507408407572,0,0,0,0,0,0,0,0,0,-0.297074252968969,0,0,-0.190184516451405,0.853103219486216,0,0,-0.0384236464212401,0.0516916972101062,0,-0.0300541271764732,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,-0.092953936979904,0,0.281610386597948,0,0,0,0,0,0,0.110506523169665,0,0.147226053258098,0,0,0,0.137520243719398,0.00622503825972541,0,0,0,0,1.38777878078145e-17,0,0,0.0198616136933658,0,0,0,0,0,0,0.125249368466802,0,0.0483269535569578,0.265404007152013,0,0,0,0,0,0,0,0,0,0,0,-0.134560862052198
X601939.CH.EQUITY,0.271492266221466,0,0,0,0.0847001044151669,0,0,0,0,0.159911897205356,0,0,0,0,0,0,0,0.0783453647448817,0,0,0,0,0,0,0,0,0,0,0.0602275625424814,0.0593765385085532,0,0,0,-0.223779853307133,-0.175487853861658,0,0,0.120521206176678,0.480968447861833,0,0,0,0,0,0,0.0707716500827872,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,-0.354950992004558,0.093914573838509,0.047944226516988,0.394180188442528,0,0,0,0.270592709735925,0.0234986067935206,0,0,0,0,0,0,0,-0.182135922663925,0,0,0,0,0,0,0,0,-0.606650273699892,0,0,0,0,0,0,0,0,0,0,0,0.408389857948505,0,0,0.126240803845713,0,0,0
X5.HK.EQUITY,-0.0527431047020604,-0.152854942706916,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622275935275638,0,0.225492720223987,-0.0426357432915871,0.223150405710157,0,0,0.103598244132586,0.187552112545086,0,0,0,0,0,0,0,-0.0540289982415673,0,0,0,0,-0.0713994857861235,0,0,0,0,0.0363116063121878,0,0,0,0,0,0,-0.0984970089441882,0.155331157320349,0
X601988.CH.EQUITY,-0.103766224453399,0,0,0,0.379471636929322,0,0,0,0,0,0,0,0,0,0.0679776251228499,0,0,0,0.44587535979279,0,0,0,0,-0.111205058625176,0,0,0,3.46944695195361e-18,0,-0.332615035337724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0781360229132392,0,0,0,0,0
X600036.CH.EQUITY,0,0.391757897703061,-0.0685931891251215,0,-0.0338562319899105,0.0223437104190341,0,0,0,0.559833924612825,0,0.0936248031810741,0,0,0,0,8.67361737988404e-19,0,0,0,-0.100322357368391,0,0,0.270640904527203,0,0,0.105552549675313,0,0,0,0,0.0389867985335877,0,-0.301230449801829,0,0,0,0,0,0,0,0.124239771265197,0,0,0.139380590538286,-0.0385539112712456,0,0,0,0,0.0512660081547843
X1299.HK.EQUITY,0,0,0,0,0.181954882655028,0,0,0,0,0,0,-0.0783298279970346,0,0,0.0322366288409653,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.158965326502257,0,0,0.101920826742751,0,0.253682300225458,0,0,0.0589668672019079,0,0,0,-0.0350883655883872,0,0,0,-0.0928467006885682,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.000775571301896606,0.0475430488177164,0.0158360993135241,0,0,0,0,0,0,0.109191119870229,0,0,0.444527870919,0,0,0,0,0.0201202990453172,-0.0204354300567893,0,0,0,0,0,0,0,0,0,0,0,-0.0414536891447078,0,0,0,0.151066603334222,0,0,0.0113601182941166,0.136480588628265,0,0,0,0,0,0.041139815865731,0,0,0,0,-0.163645790439673
X601328.CH.EQUITY,0,0,0,0.00659735323888574,0,0,0.481662004196693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053835769756424,0,0.215816701013806,0,0.17842493988729,0.108561392765566,0,0,0,0,0,0,0,-0.170828155606796,0,0,0,0,0,-0.0561774248299603,0,0.102660297009311,0,0,-0.0291506727468759,0,0,0,0,-0.232589408469273
X601166.CH.EQUITY,0,0,0,0.254105377058701,0,0,-6.93889390390723e-18,0,0,0,0,0.256232318115881,0,0,0,0.0198956532869968,0,0,0,0.0467391294749518,0.122439679990251,0,0,0,0,0,0,0,0.154338849756355,0,0,0.0526504233884185,0,0,0,0,0,0.00577079993285809,0,0,0,0,0,0,0,0,0,0,0,-0.0172881401019996,0
X600000.CH.EQUITY,0,0,0.462862053341297,0,0,0,0.341380973820568,0,0,0,0.221724035685268,0,0,0,-4.33680868994202e-19,0,0,-0.130678644861454,0,0,0.0758541214791988,0,0,0,0,0.101249018666415,0,0,0.0521062051017256,0,-0.0305665894748244,0,0,0,0,0,0,0,0,-0.351797456344218,0,0,0,0,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0116320588058307,0,0,0,0.38454229734051,0,0,0,0,0,-0.0553231558833011,0,0,0.0562652295977042,0,0,-0.132890538007138,0,0,0,0,0,0,0,0,0,0.355084420279312,0,0,0,0,0,0,0,0,0.137456225388626,0,-0.0360848664639258,0,0,0,0
X601601.CH.EQUITY,-0.00096813423556748,0.0882337454598259,0,0,-0.00858847564301109,-0.100876329383658,0.0117607276751648,0,0.602196322916433,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0353842842447567,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530349566669366,0,0,0,0
X16.HK.EQUITY,0.00661485224581548,0,0,0,0,0,0,0.049678986799658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256590461661411,0,0,0.0160084082692273,0.14540849798341,0,0.213654413670567,0,0,0.0437585791719389,-0.0752014016339932,0.511043846176694,0,-0.0800018855872182,0,0,0,0,0,0,0,0,0,0.149861832443529,0,0
X000002.CH.EQUITY,0,0,0,0,0.293875271050823,0,0,0,0,0,0,0,0,0.194188827508831,0,0,0,0,0.126327858157246,0,0,0,0,-0.158926541292047,0,0,0,0.320993229583474,0,0,0,0.162849756602793,0,0.327711593772041,0,0,0,0.111739777307426,0,0,0,0.0552156596325784,0,0,0,0,0,0.0159820049431412,-0.36816699689359,0,0
X11.HK.EQUITY,0,0,0,0,0.395454074903893,0,0.0987394987033801,0,0,0,0,0,0,0,0,0,0,0,0,0.135500421113752,0.0287667769781995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212862302517086,0.260679965973573,0.092056786994187,0,0,0,0.0525147793051851,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0.454021272855422,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229993133731122,0,0.0404793159934579,0,0.0480135006496324,0.210481995812528,0.023699128449402,0,0,0,0.0795996187620537,0,3.46944695195361e-18,0,0,0,0,0.102893637510812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
