,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600048.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002142.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.0166921567023183,0.428148393040002,0.101611172629923,0.0846196783304198,0,0.0372469211054555,0,0,0,0,0,0.0388329844962898,-0.00743539396184243,0,0,0,0.0634255314646271,0.0473168446062652,0,0,0,0,0,0.107777343872948,0,0,0,0,0,0.0134192305939621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150022408137447,0
X601318.CH.EQUITY,6.93889390390723e-18,0,0,0,0,0,0.0748891713067325,0,0,0.0753369252866003,0,0,0,0,0,0,0,0.223892479327141,0.0423336020443275,0,0,0,0,0,0,0,0.106211601277325,0,0,0,0,0,0,0.0761005157173541,0,0,0,0,0,0.29916051206726,0,0,0,0.0412113934576219,0,0.0257667631067778,0,0,0,0,0
X601939.CH.EQUITY,0.468652832298688,0,0,0.180583008264076,0,0.111494781555179,0,0,0,0.0166200788763451,0.136112575349164,0,0,0,0,0,0,0,0,0,0,0.00112398551746556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00506135476584315,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.445710969499422,0,0,0,0,0,0,0,0,0.214483784937,0,0,0,0,0,0,0,0.0893414250633191,0,0,0,0,0,0,0.0801223146290535,0.0313856618106982,0,0.032416772774879,0,0.0824020246936439,0,0,0,0,0,0,0,0,-0.0307332194755742,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.24052208853683,0,0.181767915847048,0,0,0,0,0,0,0,1.0842021724855e-19,0.28048095753186,-0.292147679178646,0,0,0,0,0,0,0,0,0,0,0,0.0392202740435673,0,-0.00677416248100386,0,0.192408792536265,0.0497091539254615,0,-0.148798655331959,0,0,0,0,0,0,0,0,-0.594235704057009,0,0,0,0.278201359104762,0
X601988.CH.EQUITY,0.0141806086741066,0,0.304887043016297,0,0,0,0,0,0,0,0,0,0.114281230725536,0,0,0,0,0.0495930598748391,0,0,0,0,0.588317394798749,0,0,0,0,0,0,0,0,0,0.0194130166171366,0,0.0223985629141634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373925742369396,0
X600036.CH.EQUITY,0,0.0144868479365364,0,0,0,0,0,0,0.0437636512121344,0,0,0,0,-0.00693761575184085,0,0,0,0.024878633301708,0,0,0,0,0,0,0.693326527713274,0,0,0,0,0.116694428468216,0,0.000590897398028443,0,0,2.16840434497101e-19,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328767575117431,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,1.73472347597681e-18,0,0,0.0957899535901355,0,0,0,0,0,0,0.135140481770587,0,0,0.119649620622057
X601628.CH.EQUITY,0,0,0,0,0.0185652086540801,1.73472347597681e-18,0,0,0,0,0.131938095094022,0,0,0,0,0.0210914374818175,0.00725303104698509,0,0,0,0,0,0,0,0,0,0.0704833582036802,0,0,0,0,0,0,0,0.281668654338588,0,0,0,0,0,0.0879274087096524,0.197886338338736,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0.155352996033462,0,0,0,0,0,0,0,0,0,0.105850665720633,0,0,0,0,0,0,0,0.022530910961095,0.0914281272572173,0,0,0,0,0,0.11229930394417,0,0,0,0.0607298916836259,0,0,0.0571025759645738,0,-0.0244528104620827,0,0,0,0.168353810088676,0.244334217912039,0,0,0,0,0,0,0,0.0196700513291342,0,0
