,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.360920177665556,0,0.310462311417994,0,0,0,0,-3.46944695195361e-18,0.0477139330179827,0,0,0,0,0.0513341605402799,0,0,0,0,-0.0444513212158183,0,0,0,0,0,0,0,0.0441571255271589,0,0,0,0,0,0,0,0,0,0,0,0,0.0902095164094358,0,0,0,0.0582158069800349,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.108477184662594,0,0,0,0,0,0,0,0.179219686503108,0,0,0,0,0,0,0,0.179214359280894,0,3.46944695195361e-18,0,0,0,0,0,0.0678332563546176,0,0,0,0,0,-0.0561989189866793,0.136484523925629,0,0,0.0316612855973008,0.156517709349751,0,0,0,0,0.0391610318547184,0,0.0204911489709345,0,0,0,0.0582829309025366,0,0,0.136092258888883,0,0
X601939.CH.EQUITY,0,0,0,0.340430719091622,0,0.0711667491669562,0,0,0,0,0,0,0.434308113884964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0544540447872524,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.386210355318446,0,0,0,0,0.256854019262489,0,0,0,0,0,0,0,0,0.0377932834894675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195880576984364,0,0,0.0260292850350116,0,0,0,0.0256787769080625,0.0841821691919289,0,-0.0171834510026548
X5.HK.EQUITY,0,0,0,0.00856253628686521,0,0,0,0.00852560371139157,0.20343591451945,0,0,0,0,0,0.0483591743829345,0,0,0,0.467558083134346,0.0659123670726307,0,0,0.0182596517743782,0,0,0,0,0.111528425281196,0.115941353781083,0,0,0,0,0,0,-0.144612138306507,0,0,0,0,0,0,0,0,0,0,0,0,0.0739356154882458,0,0,-0.0406375872365089
X601988.CH.EQUITY,0.386385196653853,0,0,0.00302710474742743,0,0,0,0,0,0,0.0657579850933587,0,0,0,0,0,0,0,0.0148440685191813,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162121193243768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330830036121017,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.337453009813103,-0.0214371801652351,0,0,0,0,0,0,0,0.474570239447009,0,0,0,0,0,0,0,0,0,0,0.0482522312500569,0,0,0,0.077204974316153,0,0,0,0,0,0.017677165724211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.075055525869502,0,0,0,0.428388107558414,0,0,0,0.120450193752733,0.0536277469610283,0,0,0,0,0,0,0,-0.034941476286093,0.406746124594273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.257051984410818,0,0,0,0,0.0609400907998239,0,0,0,0,0.0128899281809575,0,0,0,0,0,0,0,-0.0798844139090015,0.0981812791294269,0,0,0,0.156856657792676,0,0,0,0,0.151980503733248,0,0,0,0,0,0,0.0712079592706034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0663695162857201,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.109718520058417,0,0,0,0.264400219147677,-0.176437275155541,0,0.184348588591878,-0.225257444880676,0,0,0,0,0,0,0,0,0.626444395694691,0,0,0,0,0,0,0.118876067548275,0,0,0,-0.00753956470300648,0,0,0,3.46944695195361e-18,0,-1.1685626286623,0,0,0,-0.255729787118353,1.16831955027931,0,0,0,0,0,0
