,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X000776.CH.EQUITY,X600606.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.090114415387709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466769059702829,0.368111521299743,0,0,0,-0.238320146844752,0,0.334772339570186,0,0,0,0,-0.0838366715206055,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.190082644198425,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.16795288025528,0,0,0,0,0,0,0,0,0,0,0,0.0743180358733594,0.0598285879491151,0.0618990585817334,0,0,0,0,0,0,0,0,0,0,0.0244717707861097,0.0592923589326122,0,0,0,0,0.229407535884845,0,0.0682144054644291,0,0,0,0,0,0,0,0,0,0,0.198448993639947,0,0.108073583870607
X601939.CH.EQUITY,0,0.0684936530894526,0,0.804171857224995,0,0,8.67361737988404e-19,0,0,0.00205470713123521,0,0,0,0,0,0,0.0829072222209031,0.0184515197576534,0.0584029573790736,0,0,0.00323328030684742,0,0,0,0.0104610439778319,0,0,0,0.00997645564733565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.0376694853819781,0,0.899511293275523,0,-0.07988826201885,0,0,0,0,0,0,0,0,0,0,0.0416395554186712,0,0.13874087519091,0,0,0,0,0,0,0,0.0235082338573422,0,0,0,0,0,0,0,0,0,0,0,0,-0.0289979941061123,0,0,-0.0878483545227423,0,0,0,0,0,0,-0.0227489603148987,0,-0.0474395396691741,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.397607780533157,0.0109281232087432,0,0,0,0,0,0,0,0,0.0919911220461455,0,0,0,0,0,0,0,0,0.00611536020162844,0,0,0,0,0.3081972729928,0,0,0,0,0,0,0,0,0,0.111175649596762,0.0474371767320972,0,0,0,0,0.0785467878110079
X600036.CH.EQUITY,0,0,0.408357945046334,0,0,0,0,0,0.0245910713992872,-0.00634431549246182,0,0,0,0,0,0,0.106654905031055,0,0,0.00503516355043897,0.0125352825238847,0,0,0,0,0.189130652500013,0,0,0,0.124475083807659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,-0.060249685236422,0.147759054734149,0,0,0,0,-0.0546487463340454,-0.0788461595929668,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00257178274331406,0,-0.108703970988256,0,0,0,0,0,0,-0.0489180582239553,1.07499409188542,0.0142871615038085,0
X1299.HK.EQUITY,0,0,0,0,0.154920760172049,0,0,0,0,0.132246604738104,0,0,0,0,0,0,0,0,0,0,0,0,-0.204692141576788,0,0,0.41494911485301,0,0.0823987173474893,0.160098476192108,0,0.375282830954434,0.0953590101278973,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,-0.168258833258368,0,8.67361737988404e-19,0,0,0,0.0899644904100572,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0937705199987092,0,0,-0.103600508125545,0,0,0,0,0,0,0.359168667221542,0.394527570085544,0,0,0,0,0,0,0,0,-0.0484349196471664,-1.73472347597681e-18,0,0,0,0,0,0,0.0352653211910399,-3.46944695195361e-18,-0.0820408493652083,0,0,0.174547413971441,0,0.198849617090619,-0.06626851185837
X388.HK.EQUITY,0,0,0,0,0.303481348442866,0,0,0,0,0,0,0,0,0,0,0,-0.0267923339083733,0,-0.101601816488359,0,0,0,0,0,0.364129998812475,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,-0.111133487643234,-0.15315908867418,0.228383131948817,0.0965949277326768,0,0,0,-0.138123575536605,0.0989009941490795
