,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X300059.CH.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X600999.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X16.HK.EQUITY,0,0,0,0,0.0377130283345839,0,0.134686004773062,0,0,0,0,0,0,0,0,0,0,0.0775189216603809,0,0,0,0.189340000068544,0,0.171851060188677,0,0,0,0,0,0,0,0,0.0888360599323029,0,0,0,0,0,0.340549837568998,0,0.0767622532194782,0,0.0189006026638475,-0.120134686026483,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,-0.175394137967605,0.0838136923628338,0,0,0,0,0,0,0.395345976982674,0,0,0,0,0,-0.0964922317024099,0,0,0.062001702379023,0,0,0,0,0.095162663847522,0,3.46944695195361e-18,0.141963540404585,0,0,0.242233250624079,0,-0.0313460719183202,0,0.0080123814933963,0,0.15371837875188,-0.0601368003288218,0,0,0,0,0,0,0,0,0
X000001.CH.EQUITY,0,0,0.184480240114286,0,0,0.186386243442645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13179175917868,0,0,0.0982297293195574,0,0,0,0,0,0.161772566037252,0,0,0,0,0.0378062245089446,0,0,0,0,0,0,0.0355008829655804,0,0,0,0.107322463514883,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149342354699322,0,0,0,0,0,0,0,0.120981045009999,0,0,0,0.0463653457143944,0,0,0,0,0,0,0.167604649653434,0,0,0,0.152104425316209,0,0,0,0,0.199607498451213,0.061834488195756,0.344781667194278,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182415669843031,0.0516059623110951,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089060637702059,0,0,0,0,0,0,0.0591450591362855,0.00625245289488341,0,0.35641909047721,0,0,0,0,0,0,0,0.0747182374142925,0,0,0,0,0
X600016.CH.EQUITY,0.0211886392137658,0.0252741780813923,0,0.205443115429329,0,0,0,0,0,0,0,0.238979989647212,0.0473705266004482,0.103618809774005,0,0,0.276820568637964,0,0,0,0,0,0,0,0,0.0568600622518568,0,0,0,0,0.0137106223075405,0,0,0,0,0,0,0,0,0,0,0,0.0797618243564524,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0.473689591448332,0,0,0,0,0,0.016496413318373,0,0,0,0,0,0,0,0.202616473199046,0,0.0670105150117818,0,0,0,0,0,0,0,0.0699978321047227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25788419343503,0.167302837461476,0,0,0,0,0,0,-0.0428004673035431,-0.0838177933246403
X2388.HK.EQUITY,0,0,0,0,0,0,0.1029463232263,0,0,0,0.0363410125750597,0,0,0,0,0,0,0,0.00887372726617418,0,0,0,0,0,0.246775503864018,0,0,0,0,0,0,0.025462575250274,0.162603656002979,0,0,0,0,0,0,0,0.334341558299276,0,0,0,0,0,0,0.00314210019497729,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.18254419293786,0.301997251532488,0,-0.0250818185030873,0,0,0,0,0,0.0668751729640213,0.0334284755697112,0,0,0,0,0,0.196716742800961,0,0,0,0,0,0,0,0.0626774258153734,0.0618518699679433,0,0,0,0,0,0,0,0,0.0695539122637886,0,0,0,0,0,0,0,0,0.0478714678172878,0
X601998.CH.EQUITY,0,0.298133777104985,0,0,0.0994541270429674,0,0,0,0.0684692012508269,0,0,0.0617807073025313,0,0.182478383508279,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0266154624194177,0.0711990013420517,0.0312151771858611,0.0225070688771981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167045540724589,0,0,0,0,0
