,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.244218038257852,0,0.133788119445996,0,0.0384519296640732,0,0,0.250280433957,0.0714567260727989,0,0.107486082962057,0,0,0,0,0,0,0.0598067168429689,0,0,-0.0873080462805008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590465595664806,0,0,0,0,0,0,0,0,0,0.0518201807615251,0.0131473055994745,0,0,0,0,0
X601939.CH.EQUITY,0.462062622551316,0,0,0.0176207314701496,0.000413021183820813,0,-0.0311117351553007,0,0,0,0.192520882221965,0,0,0.22629047915037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00857146040123183,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.232925704869547,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019979175808148,0,0,0,0,0,0,0.152663598154382,0,0,0.0792287041461669,0,0.173923576305147,0.183717057666238,0,0,0,0,0
X601288.CH.EQUITY,0.372433052496801,0,0,0,0.371593927659572,0,0,0,0,0,0.0703185540688083,0,0,0,0.0714157355132267,0,0,0,0.0609979028649941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173858051281406,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0524987275893593,0,0.31861568564537,0,0,0,0,0,0,0.181452942113116,0,0.0822047157495244,0,0,0,0,0,0.19931798133989,0,0,0,0,0,0,0.0400602103727573,0,-0.00842825296876515,0,0,0.0784739174004313,0,0,1.38777878078145e-17,0,0,0,0,0,0.0645760746355785,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0210325840011211,0,0,0,0,0,0,0,0,0.413718643106049,0,0,0,0,0,0,0,0,0,0.0529784871734491,0,0,0,0.129785431578302,0,0,0,0,0,0,0,0,0,0,0.0833123517033475,0,0,0.0595002586455015,0,0,0,0,0,0,0,0,0,0.260757858902234,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0197399088335431,0,0,0,0,0,0,0,0,0,0.0305473576560528,0,0.178050919721302,0.0698123807347579,0,0,0.0920992093716747,0,0,0,0,0,0,0.130851947438437,0,0,0,0,0.2373597627092,0,0,0,0,0,0,0,0,0,0.022831967596022,0,0,0,0.208591226630406,0,0,0,0
X5.HK.EQUITY,0,-0.142779404348773,0,-0.1600916917994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110003947318297,0,0,1.24984500297358,0,-0.787847166145525,0,0,-0.0411683029126503,0.476275392076886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425452860003682,0,0,0,0,0,0,0,0,0.126715424016361,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.109519495559187,0,0,0,0,0,0,0,0,0.229454342362145,0,0.121077035644323,0,0.196902180332468,0,0,0,0.0816858011061058,0,0,0,0,0,0,0.0161813096345681,0,0,0,0,0,0,0,0,0,0,0.0460663309996185,0,0,0,0.0522849209618046,0
X601658.CH.Equity,0,0,-0.204308364993434,0.303529045503507,0,0,0,0.116330337651658,0.0410295179062716,0,0,0,0,0,-0.234345552815592,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704671294796758,0,0,0,0,0,0,0,0.00479754658222953,0,0,0,0,-0.10065274241241,0,0,0,0.620937375994765,0.0463829701156712,0,0,-0.109170944832792,0,0
