,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.0572642167298731,0,0.139712174511397,0.178331037272894,0,0.351064841227391,0,0,0,0.000610534797065829,0,0.133059200316112,0,0,0,0,0,0,0,0,0,0.01197083210568,0,0,0,0,0,0.104103951524963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0.167374181544297,0,0,0,0,0.00035803136973756,0,0,0.24546562084643,0,0,0,0,0,0.0592428631399054,0.164753895302167,0,0.040350912586185,0.165184603610363,0,0,0,0,0,0,0,0.00334659408041503,0,0,-0.104252508293324,0.0757749037838882,0,0,0,0,0,0.108405720630153,0,0.100454334290782,0,0,0,0,0,0,0,0,0,0,0,0,-0.0353589106286086
X601939.CH.EQUITY,0.255393740336478,0,0,0,0,0,0,0,0,0,0,0,0,0.415748040742042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201773164053854,0.102969790572283,0,0,0,0.0188542985972427,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.343970552827045,0,0.0265603082177678,0,0,0.487889559838709,0,0,0,0,0,0.00730256084032648,0,0,0.0356703906372796,0,0,0.0091213006847387,-0.0256232125517772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100381885124475,0,0,0
X5.HK.EQUITY,0,0,0,-0.0199107581675425,0,0,0,0.152506741376436,0,0,0,0,0.163217054871121,0,0,0,0,0,0,0,0,0.24588234489088,0.838356818058745,0,0,0,0.228808069308441,0,0,0,0,0,0,0.039623305958577,0,0,0.0689195829399848,0,0,0,0,0,-0.296173782186366,0,-0.107744987275027,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0592681749816569,0,0,0,0,0,0,0,0,0.107961389823661,0,0,0,0,0.219755858096701,0,0.0739910840031648,0,0,3.46944695195361e-18,0,0,0.220067450891897,0,0,0,0,0,0,0,0.103833865784052,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136967431523894,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.117636210041392,0,0,0,0.267543576601326,0,0,0,0.166832843304878,0,0,0,0,0,0,0,0,0,0,0.0482798063058699,0,0,0,0.161331933983337,0,0.150334972627419,0,0,0,0,0.0358544196269164,0,0,0,0,0,0,0,0,0,0.0241657513831931,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.119852835637006,0,0,0.141537179301683,0,0,0.278535218490447,0,0,0,0.0933522254372448,0,0,0,0,0,0,0.0084719515005382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.399131910320248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109545229180076,0,0,-2.77555756156289e-17,0.116284618113533,0,0,0,0.140628943744302,-0.0362346391475232,0,0,0,0.0130138030191042,0.258808099909977,0,0,0,0,0.116153107106721,0,-0.0463643248364948,0,0,0,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.295833179395937,0,0,0,0,0,0.236707138240926,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,-0.0116598488887647,0,0,0.203045375369609,0,0,-0.120784756932328,0,0.253431793515151,0,0,0,-0.0382362908745419,0,0,0.848569747662672,0,0,0,0,0,0.328629541130206,-0.293179080569515,-0.175597335784293,0,0
