,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X823.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.187411224995555,0,0,0,0,0,0,0.165217539126912,0.128960647792805,0,0,0,-0.210622762503105,0,0,0,0,0,0.315326674484017,0,0,0,0,0,0.251220741696134,0,0.0525969612592889,0,0.122714453957515,0,0,0,0,0,0,0,0,0,0,0.0969206944035217,0,0,-0.0393756466912202,0,-0.0911216595354266,0,-0.0106287154099598,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.175204691890024,0,0,0.148276190550334,-0.114920743020761,0,0,0.0909216578971065,0,0,0,0,0,0.00530934684504716,0,0,0,0,0,0,0,0,0,0.168220439361558,0,0,0,0,0,0,-0.229153031422297,0.327741804164483,0,0.125368784255299,0,0,0,0,0,0.131953527002961,0,0,0
X601939.CH.EQUITY,0.473544731567872,0,0,0,0,0.183903001610896,0,0,0,0,0,0,0,0.0324214909431742,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36591843981612,0,-0.157251429701111,0.0868805421801121,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.455622055648093,0,0.199890354771169,0,0.180876966903832,0.0259656285264289,0,0,0.0632519900035617,0,0,0,0.00488903291097224,0,0,-0.0582827143604664,0,0,0,0,0,-0.028627440744591,0,0,0,0,0.0874510967676081,0,0,0,0,0,0,0.0268167665620613,0,0,0,0.14329572111393,0.155281245121237,0,0,0,0,0,0,0,0,0,0,0,-0.0437687048505716
X5.HK.EQUITY,0,-0.20566119528066,0,0.0158205524035499,0,0,0,-0.171448909877111,0,0,0.337477932491127,0,0.161371864327271,0,0,0,0,0.543837188920644,-0.0488212737291629,0,0,0,0,0,0,0,-0.165890668374805,0,0,0,0,0,0,0,-0.0505202187825568,0,0,0,0.0320158620594855,0,0,0,0,0.0753136175257271,0,0.108918211884228,0,0,0,0.204526225914238,0
X601988.CH.EQUITY,0.102432888821437,0,0.208411910634044,0.124437909000952,0,0,0,0,0.118494300730916,0.0802659706184042,0.238261639197603,0,-0.371697841237524,0,0,0,0,0,0,0,0,0,0.00100101029563278,0,0,0,0.136672349828746,0,0,0,0,0.0298793761709941,0,0,0.0437151959525127,0,0,0,0,0,0,0,0,0,0.103342270637109,0,0,0,0,0.00296675707434708,0.0798540379836761
X600036.CH.EQUITY,0,0.377671963772031,0,0,0,0,0,0.0336991276987986,-0.0112713659238782,0,0,0,0,0.288252235455389,0,3.46944695195361e-18,0.0201819678057925,0,0,0,0,0,0,0.176949532602619,0,0,0,0,0,0,0,0.0930827317188558,0,-0.0400548263580319,0.000541621263224844,0,0,0,0,0,0.16740006638086,0,0,0,0,0,0.0164489977782773,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0427873189860664,0,0,0.0562912533937573,0,0,0,-0.0197883256701469,0,0,0.193132423233302,0.252923208232369,0,0,0,0.16025453107161,0,0,0,0,0.166979663983378,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168224610264466,0,0
X601628.CH.EQUITY,0,0.373868781266058,0,0.039307193296933,0,0.0332920721299917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162407812427617,0,0,0,0,0,-0.0921689547559728,0.187586986337116,0,0,0,0,0,0,0,0,0,0,0,0.18679764414384,0,-0.0507054488412549,0.0224723501047452,0.111305923694817,0.201043033883371
X601166.CH.EQUITY,0.131429016662061,0,0,0,0,0.0499475734298925,0.500937244485267,0,0,0,0,0,0,0.0645153770404017,0,0.267764589749883,0,0,0,0,0,0,0,0,0,0,0,0.0575302410633924,0,0,0,0,0,0.0894360824026478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.0522977722480248,0.0329556548935759,0,0,0.0612210891071626,0.0235413305207005,0,0,0,0.0180250689722763,0,0.17829339446991,0,0,0,0,0,0,0,0.18541835808532,0.0837758032021054,-0.161579907457646,0.137402980231327,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12049149308468,0,0.209252481391519,0,0,3.46944695195361e-18,0,0,0,0,0,0
