,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.140265099938375,0,0,0,0,0,0,-0.00190528696461089,0,0,0,0,0,0,0,0,0,0,-0.0198194216217551,0,0.017867816965151,0.348679397949283,-0.180738745901051,0.428083182869442,0.248174092178338,0,0,-0.0918615028634442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249063666072748
X601318.CH.EQUITY,0,0,0,0,0,0.306549196631115,0,0,0,-0.0687635135718568,0,0,0,0.0608787866232562,0,0,0,0.0245228191437922,0,0,0,0,0,0,0,0,0,0,0,0.0219620969381165,0.0823282290205872,0,0,0,0,0.262127088216619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068201443861762
X601939.CH.EQUITY,0,0.0400874154784437,0,0.809371692638709,0,0,0.00505108901502344,0,0,0.0357966101726469,0,0.0118861288489663,-0.057222435073984,0,0,0,0,0.0999555364736139,0,0,0,0.00777459922726217,0,0,0,0,0,0.0263670006966394,0,0,0.0245212694862475,0,0,0,0,0,0,0.0821314172584185,0,0.021907977478061,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.919568129548574,0,-0.0841767079543663,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134438335857797,0,0,0,0,0,0,0,0,0.0482697001684335,0.0162387053011797,0,0,0,0,0,0,0,0,0,0.00356033218202084,-0.00687862587421181,0,-0.0793658339451956,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.0540754705272211,0
X601628.CH.EQUITY,0.00940959122257619,0,0,0,0,0,0,0,0,0.295202666692896,0.203994964209234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0880368785214269,0,0,0,0,0,0,0,0,0,0.537468270128618,0,0,0,0,0,0,0,0,0.136603235788324,0.193101147783334,0,0,0,0.0866124677178219
X600036.CH.EQUITY,0,0,0,0.328967187456513,0,0,0.00603452707380222,0,0.0377551212837378,0,0,0,0,0,0,0,0.171871108400464,0.0118839122043954,0,0.0251220932979806,0,0,3.46944695195361e-18,0,0,0,0.170212927881943,0.0374836124219708,0,0,0.113104833885136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405843936522914,0,0,0,0,0.0416418582680148,0,0
X601988.CH.EQUITY,0,0,0,0.0334964801542278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00345702678330191,0,0,0,0,0,0,0.0340362744149237,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0387200666168643,0,0,0,-0.0833234860220675,0.0249068785589091,0,1.01004718168466,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0673212591621449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372286517277421,0,0,0,0,0,0,0,0,0,0.0980506186388448,0.263479198663344,0,0,0.002577775090896,0,0,0,0,0,0.0489444121615319,0,0,0,0,0.0943489259038408,0,0,0,0.0781916102421301
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154074463834462,0,0,0,0,0,-0.0550473220851083,0,0,0.157609016729923,0.500295278153589,0,0,0,0,0,0,0,0,-0.100104618047669,0.107936937958348,0,0,0,0,0.0314190848501375,0.0667405163420746,0,0,-0.143869686268704,0,0.0567254910459968,0.129425888922222,0
X388.HK.EQUITY,0,0,0,0,0.136419836371092,0,0,0.157849017407179,0,0,0,0,0,0,0,0,-0.0596455448761634,0,0,0,0,0,0.356264753852416,0,0.232837932325849,0,0,0,-0.00259178759092288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0237517637997621,0,0,-0.246651465584338,0,0.273914867744569
