,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0141543166500601,0,0.748328850791853,0,0,0.0963504281226683,0,0,0,0,-0.136862361152276,0,0.0726795546241809,0,0,0,0,0,0,0,0,0,0,0,0,0.0078128536046359,0,0,0,0.157801822741722,0,0,0,0,0,0,0,0,0,-0.00437462418857778,0,-0.0691134562846899,0
X000002.CH.EQUITY,0,0,0,0.141988261947174,-0.192967954617425,0,0,0,0.333459989087254,0,0,0,0.214127382734793,0.30615853900193,0,0,0,0,0,0,0.0209473347728736,0,0,0,0,-0.0151833606395004,0,-0.0137305985279109,0,-0.238264685342975,0.183595738625684,0,0,0,0,0,0,0,0,0,0,0,0,0.0568712191881022,0,0,0,0,0,0,0,0.0337193332926698
X000001.CH.EQUITY,0,0,0,0,0,0.440316264627343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109087615820624,0.0481680350675081,0,0,0,0,0.146349675710942,0,0.267475115577277,0,0,-0.1917712625031,0,0,0,0,0,0.00139361272244291,0,0.123013636989984,0,0,0,0.0339726969490029,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.305050243788691,0,0,0.0842063142794152,0,0,0,0.0295830295215843,-0.0054547466740029,0.0165487169443359,0,0.0452954592611812,0,0,0,0,0,0.149124976893084,0,0,0,0,0,0,-0.0837350245761197,0,0,0,0,0,0,0.00516655558096651,0,0,0,0,0,0,0.123762908807155,0,0,0,0,-8.67361737988404e-19,0.142925186440295,0,0,0,0,0.0234397483266277,0,0
X600000.CH.EQUITY,0,0,1.38777878078145e-17,0,0,0.356976785720037,0,0,0,0,0.104509061244125,0,0,0,0,0,0,0,0,0,0.0174295015773161,0,0,0,0,0,0,0,0.10298866068676,0,0,0.11644488843843,0,0,0,0,0,0,0,0,0,0,0.51475080385471,0,0,0,0,0,0.189565013835076,0,0,0
X601601.CH.EQUITY,0,0.439080324078322,0,0,0.141071232838733,0,0,-0.0612635629900256,0,0,0,0,0.192129018481934,0,0,0,0,0,0,0.188289569884816,0,0,0,0,0,0,0,0.0017150625059596,0,0,-0.0531371797225032,0,0,0,0,0.15526515049849,0,0.0393791129279345,0,0,0,0,0.0731226354503974,0,0,0,0,0,0,0,-0.0336340380047174,0
X601319.CH.EQUITY,0,0,0,0.133888085818537,0,0,0,0,0,0,0,0,0,0,0.14361082858173,0.355378983737983,0,0,0.046653525782532,0,0,0,0,0,0,0,0,-0.0485671419935682,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016533839817688,0,0,0.0298176899688656,0,0.256071374879667,0,0,0,-0.0167862017575185,-0.04545344876519
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.015200541887744,0,-0.0602094379884576,0,0,0,0,0,0,0,0,0,0,-0.0643668390864262,0,0,0,0,0,0,0.238351864644396,0,0,0,0,0,0,0,0.0629673566449852,0,0,0.0060103907049842,0.421137324385601,0,0,0,0.172127667398887,0,-2.16840434497101e-19,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0.226153150213198,0,0.0721955166153901,0.110716759141832,0,0.209764094481523,0,0,0,0,0,0,0,0,0,0,0.027193921742792,0,0,0,0,0,0,0,0,0.180871283563076,0.0338256385495587,0,0,0,0,0,0,0.200291438638984,0,0,0,0.0946171037589405,0,0,-0.142054167973671,0.038159936166852,0,0,-0.0511850361270607,0,0.111009916396753,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0826410295813179,0,0,0,0,0,0,0,0,0.0255732099441585,0,0,-0.144719246595998,0,0.0606179947991928,0.384083886053951,0.0756852369148214,0,0,0,0,0,0,0,0,0,-0.136032605091258,0,0,0,0,-0.0989256694711726,0,0.0685788582969287,0.416363577894107,0,0,0,0,-0.041664074838526
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0393814786601881,0,0,0.11966155856285,0,0,0.0205676423496936,0,0.0091394675421175,0.165456375257972,0,0.0717808891169803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0939754274880367,0.030657694271695,0.0353315369889886,0,0,0,0.145567291032519,0,0,0.4939888327334,-0.0383988642583437,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0709148053266761,0,0,0,0,0,0,0,0,0,0,-0.0570922588859987,0,0,0,0,0,0,0,0,0,0,0,0,0.621776619313551,0,0,0,0,0.026658652757261,0.0303740987120117,0,0,0,0,0,0,0,0.0950040671820123,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0.433842684028962,0,-0.0887254598735163,0,0,0.174148947484247,0,0.414415646928237,0,0,0,-0.360867053073782,0,0.0854472440060792,0,0,0,0,0,-6.93889390390723e-18,0.222290444020281,0,0,0,0,0,0,-0.00925684059181313,0,0.0269963078022769,0,0,0,0.0348264388810426,-0.0718796258717741,6.93889390390723e-18,0,-0.02133225099177,0,0,0.0416453002767144,0,0,0
X600048.CH.EQUITY,0,0.093667772160471,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0.620492568254398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17506718302078,0,0,0,0,0,0,0,0,0,0,0,0.0322225882378358,0.0608467603869449,0,0.0223702713764167,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.530812570118771,0,-0.231082408214803,0,0,0,0,0,0,0,0.140161550808885,0,0,0,0,0.0495843351483234,0,0.135812265647915,0,0,0,0.170666283689587,0,0,0,0,0,0,0,0,0.136106810555957,0,-0.173496159849784,0.167298289543234,0,0,0,0,0,0,0,0,0,0,0,0.135703118178929,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0.120205480867012,0,1.38777878078145e-17,0,0.12627285382427,-0.0441152952991383,0,0,0,0,0,0,0.160452552008612,-0.137604584801514,0,0,0,0,0,0,0,0,-0.213487342045055,0,0,0,0,-0.0706994718933125,0,0.433868420322692,0,0,0,0,0,0,0,0,0,0,0.174370030483873,0,-0.180705502319469,-0.162679976635532
X688.HK.EQUITY,0,0,0,0,0,0,0.0395860975924856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344082304143676,0.132177806617118,0,0,0,0,0,0,0,0,0.264514734088768,0,0,0,0,-0.20827918841469,0,0.293131204900557,0,0,0,0,0,0,0,0,-0.0113659815204053,-0.00398434528333505,0,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0787886234573552,0,0,0,0,-0.131226040274785,0.105716861968271,0,0,0,0.109193267830318,0,0,0.382706449246887,0,0,0,0,0,0,-0.0911506960483366,0.718227922853464,0,-0.0355550421738057,0,0,0.0467401981931509,0,0,0,0,0,0,0,0,0.28690585962247
X601818.CH.EQUITY,0,0.0444197970949949,0.0130786046434955,0.132676226848829,0,0,0,0,0,0,0.0943051410169576,0,0.256363565333036,0,0.0405832080510803,0,0,0.0150331796077995,0,0.132586355810621,0,0,0,0,0,0,0.0139840365949471,0,0.0246623896183304,0,0,0,0,3.46944695195361e-18,0,0.0462582711577049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0553666496893208,0,0,0,0.0541882803666328,-0.260256869971463,0,0,0,0,0,0.059212456955517,0,0,0,0.17070941430427,0,0,0,0,3.46944695195361e-18,0,0,0,6.93889390390723e-18,0.312958328389654,0,0,0,0,0,0,0,0,0,0,0.0633642364373804,0,0.182153605589091,0,0,-0.0184313991700506,0.0570972507630597
X601688.CH.EQUITY,0,0,0,0,0.0310848525636823,0,0,0,0,0.00705851404374117,0,0.314918574528011,0,0,0,0,0,0,0,0,0.0829841312252205,0,0,0.00387795325859112,0.177094483068889,0,0,0,0,0,0,0,0,0,0,0,0.242007693397682,0,0,0.107381469310753,0.0747391744592603,0.0296057255907035,0,0,0.0436084195093196,0,0.0500715538348719,0,0,0,-0.00427430556889256,0
X600837.CH.EQUITY,0,0,0,0.0267384963703613,0,0,0,0,0,0,0,0.282967288596204,0,0,0,0,0,0,0.0964505466448004,0,0,-0.046517210102064,0,0,1.35525271560688e-20,0,0,0,0,0,0,0,0,0.378428567831677,0,0,0,0,0,0,0,0,0,0,0,0.0352358796140175,0,0.0795627527033756,0,0,-0.0114206280008129,0
X601336.CH.EQUITY,0,0,0,0,0.281395651819034,0,0,0,0.104353610990503,0,0,0,0,0,0,0,0,0,0.132803294132228,0,0,-0.136111697962537,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0986471182627126,0.161980527754419,0,0,0,0.0961492228408144,0,0.165429699815608,8.67361737988404e-19,0,0,0,0,0,0,0.0110749418993008,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0.0247978372638554,0.078887880791158,0,0,0,0,0,0,0,0,0,0,0,0.0952814921217136,-0.0182806432272965,0,0,0,0.0664393742579682,-0.140096730672394,0,0,0,0,0,0,0.110357212218213,0.25060101357538,0,0,0,0,0.0937723179467042,0.0609612387137317,0,0,0,0,0,0,0.0557943733715537,0,0,0,-3.46944695195361e-18,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0.105400832692441,0.154567125851589,0,0.0569130019179683,0,0,0,-0.0774175780926259,0,0,0,0,0,0,-0.0168846380640051,0,0,0,0,0,0,0.0688512168703616,0.260313239026838,0.177318073537839,0,0,0,0,0.196168630218794,0,0,0,0,-0.0131957950867608,0.197025016104305,0.0628204381784734,0,0,0,0,0,0.194789165256103,0,0,0
X002736.CH.EQUITY,0,0,0,0,0.101455261715723,0,0,0,0,0.0370664274317083,0,0.0641517837489151,0,0.049045693659188,0,-6.93889390390723e-18,0.0714088473522563,0,0,0,-0.0662132877966123,0,0,0,0,0,0,0.0939549088542888,0,0,0,0,0.253554766206282,0,0,0,0,0,0,0.33192474439228,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0929432726973886,0.0312960204335057,0
X000166.CH.EQUITY,0,0,0.116484323226302,0,0,0,0,0.102711828265327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616979695637349,0,0,0,0,0,0,0,0,0.00785578356581513,0.182328727984559,0,0,0.160124083357612,0,0,0,0,0,0,0,0,0,0.0753297321026854,0.156006153209684,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0.248916057916476,0.0140493617641568,0,0,0,-0.142677419689611,0,0,0,0,0,0,0.146171893662106,0.266739880699353,0,0,0,0,-0.0270065237584876,0,0,0.0640789281278437,0,0,0,0.743430429501502,0,0,0,-8.67361737988404e-19,-0.760483746817181,0,0,0,0,0.290324103835932,0,0,0,0,0,0,0,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0.370289369494934,-0.112572948165599,0,0,0,0,0,0,0,0,0,0,0,0.479948718172175,0,0,0,0,0,0,0.00856174153351003,0,0.224855346892806,0,0.0411647148077658,-0.138108651344485,0,0,0,0,0,0,0,0,0,-0.0414632108803911,0,0,-0.178725538578949,0,0,0,0.00154293038579719,-0.103480469824093,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,-0.00868469969008394,0,-0.105319165345278,0,0,0,0,0,0,0.0561645508893396,0.687141388841709,0,0,0.0515892634412203,-0.0347057896896431,0,0.121288942251665,0,0,0,-0.0209331785324948,-0.165147325718647,0,0,0,-0.0103027760781239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0682607437244165,0,0.0865887458730281,0,0
X2882.TT.EQUITY,0,0,0,0,0,-0.0238516823856645,0,0,0,0.122500865146655,0,0,0,0.250251032600839,0.0921549216833637,0,0,0,0,0,-0.214648892785569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520622881120898,0,0,0,0,0.155557970113735,0,8.67361737988404e-19,0.734257378509614,0,-0.00889475877503909,0
X601229.CH.EQUITY,0.386964947839166,0,0,0,-0.031432282298579,0.229956365820167,0,0,0.0929610570510081,-0.0107723064813517,0,0,0,0,0.302508880982945,0,0,0,0,0,0.0955939881525642,0,0,0,0,0,0,0,0,0.154091604047315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017518049040579,0,-0.0400806470821489,-0.151923864188021,0,0.225205810568969,-0.174881858077424
X823.HK.EQUITY,0,0,0,0,0,0,0,0.0727700468906115,0,0.00776692525036314,0,0,0,0,0,0,0,0,0.0624285466014956,0,0,0,0,0,0,0,0,0,0.243260733334481,0,0.0853433662383478,0,0,0,0,0,0,0,-0.0753457265768457,0,0.322419015877654,0.132101019799468,0,0.0561055140203549,0,0,0,0.159901529463584,0,0,-0.0429570600151807,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368991265648659,0.0209025511888936,0,0.195492572386712,0,0,0,0.0200145314080552,0,0,0,0,0,0.0377554295911741,-6.93889390390723e-18,0.102211980324392,0,0,0,0,0.365131513370309,0,0,0,0,0,0,0,0,0,0,-0.0577809036461641,0
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,-0.00119262387478218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10617854376532,0,0,-0.0514973575746022,0,0,0,0,0,-2.77555756156289e-17,0,0,0.153848344670039,0,0,0.662814132698216,0,0,-0.0217054973918442,0,0,0,-8.67361737988404e-19,0,0,0,0.175719493298828,0.198330549022356
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,-0.369915327069381,0,0,0,0,0,0,0,0,-0.114712724754492,0.120367509730999,0,0,0.0520414623618477,0,0,0,0,0.277984899208374,0,0.195466533458893,-0.152569329848901,0,0,0.718941604734262,0,-0.0326750253359155,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,0,0.635193222275779,0.00281640418550475,-0.0863536975208387,0,0,0,0.0439589121374703,0,0,0,0,0,0.0260033012237495,0,0,0,0,0.205946948899445,0,-0.00842362374918717,0,0,0,0,-0.0458933895655048,0,0,0,0,0,0,0,0.117606133693279,0.0203035877082189,0,0,0,0,0,0,0,0,-0.0401302035728369,0,0,0
FXI.US.EQUITY,0,0,0,-0.00694788023683032,0,0,-0.0801490779492553,0,0.127165666364394,-0.15141429723932,0,0,0,-0.320362413343191,0,0,0,0,0,0,0.0494893229313826,0.262964605799107,-0.0979849512175911,1.0842021724855e-19,0,0,0,0.186511688325758,0,0,0,0,0,0,0,0,0,0,0,-0.149521435787239,0,0,0.0257520635585362,0,0.0920850542923772,0.143694633122082,0,0.277595782486992,0,0,0,-0.00532792422409193
CN2YR,0,0,0,-0.308493577942983,0,0,0,0.243165623937153,0,-0.101047229706576,0,0,0,0,0,0,0,0,0,0,0,-0.308284642434222,0,0,0.248909345861065,0.0241628079809586,-0.0283968908147858,0,0,0,0.173458355345118,0,0,0,0,0,0,0,0,0,0,0.11536367599648,0.0838642616009129,0,0,0,0,0,-0.17603328897586,0.187565483218062,0,0
