,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601788.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.0146672695108163,-6.93889390390723e-18,0.151889200745165,0,0.0111787924681474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0675464034210737,0,0.259330674007406,0,0,0.0584175643974908,-0.12447006954316,0,0,0,0,0,0.269340341309533,-0.193661352068132,0,0,0,0,0,0,0,0,0,0,-0.139058995406348,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.075880514684509,0,0,0,0,0.0388726629487713,0,0,0,0,0,0,0,0,0.439744273027493,0,0,0,0,0,0,0,0,0.103385280935329,0,0,0,0,0,0,0,0,0.198001178707353,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13834543003554
X601939.CH.EQUITY,0,0,0,0.853506031488746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761007233734183,0,0,0,0,0.113316086693887,0,-0.0324533835476194,0,0,0,0,0,-0.0259988187686329,0,0,0,0,0.0516312076295168,0,-0.043741843855093,0,0,0,0,0.0386617586650584,0,0,0.0378676850575584
X601288.CH.EQUITY,0.0234424542154314,0,0.866015472823662,0,0,0,-0.0722920150254487,0,0,0,0,0,0.0227453204349964,0,0,0.0640617881340545,0,0.13122385147676,0,0,0,0,0,0,0,0.038782831720284,-0.039167335277386,0,0,0,0.00938978399779495,0,0,-0.0288118030724368,0,0,0,0,-0.124989628247014,0,0,0,0,0,0,0,0,-0.0260800881424238,0,0,-0.0277001002751592,0
X601988.CH.EQUITY,0,0,0,0,0,0,-0.152514039917977,0,0,0,0,0,0,1.12301691364048,0,0,0,0,0,-0.105323545352538,-0.0604524719835913,0,0,0.0762952955528514,0,0,0,0,0,0,0,0.00774297027319893,0,-0.213086963417225,0,0,-0.1495419290172,0,0,0,0,0,0,0.044972912293804,0.0915061224070213,0,0,0,0,0.0217994745260123,0,0.225928484336551
X600036.CH.EQUITY,0,0,0.280327591995909,0.0981279615477422,0,0,0,0.0167657030819749,0.0194294600367325,0,0,0,0,0,0,0,0,0,0,0.0265164703154687,0,0,0,0,0,0.0662505678292025,0,0,0,0.103887857144294,0,0,0,0.363460788842799,0,0,0,0,0,0,0,-0.0559614410148207,0,0,0.0629685596501809,0,0.0708254146336983,0,0,0,0.064188055661515,0
X601628.CH.EQUITY,0,0,1.73472347597681e-18,0,0,0,0,0,0,-0.0525761335989243,0.0354266503366789,0.73121623466572,0,0,0,0,0.0354907222653466,0,0,0,0,0,0.131107764746455,0,0,0,0.0224968509079527,0,0,0,-0.115894707021686,0,0,0,-0.0333077996234742,0,0,0.152092610162063,-0.0136969870603935,0,0,0.0952587890667753,0,0,0,0,0,0,0,0,0.063451288972534,0.142258295887833
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.184097150505642,0,0,0,0,0,0,0,0,0,0,0,0.146582963537464,0.081505545070025,0,-0.144849792574017,0,0,0,0,0,0.00915163390855404,0.162990781823528,0,0.179954147054377,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45036641783846,0,0,0,0.102374210542666,0.0105696742234181
X5.HK.EQUITY,0,0,0,0,0,0,-0.152229174043059,0,0,0,0.07543957678181,0,0,0,0,0.287302417087229,0,0,0,0,0,0.182722567233597,0,0,0.288451632957887,0.03388399433552,0,0,0,0,0.086892735675699,0.0419740043972082,0,0,0,0,0.134979677376001,0,0,-0.162135742961926,0,-0.0642523722121607,0,0.122420786515403,0,0,0,0,0,0,0.142641759637403,-0.0906226759296812
X601658.CH.Equity,0,0,0,0.23351687707424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219851976709385,0.0742471279114854,0,-0.145551433133828,0,0,0,0,0,-0.129687811553328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403381064534711,0,0,0.0563278261469702,0,0,0,0,0,0
