,X601398.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X300059.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600999.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.00415583150136088,0,0.207189328299567,0,0,0,0.394594727187544,0,0,0,0.043748557460372,0,0,0,0,0,0,0,0,0,0,0,0,0.22864021005307,0,0,0.00700144440793629,-1.38777878078145e-17,0,0,0,0.104958768216163,0,0.0746679590395888,0,0,0,0,0,0,0,0.0530825069357634,0,0,0,0,0,-0.107059646190321,0,0,0
X601318.CH.EQUITY,0,0,0,0.135624812327872,0,0,0,0,0.161351692896785,0,0,0,0.206881772881373,0,0.0809942973949749,0.0143672999182038,0,0,0.0678533783605853,2.77555756156289e-17,0,0.035671624806539,0,0,0,0,0,0.178075560121473,0.00682576750031613,0,0,0.0272045596949434,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15328979383581,0.170036238036141,0,0,0,0,0
X600036.CH.EQUITY,-0.00799822271119255,0.0104173860784522,0,0,0,0.196995933711304,0,0,0,-0.0894569779835628,0,-0.04279633043779,0.0819688135427519,0,0,0,0.122098930731258,0,0.1155586648443,0,0,0,0,0,0,0.432074522865521,0,0,0.0616425126707768,0,0,0,0,0,0,0,0,0,-0.0854336395053024,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.516513305747194,0.100227443101269,0,0,0,0,0,0,0.135527571857913,0,0.170027664927125,0,0,0,0,0,0.0101394876790924,0.119833198539773,0.0608766127640563,0,0,0,0,0,0,0,0,0,0.188818390568041,0,0,0,0.0477547513602806,0,0,0,0,0,0.0650385840185951,0,0,-0.0925133085661204,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.0269837144535526,0,0.0657558679268657,0,0,0,0.522962567872474,0,-0.0509421251828602,0,0,0,0,0.0563533774567725,0,0,0,0.0892740291447241,0,0,0,0.0703156370736027,0,0,0,0,0,0.0286793319375199,0,0,0,0.0301888121668983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473768366679749,0.0723190443111972,0,-0.0275906960356154
X1299.HK.EQUITY,0,0,0,0,-0.0909599468787893,0,0,0,0,0.17070272630524,0,0,-0.0115270992983069,0,0,0,0,0,0,0,0.0130818086250627,0,0.208321266724242,0,0,0,0,0,0,0,0,0,0.0765422433074003,0,0,0,0,0,0,0.0742829829230513,0,0.1576816787404,0,0.102909444957756,0,0,0,0,0.229313289921753,0,-0.146583077383144,0
X601628.CH.EQUITY,0,0,-0.0528175433870279,0,0,0,0,0,0,0.149121647824116,0,0,0,0,0.116511940378675,0,0,0,0,0,-0.0547484082129895,0,0.151795260239974,-0.066490917578405,0,0,0,0,0,0,-0.0022553291822038,0,0,0,0,-1.38777878078145e-17,0,0.375062284484365,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.0480285233820294,0,0,0,0.462075925995487,0,0,0,0,0,0,0.0512435606530237,-0.0403414673879347,0,0,0,0,0.210103286174122,0,0,0,0,0,0,0.0174188619898888,0,0,0,0,0,0,0,-0.111644308443183,0,0,0,0,0,0,0,0,0.116639870283887,0,0,0.146212034843379,-0.0401178045562251,0,0,0,0,0,-0.0672875713571578
X5.HK.EQUITY,0,0.146339063961751,0,0,0,0,0,0,0,-0.13284592748679,0.0708885835487655,0.0975923365333618,0,0,0,0,0,0,0,0,0,0,0.19952462001197,0,0,0,0.163007952841181,0,0,0.0480629041448565,0,0,0.112710502394227,0,0,0,0,0,0.253521948178097,0,0,0,0,0.147819643148874,0,0,0,0.0562006334559258,0,0,0,-0.0670413106324733
X388.HK.EQUITY,0,0,-0.0698887691986927,0,0,0,-0.109289425101912,0,-0.209726229575096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0834861335286065,0,0,0,0,0,0,0,-0.181358870843464,0,0,0,0,0.216412275201423,0,0,0,0,0.199278196133125,0,0.219333427848394,0,0,0,0.114799727817636,0,0.122816646411128,0
X601166.CH.EQUITY,0,0,0.0242937893093526,0,0,0,0,0,0,-0.0942485893338597,0,0,0.424031405073859,0,0,-0.120982875041037,0,0,0,0,-0.12021666108623,0,0,0,0,0,0,-0.024321469531447,0.306571982613732,0,0.0678849285869639,0.12469010191917,0,0,0,0,0,0.0297856740951901,0,0,0,0,0,0,0,0,0,0.0370271813388743,0,0,0,-0.0942540479888942
X601658.CH.Equity,0,0,0,0,0.0318586850131094,-0.0871749159409424,0.0550975721124242,0.463641335249655,0,-0.0143513227856726,0,0,0,0,0.137601943034566,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.387253396559009,0.0899462123447865,0,0,0,-0.114001911156293,0,0.0701698819426578,0,0,0,0,0,0,0.144175877009322,0,0,0,0.119224884391841,0,0,0,0,0.0563831948959487,-0.0378175748683136
X000001.CH.EQUITY,0,0.14882364013439,0.015242231429016,0,0,0.256399353394023,0,0,-0.0309060565649299,0,0.459593610073923,0,0,0.011831463495915,0,0.0714746736581681,0,0,0,0,0,0,0,0.259666040309131,0,0,0,0,0,-0.144300068963902,0,0,0,0,-0.0852086024389993,0,0,0,0,0,-0.0290399145748046,0,0,0,0,0,0,0,0,0,-0.0659156863239054,0.193669161626647
X600030.CH.EQUITY,0,0.0585680112761356,0,0,0,0,0,0,0,0,0,-0.0205772704910245,0,0,0,0.003292457442829,0,0,0,0.284411195679689,0,0,0,0,0,0,0,0.00640469043644238,0,0,0,0,0,0,0,0.152407482632542,0.188151161482393,0.0107013426971597,0,0,0,0,0,0,0.165185172785579,0,0.0555954545162061,0,0,0,0,0.0148584815484829
