,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.134275905956568,0,0.111002314729499,0,0.0703128615955227,0,0,0.335503685266559,0.0501847375256541,0,0,0,0,0,0,0,0,0,0.123153066709014,0,-0.0723880203012947,0,0,0,0,0,0,0,0,0.196587273407753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.399143115340959,0,0,0,0.136768362955194,0,-0.123935088704315,0,0,0.0484211267893662,0,0,0.393655273979715,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0510747837202396,-0.00327284428262834,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00238758120259198,0,0,0,0,0,0,0,0.0816941633748098,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.235072127083548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200776981335754,0,0,0,0,0,0.153601411919959,0,0,0.0799683024346344,0,0,0.175380426918362,0.18552591483332,0,0,0,0,0
X601288.CH.EQUITY,0.343501433299792,0.0716000064554129,0,0,0.380788943577044,0,0,-0.0185748589284217,0,0,0.0803833295603184,0,0,0,0,0.107121280152992,0,0,0,0,0,0,0.000127684439559178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.0405307939576614,0,0.322944077272455,0,0,0,0.0149567015120047,0,0,0.22385171019157,0.0719912403498169,0,0.100453306992979,0,0,0,0,0,0.163507672222005,0,0,0,0,0,0,0.0492075249396596,-0.0287969314434762,0,0,0,0,0.00625671456785942,-1.38777878078145e-17,0,0,0,0,0,0,0.0719779613273353,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.0395474082878935,0,0,0,0.0227313467163249,0,0,0,0,0.42723831117412,0,0,0,0,0,0,0,0,0,0.0210276903810257,0,0,0,0,0.116207663366464,0,0,0,0,0,0,0,0,0,0.0571355440116682,0,0,0,0.0479176984869497,0,0,0,0,0,0,0,0,0.248278649042403,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0214198345451906,0,0,0,0,0,0,0,0,0.0256192430369282,0.234717420087459,0,0.159695687681835,0,0,0,0.132302093236387,0,0,0,0.170669515816802,0,0,0.0914261014524031,0,0,0,0,0,0,0,0,0,0,0,0.0804490583018355,0,0,0,0,0,0,0,0.196533761890158,0,0,0
X5.HK.EQUITY,0,-0.140013906516613,0,-0.153455431316395,0,0,0,0,0,0,0,0,0,-0.0157609642739563,0,0,0,0,0,0,0,1.26583502098561,0,-0.798662448426007,0,0,0,0.466239481157129,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389733454582263,0,0,0,0,0,0,0,0,0.120412107261889,0
X601628.CH.EQUITY,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.342118677383003,0,0,0,0,0,0,0,0.00761997314778512,0.0541499296742117,0,0.0130821958137316,0,0.202248874210548,0,0,0,0.0659203115213062,0,0,0,0,0,0,0,0,0,-0.0507102813312452,0,0,0,0.155356004202354,0,0,0,0,0,0,0.0218705119581638,0.06297603331015,0
X601658.CH.Equity,0,0,0,0.35409771526578,0,0,0,0.0840529583629078,0,0,0,0,0,0,0,-0.200802695917508,0,0,0,0,0,0,0,0,0,-2.77555756156289e-17,0.0278189325967096,0,0.859504490169477,0,0,0,0,0,0,0,0,0,0,0,0,-0.295704015627031,0,0,0,0,0.136743175420215,0,0,0,0,0
