,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.149657263318105,0,0,0,0,0,0,0,0,0,0,-0.115499169513816,0,0.486169572100823,0.712271266618828,0.0417518025571905,0,0,-0.122888278587884,0,0,-0.0921383240154205,0,0.0844086675032947,0,0,0,0,-0.12408148402859,0,0,-0.341846886639263,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.165165646413426,0,0,0,0,0,0,0,0,0.0831053502635067,0,0,0,0.31275372742137,0,0,0,0,0,0,0,0,0,0.115613342646988,0,0,0,0,0,0,0,0.111175473573299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143111799940846
X601939.CH.EQUITY,0,0,0,0.819843536954093,0.0238792181896741,0.015919748863088,0,0,0,0,0,0,0,0,0,0.000659504671304422,0,0,0,0.0593542644335499,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0164198373679224,0.0456728949534063,0,0,0,0.00528504323819187,0,0,0,0,0,0,0,0.0671259933071223,0,0,0,0.0229537156290898,0,0,0
X601288.CH.EQUITY,0,0,0.922614435499004,0,0,0,-0.0678506910597819,0,0,0,0,0,0,0,0,0,0,0.1161749729287,0,0,0,0,0,0,-0.0148194474874126,0,0.0589632971690638,0,0,0,0,0,0,0,0,0,0,-0.10434208937386,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,-0.047687068647077,0
X601988.CH.EQUITY,0,0,0,0,0,0,-0.106326303449724,0,0,0,0,0,0,1.19748780464318,0,0,0,0,-0.130018684237365,0,0,0,0,0.0489848973774013,0,0,0.0802797346065208,0,0,0,0,0,-0.234994949579892,0,0,-0.268033179774639,0,0,0,0,0,0.0362969975207404,0,0.0875399387589834,0,0,0,0,0,0,0,0.183236885690512
X600036.CH.EQUITY,0,0,0.37690110361714,0,0,0,0,0,0.0159844007009816,-0.0202072146175348,0,0,0,0,0,0.137569862268634,0,0,0.0128963961493813,0,0,0,0,0,0,0,0.14596767870738,0,0,0.0813116231153207,0,0,0.203209996288908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172985468873418,0.0708218638892762,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.774306023418181,0,0,0.0875477460915602,8.67361737988404e-19,0,0,0,0,0,0.133299726197119,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.0745410078050448,0,0,0,0,0.00865624369873974,0.00671344020518403,-0.0118727774591999,0,0,-0.0407809354365847,-0.0365358449350356,0,0,0.0602288257645079,0,0,0,0.056843645471946,0,0.070029776817484,0.141904436343144
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.00463263619149575,0.0385046502957552,0,0,0,0,0,0,0,0,0.151255765193683,-0.0538481580629745,0,-0.190875511002208,0,0,0.174666537786264,0,0,0.0720060164064807,0.327349749623292,0,0,0.0896399281239984,0,0,0,0,0,0,0,0,0,0,0,0.36446713583687,0,0,0,0.175409964413515,0.106683096481697,0.126614778602348
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382435892337616,0,0,0,0,0,0,0,0,0.467957337898398,0.0815140289130059,0,0.297376867703105,0.00515002907492175,0,0.0121845363320051,0,0,0,0,0,0,0,-0.339825420721663,0,0.121206750251855,0,0,-0.0836447606060216,-0.0698184900513187,0,0,0,0,0.153084184138923,-0.119703739593801
X388.HK.EQUITY,0,0,0,0,0,0,0.200471684687763,0,0,0,0,0,0,0,0,0,0,0,0,-0.187122412195953,0,0,0,0,0.444060949847609,0,0,0.0186070797139245,0,0,0,0,0,0,0,0,0,0,0,0,-0.0572916358786771,0,0,0,0.261019979706756,0.0321986672753024,0,0,0.0319920802332343,-0.154003831498639,-0.0872540802887893,0.0478992997696455
